business_name,address,phone,website,area,city,reviews_count,rating,url
"South Congress Hotel","Address: 1603 S Congress Ave, Austin, TX 78704, United States ","+15129206405","http://southcongresshotel.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","78701, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/South+Congress+Hotel/data=!4m7!3m6!1s0x8644b4fc866add87:0xc78ecc2590f59eb4!8m2!3d30.247296!4d-97.750338!16s%2Fg%2F11b7w5g66j!19sChIJh91qhvy0RIYRtJ71kCXMjsc?authuser=0&hl=en&rclk=1"
"Corner Restaurant","Address: 110 E 2nd St, Austin, TX 78701, United States ","+15126084488","https://www.cornerrestaurantaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Corner+Restaurant/data=!4m7!3m6!1s0x8644b508789cc0c5:0x270f96c74f970af4!8m2!3d30.2645703!4d-97.7438317!16s%2Fg%2F11b76mjh5x!19sChIJxcCceAi1RIYR9AqXT8eWDyc?authuser=0&hl=en&rclk=1"
"Corinne Austin","Address: 304 E Cesar Chavez St, Austin, TX 78701, United States ","+17377877018","https://www.corinneatx.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Corinne+Austin/data=!4m7!3m6!1s0x8644b5a2efae9207:0x29c9c30dffef66c0!8m2!3d30.2627011!4d-97.7415763!16s%2Fg%2F11n5pb_qpg!19sChIJB5Ku76K1RIYRwGbv_w3DySk?authuser=0&hl=en&rclk=1"
"Caroline","Address: 621 Congress Ave. Suite 101, Austin, TX 78701, United States ","+15129826766","http://www.carolinerestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Caroline/data=!4m7!3m6!1s0x8644b509e7e92743:0x38cd855b7c17b277!8m2!3d30.2688157!4d-97.7422982!16s%2Fg%2F11d_9jgz28!19sChIJQyfp5wm1RIYRd7IXfFuFzTg?authuser=0&hl=en&rclk=1"
"Upstairs at Caroline","Address: 109 E 7th St, Austin, TX 78701, United States ","+15129826766","https://www.carolinerestaurant.com/upstairs-at-caroline?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.9","https://www.google.com/maps/place/Upstairs+at+Caroline/data=!4m7!3m6!1s0x8644b509e7e92743:0xb09cf7e6ae581b9!8m2!3d30.2686635!4d-97.7420691!16s%2Fg%2F11fxb7wz06!19sChIJQyfp5wm1RIYRuYHlan7PCQs?authuser=0&hl=en&rclk=1"
"Ember Kitchen","Address: 800 W Cesar Chavez St Ste PP110, Austin, TX 78701, United States ","+15122916846","https://www.emberatx.com/","78701, Austin, TX","Austin, TX","","4.8","https://www.google.com/maps/place/Ember+Kitchen/data=!4m7!3m6!1s0x8644b5723cde91d1:0x14bf1e14920af2da!8m2!3d30.266876!4d-97.7528456!16s%2Fg%2F11jt5g77r4!19sChIJ0ZHePHK1RIYR2vIKkhQevxQ?authuser=0&hl=en&rclk=1"
"Dean's Italian Steakhouse","Address: 110 E 2nd St, Austin, TX 78701, United States ","+15126084490","https://www.deanssteakhouseaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","","4.9","https://www.google.com/maps/place/Dean%27s+Italian+Steakhouse/data=!4m7!3m6!1s0x8644b5f9290d2757:0xd73edf1c24d12e4f!8m2!3d30.2641454!4d-97.7430761!16s%2Fg%2F11pyc12_7j!19sChIJVycNKfm1RIYRTy7RJBzfPtc?authuser=0&hl=en&rclk=1"
"Roaring Fork","Address: 701 Congress Ave., Austin, TX 78701, United States ","+15125830000","http://www.roaringfork.com/","78701, Austin, TX","Austin, TX","","4.5","https://www.google.com/maps/place/Roaring+Fork/data=!4m7!3m6!1s0x8644b509e15979d5:0xce6e982ebf5ebae2!8m2!3d30.2691083!4d-97.7421111!16s%2Fg%2F1td5m2fy!19sChIJ1XlZ4Qm1RIYR4rpevy6Ybs4?authuser=0&hl=en&rclk=1"
"Verbena Food & Drink","Address: 612 W 6th St, Austin, TX 78701, United States ","+15129913019","http://verbenaatx.com/","78701, Austin, TX","Austin, TX","","4.7","https://www.google.com/maps/place/Verbena+Food+%26+Drink/data=!4m7!3m6!1s0x8644b5671c80691b:0x38d7e3bd3637504b!8m2!3d30.2699121!4d-97.7489064!16s%2Fg%2F11jd_wq5w9!19sChIJG2mAHGe1RIYRS1A3Nr3j1zg?authuser=0&hl=en&rclk=1"
"Moonshine Grill","Address: 303 Red River St, Austin, TX 78701, United States ","+15122369599","http://www.moonshinegrill.com/","78701, Austin, TX","Austin, TX","","4.6","https://www.google.com/maps/place/Moonshine+Grill/data=!4m7!3m6!1s0x8644b5a8910339cd:0x3d1cb3bee44dfaf4!8m2!3d30.2637562!4d-97.7380259!16s%2Fg%2F1tfxh22p!19sChIJzTkDkai1RIYR9PpN5L6zHD0?authuser=0&hl=en&rclk=1"
"North Italia","Address: 500 W 2nd St #120, Austin, TX 78701, United States ","+15127775062","https://www.northitalia.com/locations/austin-tx-2nd-street/","78701, Austin, TX","Austin, TX","","4.4","https://www.google.com/maps/place/North+Italia/data=!4m7!3m6!1s0x8644b50f13d654f7:0x298b7455bac125f9!8m2!3d30.2657893!4d-97.7489158!16s%2Fg%2F11hbq8vc5c!19sChIJ91TWEw-1RIYR-SXBulV0iyk?authuser=0&hl=en&rclk=1"
