business_name,address,phone,website,area,city,category,reviews_count,rating,url
"The Well","Address: 440 W 2nd St, Austin, TX 78701, United States ","+17377421129","https://www.eatwellatx.com/","78701, Austin, TX","Austin, TX","restaurants","","4.5","https://www.google.com/maps/place/The+Well/data=!4m7!3m6!1s0x8644b5c3d19d8bd7:0xe6f8c20f2101cf63!8m2!3d30.2656068!4d-97.7483158!16s%2Fg%2F11m84zj_hv!19sChIJ14ud0cO1RIYRY88BIQ_C-OY?authuser=0&hl=en&rclk=1"
"Corinne Austin","Address: 304 E Cesar Chavez St, Austin, TX 78701, United States ","+17377877018","https://www.corinneatx.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","restaurants","","4.8","https://www.google.com/maps/place/Corinne+Austin/data=!4m7!3m6!1s0x8644b5a2efae9207:0x29c9c30dffef66c0!8m2!3d30.2627011!4d-97.7415763!16s%2Fg%2F11n5pb_qpg!19sChIJB5Ku76K1RIYRwGbv_w3DySk?authuser=0&hl=en&rclk=1"
"Corner Restaurant","Address: 110 E 2nd St, Austin, TX 78701, United States ","+15126084488","https://www.cornerrestaurantaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","restaurants","","4.8","https://www.google.com/maps/place/Corner+Restaurant/data=!4m7!3m6!1s0x8644b508789cc0c5:0x270f96c74f970af4!8m2!3d30.2645703!4d-97.7438317!16s%2Fg%2F11b76mjh5x!19sChIJxcCceAi1RIYR9AqXT8eWDyc?authuser=0&hl=en&rclk=1"
"Roaring Fork","Address: 701 Congress Ave., Austin, TX 78701, United States ","+15125830000","http://www.roaringfork.com/","78701, Austin, TX","Austin, TX","restaurants","","4.5","https://www.google.com/maps/place/Roaring+Fork/data=!4m7!3m6!1s0x8644b509e15979d5:0xce6e982ebf5ebae2!8m2!3d30.2691083!4d-97.7421111!16s%2Fg%2F1td5m2fy!19sChIJ1XlZ4Qm1RIYR4rpevy6Ybs4?authuser=0&hl=en&rclk=1"
"Verbena Food & Drink","Address: 612 W 6th St, Austin, TX 78701, United States ","+15129913019","http://verbenaatx.com/","78701, Austin, TX","Austin, TX","restaurants","","4.7","https://www.google.com/maps/place/Verbena+Food+%26+Drink/data=!4m7!3m6!1s0x8644b5671c80691b:0x38d7e3bd3637504b!8m2!3d30.2699121!4d-97.7489064!16s%2Fg%2F11jd_wq5w9!19sChIJG2mAHGe1RIYRS1A3Nr3j1zg?authuser=0&hl=en&rclk=1"
"True Food Kitchen","Address: 222 West Ave Ste HR100, Austin, TX 78701, United States ","+15127772430","https://www.truefoodkitchen.com/locations/austin/","78701, Austin, TX","Austin, TX","restaurants","","4.5","https://www.google.com/maps/place/True+Food+Kitchen/data=!4m7!3m6!1s0x8644b50e2ee3f607:0xddc3ee2020881bac!8m2!3d30.2670001!4d-97.7522838!16s%2Fg%2F11clfd3vs8!19sChIJB_bjLg61RIYRrBuIICDuw90?authuser=0&hl=en&rclk=1"
"Phoebe's Downtown","Address: 408 W 11th St, Austin, TX 78701, United States ","+15123598338","https://www.phoebesdiner.com/","78701, Austin, TX","Austin, TX","restaurants","","4.7","https://www.google.com/maps/place/Phoebe%27s+Downtown/data=!4m7!3m6!1s0x8644b509f2e104af:0xd75b5b57ab771900!8m2!3d30.2740975!4d-97.7449381!16s%2Fg%2F11np3q1qct!19sChIJrwTh8gm1RIYRABl3q1dbW9c?authuser=0&hl=en&rclk=1"
"Emmer & Rye","Address: SkyHouse, 51 Rainey St UNIT 110, Austin, TX 78701, United States ","+15123665530","http://www.emmerandrye.com/","78701, Austin, TX","Austin, TX","restaurants","","4.4","https://www.google.com/maps/place/Emmer+%26+Rye/data=!4m7!3m6!1s0x8644b5aa4ba7633d:0xfb14f97a7bd4e90c!8m2!3d30.2574194!4d-97.7390667!16s%2Fg%2F11bw61kjkh!19sChIJPWOnS6q1RIYRDOnUe3r5FPs?authuser=0&hl=en&rclk=1"
"Ember Kitchen","Address: 800 W Cesar Chavez St Ste PP110, Austin, TX 78701, United States ","+15122916846","https://www.emberatx.com/","78701, Austin, TX","Austin, TX","restaurants","","4.8","https://www.google.com/maps/place/Ember+Kitchen/data=!4m7!3m6!1s0x8644b5723cde91d1:0x14bf1e14920af2da!8m2!3d30.266876!4d-97.7528456!16s%2Fg%2F11jt5g77r4!19sChIJ0ZHePHK1RIYR2vIKkhQevxQ?authuser=0&hl=en&rclk=1"
"Caroline","Address: 621 Congress Ave. Suite 101, Austin, TX 78701, United States ","+15129826766","http://www.carolinerestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing","78701, Austin, TX","Austin, TX","restaurants","","4.8","https://www.google.com/maps/place/Caroline/data=!4m7!3m6!1s0x8644b509e7e92743:0x38cd855b7c17b277!8m2!3d30.2688157!4d-97.7422982!16s%2Fg%2F11d_9jgz28!19sChIJQyfp5wm1RIYRd7IXfFuFzTg?authuser=0&hl=en&rclk=1"
