business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Delco Air","Address: 881 Main St Suite 16, Sayreville, NJ 08872, United States ","+17323016641","https://delcoairhvac.com/","New York, NY","New York, NY","air conditioning repair","","4.7","https://www.google.com/maps/place/Delco+Air/data=!4m7!3m6!1s0x89c3c97b448ad465:0x9c2f98039788991a!8m2!3d40.476313!4d-74.318329!16s%2Fg%2F1xn_p9wx!19sChIJZdSKRHvJw4kRGpmIlwOYL5w?authuser=0&hl=en&rclk=1"
"Thermochill HVACR","Address: 1379 White Plains Rd site 305, Bronx, NY 10462, United States ","+13473672898","https://www.thermochilllhvac.com/","New York, NY","New York, NY","air conditioning repair","","4.8","https://www.google.com/maps/place/Thermochill+HVACR/data=!4m7!3m6!1s0x89c2f59b85878cf3:0xbc7545add8628bc7!8m2!3d40.835304!4d-73.863397!16s%2Fg%2F11fmql207z!19sChIJ84yHhZv1wokRx4ti2K1Fdbw?authuser=0&hl=en&rclk=1"
"My AC Repairs NYC","Address: 117 MacDougal St #1, New York, NY 10012, United States ","+19297327103","http://myac-repairs-nyc.com/","New York, NY","New York, NY","air conditioning repair","","4.8","https://www.google.com/maps/place/My+AC+Repairs+NYC/data=!4m7!3m6!1s0x865c655dc722ba0d:0x3fdec93d55eae752!8m2!3d40.7302002!4d-74.0005639!16s%2Fg%2F11csr1j8rd!19sChIJDboix11lXIYRUufqVT3J3j8?authuser=0&hl=en&rclk=1"
"New York Air Conditioners","Address: 141 W 28th St #8400, New York, NY 10001, United States ","+16466920033","http://nyc-airconditioner.com/","New York, NY","New York, NY","air conditioning repair","","4.9","https://www.google.com/maps/place/New+York+Air+Conditioners/data=!4m7!3m6!1s0x89c25942a04c1403:0x3155d09f38a8f889!8m2!3d40.7469698!4d-73.9923277!16s%2Fg%2F11kxpck13l!19sChIJAxRMoEJZwokRifioOJ_QVTE?authuser=0&hl=en&rclk=1"
"AC Repair and Maintenance Lower Manhattan","Address: 240 Mott St, New York, NY 10012, United States ","+16469214202","","New York, NY","New York, NY","air conditioning repair","","4.3","https://www.google.com/maps/place/AC+Repair+and+Maintenance+Lower+Manhattan/data=!4m7!3m6!1s0x89c259ddd889926d:0xb3d1513386987d4a!8m2!3d40.722747!4d-73.994895!16s%2Fg%2F11fxcg0d7k!19sChIJbZKJ2N1ZwokRSn2YhjNR0bM?authuser=0&hl=en&rclk=1"
"Manhattan HVAC & Appliance Repair Inc","Address: 48 W 14th St, New York, NY 10011, United States ","+13323340444","https://www.manhattan-hvac-repair.com/","New York, NY","New York, NY","air conditioning repair","","4.9","https://www.google.com/maps/place/Manhattan+HVAC+%26+Appliance+Repair+Inc/data=!4m7!3m6!1s0x89c259c260d1bcf9:0xcc8b9921e7420b07!8m2!3d40.7368207!4d-73.9959397!16s%2Fg%2F11s7p3jzcs!19sChIJ-bzRYMJZwokRBwtC5yGZi8w?authuser=0&hl=en&rclk=1"
"acrepair nyc","Address: 517 E 77th St, New York, NY 10075, United States ","+12122019201","https://acrepair.nyc/","New York, NY","New York, NY","air conditioning repair","","4.9","https://www.google.com/maps/place/acrepair+nyc/data=!4m7!3m6!1s0x89c281c4489c4bcb:0x4500c96de5798558!8m2!3d40.7698306!4d-73.9500934!16s%2Fg%2F11vj3zty_j!19sChIJy0ucSMSBwokRWIV55W3JAEU?authuser=0&hl=en&rclk=1"
"Weatherproof AC Repairs","Address: 33 W 37th St, New York, NY 10018, United States ","+19295383648","http://weatherproofachvac.com/","New York, NY","New York, NY","air conditioning repair","","4.7","https://www.google.com/maps/place/Weatherproof+AC+Repairs/data=!4m7!3m6!1s0x864e04202a392b1d:0x6eb4ed95ba2de596!8m2!3d40.7512993!4d-73.9847935!16s%2Fg%2F1hm2d9s_f!19sChIJHSs5KiAEToYRluUtupXttG4?authuser=0&hl=en&rclk=1"
"NYC PIGEON AIR CONDITIONER","Address: 1893 Adam Clayton Powell Jr Blvd Apt 6a, New York, NY 10026, United States ","+13477191499","https://nycpigeonairconditioner.com/","New York, NY","New York, NY","air conditioning repair","","4.9","https://www.google.com/maps/place/NYC+PIGEON+AIR+CONDITIONER/data=!4m7!3m6!1s0x89c2f5d3dc2262e3:0x139eac3f0c9bdaf7!8m2!3d40.8022405!4d-73.952914!16s%2Fg%2F11hzk5fkpk!19sChIJ42Ii3NP1wokR99qbDD-snhM?authuser=0&hl=en&rclk=1"
"Greenwich Village AC Repair & Maintenance","Address: 520 Hudson St, New York, NY 10014, United States ","+16468464432","","New York, NY","New York, NY","air conditioning repair","","4.6","https://www.google.com/maps/place/Greenwich+Village+AC+Repair+%26+Maintenance/data=!4m7!3m6!1s0x89c259df1fd61f91:0x35d8702da2595bd!8m2!3d40.7338815!4d-74.0058847!16s%2Fg%2F11d_bh542f!19sChIJkR_WH99ZwokRvZUl2gKHXQM?authuser=0&hl=en&rclk=1"
