business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Whole Foods Market","Address: 301 W 50th St, New York, NY 10019, United States ","+16466047345","https://www.wholefoodsmarket.com/stores/hellskitchen?utm_source=google&utm_medium=organic&utm_campaign=listings","New York, NY","New York, NY","bakery","","3.9","https://www.google.com/maps/place/Whole+Foods+Market/data=!4m7!3m6!1s0x89c25900129638a7:0x3488fa71c0858fb!8m2!3d40.762656!4d-73.986226!16s%2Fg%2F11x92tkq0w!19sChIJpziWEgBZwokR-1gIHKePSAM?authuser=0&hl=en&rclk=1"
"Victory Sweet Shop/Victory Garden Cafe","Address: 21-69 Steinway St, Astoria, NY 11105, United States ","+17182742087","https://victorysweetshop.com/garden-cafe/","New York, NY","New York, NY","bakery","","4.5","https://www.google.com/maps/place/Victory+Sweet+Shop%2FVictory+Garden+Cafe/data=!4m7!3m6!1s0x89c25f6f5b0d0f0f:0x474263db3a1427f1!8m2!3d40.773086!4d-73.905434!16s%2Fg%2F1vgqd_w_!19sChIJDw8NW29fwokR8ScUOttjQkc?authuser=0&hl=en&rclk=1"
"Levain Bakery","Address: 2167 Frederick Douglass Blvd, New York, NY 10026, United States ","+19174643789","https://levainbakery.com/pages/harlem","New York, NY","New York, NY","bakery","","4.7","https://www.google.com/maps/place/Levain+Bakery/data=!4m7!3m6!1s0x89c2f616a2a2b963:0x8892626118e7099c!8m2!3d40.805038!4d-73.955184!16s%2Fg%2F1tfx5v6b!19sChIJY7miohb2wokRnAnnGGFikog?authuser=0&hl=en&rclk=1"
"Levain Bakery","Address: 340 Lafayette St, New York, NY 10012, United States ","+19174643746","https://levainbakery.com/pages/noho","New York, NY","New York, NY","bakery","","4.7","https://www.google.com/maps/place/Levain+Bakery/data=!4m7!3m6!1s0x89c259cbc4547a75:0xdbba7ba0538ddab!8m2!3d40.7262243!4d-73.9946887!16s%2Fg%2F11j2xrmq_r!19sChIJdXpUxMtZwokRq904Bbqnuw0?authuser=0&hl=en&rclk=1"
"Levain Bakery","Address: 167 W 74th St, New York, NY 10023, United States ","+19174643769","https://levainbakery.com/pages/west-74th-street","New York, NY","New York, NY","bakery","","4.7","https://www.google.com/maps/place/Levain+Bakery/data=!4m7!3m6!1s0x89c25889849e29e9:0x95599b59c678ed68!8m2!3d40.7799589!4d-73.9802984!16s%2Fg%2F1tf8t__y!19sChIJ6SmehIlYwokRaO14xlmbWZU?authuser=0&hl=en&rclk=1"
"Levain Bakery","Address: 2 W 18th St, New York, NY 10011, United States ","+16469745901","https://levainbakery.com/pages/flatiron-nyc","New York, NY","New York, NY","bakery","","4.7","https://www.google.com/maps/place/Levain+Bakery/data=!4m7!3m6!1s0x89c259658e597bcf:0x84e3ba7b713802!8m2!3d40.7386923!4d-73.9924834!16s%2Fg%2F11vr4jxzb7!19sChIJz3tZjmVZwokRAjhxe7rjhAA?authuser=0&hl=en&rclk=1"
"Levain Bakery","Address: 1484 3rd Ave, New York, NY 10028, United States ","+19174645578","https://levainbakery.com/pages/upper-east-side","New York, NY","New York, NY","bakery","","4.6","https://www.google.com/maps/place/Levain+Bakery/data=!4m7!3m6!1s0x89c259ff4563b743:0xf3755323f76bb77a!8m2!3d40.7773553!4d-73.9552613!16s%2Fg%2F11fmb9gxz_!19sChIJQ7djRf9ZwokRerdr9yNTdfM?authuser=0&hl=en&rclk=1"
"Angelina Bakery","Address: 575 8th Ave, New York, NY 10018, United States ","+12126877100","https://www.angelinabakery.com/","New York, NY","New York, NY","bakery","","4.5","https://www.google.com/maps/place/Angelina+Bakery/data=!4m7!3m6!1s0x89c2593d42a644a3:0xdb3e468346bd302c!8m2!3d40.7549941!4d-73.9917692!16s%2Fg%2F11fjz6sj3j!19sChIJo0SmQj1ZwokRLDC9RoNGPts?authuser=0&hl=en&rclk=1"
"NY Bakery and Desserts","Address: 512 7th Ave, New York, NY 10018, United States ","+19295079222","http://nybakeryanddesserts.com/","New York, NY","New York, NY","bakery","","4.6","https://www.google.com/maps/place/NY+Bakery+and+Desserts/data=!4m7!3m6!1s0x89c259823a7da5c7:0x75f200984343523d!8m2!3d40.7534162!4d-73.9892706!16s%2Fg%2F11rsq03hh2!19sChIJx6V9OoJZwokRPVJDQ5gA8nU?authuser=0&hl=en&rclk=1"
"NY Bakery and Desserts","Address: 1580 Broadway, New York, NY 10036, United States ","+12019542339","https://nybakeryanddesserts.com/","New York, NY","New York, NY","bakery","","4.6","https://www.google.com/maps/place/NY+Bakery+and+Desserts/data=!4m7!3m6!1s0x89c2591ab9bad3a9:0x1b6215a8895e8587!8m2!3d40.7596243!4d-73.9847424!16s%2Fg%2F11stf1cfgt!19sChIJqdO6uRpZwokRh4VeiagVYhs?authuser=0&hl=en&rclk=1"
