business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Golden Goose Bloomingdale's","Address: 1000 3rd Ave 5th Floor, New York, NY 10022, United States ","+16466301816","http://www.goldengoose.com/","New York, NY","New York, NY","boutique","","4.6","https://www.google.com/maps/place/Golden+Goose+Bloomingdale%27s/data=!4m7!3m6!1s0x89c259c5617c7bf1:0xed92fb8343890aa4!8m2!3d40.762478!4d-73.967158!16s%2Fg%2F11rb_nnkw2!19sChIJ8Xt8YcVZwokRpAqJQ4P7ku0?authuser=0&hl=en&rclk=1"
"A.L.C. Soho","Address: 53 Greene St, New York, NY 10013, United States ","+13473963934","https://www.alcltd.com/","New York, NY","New York, NY","boutique","","3.8","https://www.google.com/maps/place/A.L.C.+Soho/data=!4m7!3m6!1s0x89c2598bec4eaaab:0x90fa1f16f56c0f3f!8m2!3d40.722443!4d-74.001896!16s%2Fg%2F11f5bl7x5h!19sChIJq6pO7ItZwokRPw9s9RYf-pA?authuser=0&hl=en&rclk=1"
"Darryl's Boutique NYC","Address: 492 Amsterdam Ave, New York, NY 10024, United States ","+12128746677","http://www.darrylsny.store/","New York, NY","New York, NY","boutique","","5","https://www.google.com/maps/place/Darryl%27s+Boutique+NYC/data=!4m7!3m6!1s0x89c258842d5f1ccf:0x570501087d63b937!8m2!3d40.7862878!4d-73.9762876!16s%2Fg%2F1wrgl1vm!19sChIJzxxfLYRYwokRN7ljfQgBBVc?authuser=0&hl=en&rclk=1"
"Henrik Vibskov Boutique NYC","Address: 456 Broome St, New York, NY 10013, United States ","+12122193950","http://henrikvibskov.com/","New York, NY","New York, NY","boutique","","4.9","https://www.google.com/maps/place/Henrik+Vibskov+Boutique+NYC/data=!4m7!3m6!1s0x89c2598be2e2665b:0x725854cfbdc82425!8m2!3d40.7223666!4d-74.000796!16s%2Fg%2F1tdhmr4_!19sChIJW2bi4otZwokRJSTIvc9UWHI?authuser=0&hl=en&rclk=1"
"Mystique Boutique NYC","Address: 491 Broadway, New York, NY 10013, United States ","+12129258290","http://www.mystiqueboutiquenyc.com/","New York, NY","New York, NY","boutique","","3.7","https://www.google.com/maps/place/Mystique+Boutique+NYC/data=!4m7!3m6!1s0x89c2596f8b6de335:0xf04b3eabad5858ca!8m2!3d40.7220566!4d-73.9999243!16s%2Fg%2F11gpgs_8rg!19sChIJNeNti29ZwokRylhYras-S_A?authuser=0&hl=en&rclk=1"
"Miss Circle New York","Address: 417 W Broadway, Manhattan, NY 10012, United States ","+18555627646","http://www.misscircle.com/","New York, NY","New York, NY","boutique","","4.8","https://www.google.com/maps/place/Miss+Circle+New+York/data=!4m7!3m6!1s0x89c259ee2d3e9bb9:0xb8dc9020c2a066f1!8m2!3d40.7248674!4d-74.0013033!16s%2Fg%2F11k9fj3k1h!19sChIJuZs-Le5ZwokR8WagwiCQ3Lg?authuser=0&hl=en&rclk=1"
"Fleur du Mal NYC Manhattan Boutique","Address: 175 Mott St, New York, NY 10012, United States ","+19172370008","https://fleurdumal.com/?utm_source=GBP+NYC+Manhattan&utm_medium=Google+Maps","New York, NY","New York, NY","boutique","","4","https://www.google.com/maps/place/Fleur+du+Mal+NYC+Manhattan+Boutique/data=!4m7!3m6!1s0x89c25988929c4c19:0x28c4a971a7704786!8m2!3d40.7205232!4d-73.9961032!16s%2Fg%2F11gblf54th!19sChIJGUyckohZwokRhkdwp3GpxCg?authuser=0&hl=en&rclk=1"
"Cloak & Dagger","Address: 334 E 9th St, New York, NY 10003, United States ","+12126730500","http://www.cloakanddaggernyc.com/","New York, NY","New York, NY","boutique","","4.3","https://www.google.com/maps/place/Cloak+%26+Dagger/data=!4m7!3m6!1s0x89c2599d7d9a50af:0xe5a4e09e421e57c4!8m2!3d40.7285522!4d-73.9859947!16s%2Fg%2F1tfbtszr!19sChIJr1CafZ1ZwokRxFceQp7gpOU?authuser=0&hl=en&rclk=1"
"LanaBlu Boutique","Address: Turnstyle Underground Market, 1000s 8th Ave, New York, NY 10019, United States ","","http://www.lanablu.com/","New York, NY","New York, NY","boutique","","4.9","https://www.google.com/maps/place/LanaBlu+Boutique/data=!4m7!3m6!1s0x89c259866823555d:0x303e2b987d64fe70!8m2!3d40.7669483!4d-73.9829678!16s%2Fg%2F11ss1wfnzg!19sChIJXVUjaIZZwokRcP5kfZgrPjA?authuser=0&hl=en&rclk=1"
"Shoptiques","Address: 41 E 11th St 11th floor, New York, NY 10003, United States ","+16463689685","https://www.shoptiques.com/","New York, NY","New York, NY","boutique","","4.3","https://www.google.com/maps/place/Shoptiques/data=!4m7!3m6!1s0x89c25985bc4b0cd7:0x51b69897a5bfc35a!8m2!3d40.7332742!4d-73.9928069!16s%2Fg%2F11btmr56pz!19sChIJ1wxLvIVZwokRWsO_pZeYtlE?authuser=0&hl=en&rclk=1"
