business_name,address,phone,website,area,city,category,reviews_count,rating,url
"GRIND THE NYC COFFEE SHOP & BAGEL HOUSE","Address: 602 9th Ave, New York, NY 10036, United States ","+16467558073","http://grindnyc.com/","New York, NY","New York, NY","coffee shop","","4.7","https://www.google.com/maps/place/GRIND+THE+NYC+COFFEE+SHOP+%26+BAGEL+HOUSE/data=!4m7!3m6!1s0x89c259125a931087:0x3d471d4575240620!8m2!3d40.7590839!4d-73.9918101!16s%2Fg%2F11kgnrjx7t!19sChIJhxCTWhJZwokRIAYkdUUdRz0?authuser=0&hl=en&rclk=1"
"Coffee Project New York | East Village","Address: 239 E 5th St, New York, NY 10003, United States ","+12122287888","https://coffeeprojectny.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_ev","New York, NY","New York, NY","coffee shop","","4.6","https://www.google.com/maps/place/Coffee+Project+New+York+%7C+East+Village/data=!4m7!3m6!1s0x89c2599b5a24d7fd:0x9e354f6cf514b9fc!8m2!3d40.7270884!4d-73.989382!16s%2Fg%2F11c3svpqld!19sChIJ_dckWptZwokR_LkU9WxPNZ4?authuser=0&hl=en&rclk=1"
"Drip Drop Café, coffee shop","Address: 98 Thompson St, New York, NY 10012, United States ","","https://www.dripdrop.nyc/","New York, NY","New York, NY","coffee shop","","4.8","https://www.google.com/maps/place/Drip+Drop+Caf%C3%A9,+coffee+shop/data=!4m7!3m6!1s0x89c259983657f2c9:0x3e55e3407ba88f6e!8m2!3d40.7254115!4d-74.002083!16s%2Fg%2F11smx9yk9m!19sChIJyfJXNphZwokRbo-oe0DjVT4?authuser=0&hl=en&rclk=1"
"La Cabra Bakery","Address: 152 2nd Ave, New York, NY 10003, United States ","","https://us.lacabra.com/pages/east-village","New York, NY","New York, NY","coffee shop","","4.7","https://www.google.com/maps/place/La+Cabra+Bakery/data=!4m7!3m6!1s0x89c259e94678df4f:0x6dddc4c5f900a76!8m2!3d40.7294459!4d-73.9868353!16s%2Fg%2F11p0g5znn6!19sChIJT994RulZwokRdgqQX0zc3QY?authuser=0&hl=en&rclk=1"
"787 Coffee","Address: 204 W 10th St, New York, NY 10014, United States ","+16468526473","http://www.787coffee.com/","New York, NY","New York, NY","coffee shop","","4.9","https://www.google.com/maps/place/787+Coffee/data=!4m7!3m6!1s0x89c25984bf3c6a45:0x905aa869c527086e!8m2!3d40.7339544!4d-74.0039929!16s%2Fg%2F11tdjr9wf5!19sChIJRWo8v4RZwokRbggnxWmoWpA?authuser=0&hl=en&rclk=1"
"Blank Street Coffee","Address: 500 Lexington Ave, New York, NY 10017, United States ","","http://blankstreet.com/","New York, NY","New York, NY","coffee shop","","4.8","https://www.google.com/maps/place/Blank+Street+Coffee/data=!4m7!3m6!1s0x89c259c8f72122d5:0x98a4facd898d4bb8!8m2!3d40.7549549!4d-73.9737512!16s%2Fg%2F11t1l5dph2!19sChIJ1SIh98hZwokRuEuNic36pJg?authuser=0&hl=en&rclk=1"
"787 Coffee","Address: 93 Worth St, New York, NY 10013, United States ","+19174441196","http://www.787coffee.com/","New York, NY","New York, NY","coffee shop","","4.9","https://www.google.com/maps/place/787+Coffee/data=!4m7!3m6!1s0x89c25b377fd2aa47:0x828f2d1d16df18ab!8m2!3d40.7165872!4d-74.0048064!16s%2Fg%2F11sl700j__!19sChIJR6rSfzdbwokRqxjfFh0tj4I?authuser=0&hl=en&rclk=1"
"Green Lane Coffee","Address: 1582 1st Ave, New York, NY 10028, United States ","+16465901406","https://www.greenlane.coffee/","New York, NY","New York, NY","coffee shop","","4.7","https://www.google.com/maps/place/Green+Lane+Coffee/data=!4m7!3m6!1s0x89c25920340c9b59:0xa65132af7a9ac369!8m2!3d40.7744363!4d-73.950884!16s%2Fg%2F11rmx3t5fj!19sChIJWZsMNCBZwokRacOaeq8yUaY?authuser=0&hl=en&rclk=1"
"787 Coffee","Address: 72 Thompson St, New York, NY 10012, United States ","+19172658357","http://www.787coffee.com/","New York, NY","New York, NY","coffee shop","","4.9","https://www.google.com/maps/place/787+Coffee/data=!4m7!3m6!1s0x89c259c793dd37f5:0x763ac71443a33e8b!8m2!3d40.7244179!4d-74.0029292!16s%2Fg%2F11rdb54_6n!19sChIJ9Tfdk8dZwokRiz6jQxTHOnY?authuser=0&hl=en&rclk=1"
"Sote Coffee Roasters","Address: 329 Amsterdam Ave, Manhattan, NY 10023, United States ","","https://sotecoffeeroasters.com/","New York, NY","New York, NY","coffee shop","","4.9","https://www.google.com/maps/place/Sote+Coffee+Roasters/data=!4m7!3m6!1s0x89c2591ea2271ec1:0xba41c439eaf7cc11!8m2!3d40.7808931!4d-73.9797338!16s%2Fg%2F11lv975557!19sChIJwR4noh5ZwokREcz36jnEQbo?authuser=0&hl=en&rclk=1"
