business_name,address,phone,website,area,city,category,reviews_count,rating,url
"H&A Electrician","Address: 40 Fulton St, New York, NY 10038, United States ","+16463510882","https://www.bestnycelectricianmanhattan.com/","New York, NY","New York, NY","electricians","","4.8","https://www.google.com/maps/place/H%26A+Electrician/data=!4m7!3m6!1s0x89c25a3d39458305:0xf6758912f6af992a!8m2!3d40.707876!4d-74.004745!16s%2Fg%2F1hc3pdw6w!19sChIJBYNFOT1awokRKpmv9hKJdfY?authuser=0&hl=en&rclk=1"
"New York City Electricians","Address: 50 St Marks Pl, New York, NY 10003, United States ","+16463409882","https://newyorkcityelectricianss.com/","New York, NY","New York, NY","electricians","","4.7","https://www.google.com/maps/place/New+York+City+Electricians/data=!4m7!3m6!1s0x89c2599cf1717b71:0x7cb339fa3a22b758!8m2!3d40.7280919!4d-73.9869739!16s%2Fg%2F11btn160pr!19sChIJcXtx8ZxZwokRWLciOvo5s3w?authuser=0&hl=en&rclk=1"
"Emco Electric Services","Address: 526 W 26th St Suite 1012, New York, NY 10001, United States ","+12124209766","https://www.emcony.com/","New York, NY","New York, NY","electricians","","4.9","https://www.google.com/maps/place/Emco+Electric+Services/data=!4m7!3m6!1s0x89c259b7afbcbdb7:0x65ee3143f9e2b0b2!8m2!3d40.7500522!4d-74.0042667!16s%2Fg%2F1yg586tbl!19sChIJt728r7dZwokRsrDi-UMx7mU?authuser=0&hl=en&rclk=1"
"Electrician NYC LLC","Address: 489 5th Ave Lobby, New York, NY 10017, United States ","+12125478867","https://www.electriciannyc.com/","New York, NY","New York, NY","electricians","","5","https://www.google.com/maps/place/Electrician+NYC+LLC/data=!4m7!3m6!1s0x89c259dcbbdc4737:0x5c3103f600943a8e!8m2!3d40.7529776!4d-73.9808429!16s%2Fg%2F11lclttlsh!19sChIJN0fcu9xZwokRjjqUAPYDMVw?authuser=0&hl=en&rclk=1"
"YORK ELECTRICAL CONTRACTORS","Address: 162-10 Crocheron Ave, Flushing, NY 11358, United States ","+17183537227","https://www.yorkelectrical.com/","New York, NY","New York, NY","electricians","","5","https://www.google.com/maps/place/YORK+ELECTRICAL+CONTRACTORS/data=!4m7!3m6!1s0x89c2602ee4eec6cd:0xed39e8cd81bd6993!8m2!3d40.762119!4d-73.803402!16s%2Fg%2F1tdvfhbg!19sChIJzcbu5C5gwokRk2m9gc3oOe0?authuser=0&hl=en&rclk=1"
"Apollo Electric","Address: 127 W 24 St 5th floor, New York, NY 10011, United States ","+12126438541","http://apollonyc.com/","New York, NY","New York, NY","electricians","","4.8","https://www.google.com/maps/place/Apollo+Electric/data=!4m7!3m6!1s0x89c259afc3d13d91:0x33eb5e116c704f38!8m2!3d40.7443058!4d-73.9934544!16s%2Fg%2F1tfr1bms!19sChIJkT3Rw69ZwokROE9wbBFe6zM?authuser=0&hl=en&rclk=1"
"P & T Electricians Midtown","Address: 450 W 63rd St, New York, NY 10069, United States ","+16463744274","","New York, NY","New York, NY","electricians","","4.7","https://www.google.com/maps/place/P+%26+T+Electricians+Midtown/data=!4m7!3m6!1s0x89c25e2fdb1810b5:0xf4de87e3f7c74fd0!8m2!3d40.774745!4d-73.990356!16s%2Fg%2F11f50sj54m!19sChIJtRAY2y9ewokR0E_H9-OH3vQ?authuser=0&hl=en&rclk=1"
"Daven Electric Corp.","Address: 4601c 1st Ave, Brooklyn, NY 11232, United States ","+12123901106","https://davenelectric.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google","New York, NY","New York, NY","electricians","","4.9","https://www.google.com/maps/place/Daven+Electric+Corp./data=!4m7!3m6!1s0x89c25abae4424a87:0x67c60624d77ace09!8m2!3d40.6525166!4d-74.0166543!16s%2Fg%2F1ptvxzlrv!19sChIJh0pC5LpawokRCc561yQGxmc?authuser=0&hl=en&rclk=1"
"Electrician Techs","","+17183054470","http://electriciantechs.com/?utm_campaign=gmb","New York, NY","New York, NY","electricians","","4.9","https://www.google.com/maps/place/Electrician+Techs/data=!4m7!3m6!1s0x89c245a2a563fd89:0x1b2c41720dfc8d28!8m2!3d40.0775985!4d-73.6705386!16s%2Fg%2F11cjhqvc8d!19sChIJif1jpaJFwokRKI38DXJBLBs?authuser=0&hl=en&rclk=1"
"Power Electric NY","Address: 110 N 1st St, Brooklyn, NY 11249, United States ","+19294229063","https://powerelectricnyinc.com/","New York, NY","New York, NY","electricians","","5","https://www.google.com/maps/place/Power+Electric+NY/data=!4m7!3m6!1s0x62be1036d102f563:0xa67a04050e7c3f7f!8m2!3d40.7156522!4d-73.9627756!16s%2Fg%2F11sjtcqrxp!19sChIJY_UC0TYQvmIRfz98DgUEeqY?authuser=0&hl=en&rclk=1"
