business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Energy Fencing","Address: 614 Bradford St, Brooklyn, NY 11207, United States ","+13478585093","https://www.energyfencing.com/","New York, NY","New York, NY","fence contractor","","4.8","https://www.google.com/maps/place/Energy+Fencing/data=!4m7!3m6!1s0x89c25c8f32a8155f:0x1df96633adbd663f!8m2!3d40.6636012!4d-73.8899926!16s%2Fg%2F11cjhy_czc!19sChIJXxWoMo9cwokRP2a9rTNm-R0?authuser=0&hl=en&rclk=1"
"INTEGRITY FENCE AND DECK L.L.C.","Address: 4322 Richardson Ave #1, Bronx, NY 10466, United States ","+19144848969","https://www.integrityfenceanddeck.com/","New York, NY","New York, NY","fence contractor","","5","https://www.google.com/maps/place/INTEGRITY+FENCE+AND+DECK+L.L.C./data=!4m7!3m6!1s0x89c2f33abd7820a3:0x86a2b300a2748936!8m2!3d40.8965047!4d-73.8567235!16s%2Fg%2F11q2vv6w50!19sChIJoyB4vTrzwokRNol0ogCzooY?authuser=0&hl=en&rclk=1"
"Skyfen Fence Company Brooklyn","Address: 1770 E 14th St Apt 4c, Brooklyn, NY 11229, United States ","+19295817722","https://skyfenfencecompanybrooklyn.com/","New York, NY","New York, NY","fence contractor","","5","https://www.google.com/maps/place/Skyfen+Fence+Company+Brooklyn/data=!4m7!3m6!1s0x89c2455ab51f1f31:0x3981042735f6d071!8m2!3d40.6061217!4d-73.9590406!16s%2Fg%2F11vj5vxlpr!19sChIJMR8ftVpFwokRcdD2NScEgTk?authuser=0&hl=en&rclk=1"
"Bracci Fence & Ironworks","Address: 1440 Utica Ave, Brooklyn, NY 11203, United States ","+17182847300","http://braccifence.com/","New York, NY","New York, NY","fence contractor","","4.2","https://www.google.com/maps/place/Bracci+Fence+%26+Ironworks/data=!4m7!3m6!1s0x89c25ca42f45dbe3:0x75d2ca000cdf784e!8m2!3d40.6372819!4d-73.9291121!16s%2Fg%2F12601381y!19sChIJ49tFL6RcwokRTnjfDADK0nU?authuser=0&hl=en&rclk=1"
"Olympic Fence","Address: 100-35 Atlantic Ave, Richmond Hill, NY 11418, United States ","+17182962008","http://olympicfencenyc.com/","New York, NY","New York, NY","fence contractor","","3.9","https://www.google.com/maps/place/Olympic+Fence/data=!4m7!3m6!1s0x89c25df8b9f60d6b:0xc03ce05f1f369e8!8m2!3d40.6899712!4d-73.8430799!16s%2Fg%2F1tcx_rsw!19sChIJaw32ufhdwokR6Gnz8QXOAww?authuser=0&hl=en&rclk=1"
"Forrester Fence Co","Address: 482 Chester St, Brooklyn, NY 11212, United States ","+17183854915","http://forresterfence.com/","New York, NY","New York, NY","fence contractor","","4.6","https://www.google.com/maps/place/Forrester+Fence+Co/data=!4m7!3m6!1s0x89c25cf39c520bc3:0x1d7c7738c44f4da9!8m2!3d40.6597527!4d-73.9093038!16s%2Fg%2F1tfn3npg!19sChIJwwtSnPNcwokRqU1PxDh3fB0?authuser=0&hl=en&rclk=1"
"Fence Factory","Address: 97-22 100th St, Ozone Park, NY 11416, United States ","+13479225744","http://www.fencefactoryny.com/","New York, NY","New York, NY","fence contractor","","4.8","https://www.google.com/maps/place/Fence+Factory/data=!4m7!3m6!1s0x89c25df8106b8863:0x2c6940e744f43e4!8m2!3d40.6866531!4d-73.8431095!16s%2Fg%2F1wnbyy9r!19sChIJY4hrEPhdwokR5ENPdA6UxgI?authuser=0&hl=en&rclk=1"
"JR Fencing","Address: 92 Davidson St, Staten Island, NY 10303, United States ","+17187612118","http://www.jrfencingny.com/","New York, NY","New York, NY","fence contractor","","4.6","https://www.google.com/maps/place/JR+Fencing/data=!4m7!3m6!1s0x89c24dad5041d0eb:0x1df5f617bfcfe783!8m2!3d40.6352415!4d-74.1648487!16s%2Fg%2F1t_khfq6!19sChIJ69BBUK1NwokRg-fPvxf29R0?authuser=0&hl=en&rclk=1"
"Liberty Fence & Railing","Address: 775 Meacham Ave, Elmont, NY 11003, United States ","+15168729734","https://libertyfence.com/","New York, NY","New York, NY","fence contractor","","3.4","https://www.google.com/maps/place/Liberty+Fence+%26+Railing/data=!4m7!3m6!1s0x89c263710a032bcd:0xbadbed4aa511b311!8m2!3d40.68707!4d-73.6918545!16s%2Fg%2F1tnpgc42!19sChIJzSsDCnFjwokREbMRpUrt27o?authuser=0&hl=en&rclk=1"
"Mike's Fence Co","Address: New Rochelle, NY 10802, United States ","+19146368031","http://www.mikefence.com/","New York, NY","New York, NY","fence contractor","","4.8","https://www.google.com/maps/place/Mike%27s+Fence+Co/data=!4m7!3m6!1s0x89c28da547b464ed:0xf6f60cd0208a12c4!8m2!3d40.9119216!4d-73.7822616!16s%2Fg%2F1tdph3qz!19sChIJ7WS0R6WNwokRxBKKINAM9vY?authuser=0&hl=en&rclk=1"
