business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Make Ready NYC Flooring and Painting","Address: 203 W 87th St, New York, NY 10024, United States ","+19175264943","https://www.makereadynyc.com/","New York, NY","New York, NY","flooring contractor","","4.9","https://www.google.com/maps/place/Make+Ready+NYC+Flooring+and+Painting/data=!4m7!3m6!1s0x89c2588388a4d72f:0x6c5cc7dc859d50f5!8m2!3d40.788754!4d-73.9750701!16s%2Fg%2F11gdkq7g20!19sChIJL9ekiINYwokR9VCdhdzHXGw?authuser=0&hl=en&rclk=1"
"Verrazano Flooring Co.","Address: 4901 2nd Ave, Brooklyn, NY 11232, United States ","+17183699663","http://www.verrazanoflooring.com/","New York, NY","New York, NY","flooring contractor","","5","https://www.google.com/maps/place/Verrazano+Flooring+Co./data=!4m7!3m6!1s0x89c25ab045adb733:0x64af91a452c34765!8m2!3d40.6494786!4d-74.0163538!16s%2Fg%2F1tdpbjm7!19sChIJM7etRbBawokRZUfDUqSRr2Q?authuser=0&hl=en&rclk=1"
"Toscano Floor Designs LLC.","","+18558728672","http://www.toscanofloordesigns.com/","New York, NY","New York, NY","flooring contractor","","4.9","https://www.google.com/maps/place/Toscano+Floor+Designs+LLC./data=!4m7!3m6!1s0x89c25925e55ca841:0xdcd70731f0bae7d3!8m2!3d40.419584!4d-73.6705386!16s%2Fg%2F11b7h5k45p!19sChIJQahc5SVZwokR0-e68DEH19w?authuser=0&hl=en&rclk=1"
"Wood Flooring Masters","Address: 800 3rd Ave Suite A #1004, New York, NY 10022, United States ","+18889362936","https://woodflooringmasters.com/","New York, NY","New York, NY","flooring contractor","","4.7","https://www.google.com/maps/place/Wood+Flooring+Masters/data=!4m7!3m6!1s0x89e8371f2178f76f:0x3a13db02c3613456!8m2!3d40.7556476!4d-73.9713866!16s%2Fg%2F11qpvfpg5t!19sChIJb_d4IR836IkRVjRhwwLbEzo?authuser=0&hl=en&rclk=1"
"Spagnoli Enterprise Inc","Address: 7502 15th Ave, Brooklyn, NY 11228, United States ","+17182529128","https://spagnoliflooring.nyc/","New York, NY","New York, NY","flooring contractor","","4.9","https://www.google.com/maps/place/Spagnoli+Enterprise+Inc/data=!4m7!3m6!1s0x89c2435a036441f7:0xb28c4eca23793394!8m2!3d40.6176243!4d-74.0033643!16s%2Fg%2F1tfhh9nx!19sChIJ90FkA1pDwokRlDN5I8pOjLI?authuser=0&hl=en&rclk=1"
"NYC Floor Pro inc | Wood Flooring, Luxury Vinyl Flooring New York","Address: 238 E 60th St 2nd floor, New York, NY 10022, United States ","+17183165330","http://www.nycfloorpro.com/","New York, NY","New York, NY","flooring contractor","","4.8","https://www.google.com/maps/place/NYC+Floor+Pro+inc+%7C+Wood+Flooring,+Luxury+Vinyl+Flooring+New+York/data=!4m7!3m6!1s0x89c2591ccff8acb7:0x6b7dcd082eec0070!8m2!3d40.7614232!4d-73.9647277!16s%2Fg%2F11cjsf8dwb!19sChIJt6z4zxxZwokRcADsLgjNfWs?authuser=0&hl=en&rclk=1"
"Scerri Quality Wood Floors & Paint","Address: 430 E 11th St, New York, NY 10009, United States ","+12124720671","https://www.gonefinishing.com/?y_source=1_MzI1MjIxOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ==","New York, NY","New York, NY","flooring contractor","","4.9","https://www.google.com/maps/place/Scerri+Quality+Wood+Floors+%26+Paint/data=!4m7!3m6!1s0x89c258c12fd91c29:0xb37c61ebd31355e1!8m2!3d40.7285801!4d-73.9826296!16s%2Fg%2F1tdd1ls_!19sChIJKRzZL8FYwokR4VUT0-thfLM?authuser=0&hl=en&rclk=1"
"Buono's Flooring","Address: 600 3rd Ave 2nd floor, New York, NY 10016, United States ","+17186456934","https://www.buonoflooring.com/","New York, NY","New York, NY","flooring contractor","","4.8","https://www.google.com/maps/place/Buono%27s+Flooring/data=!4m7!3m6!1s0x89c24b0525225697:0x910b587f43512f5e!8m2!3d40.7493238!4d-73.9759092!16s%2Fg%2F1vc82qpn!19sChIJl1YiJQVLwokRXi9RQ39YC5E?authuser=0&hl=en&rclk=1"
"NY flooring guys","Address: 144-14 166th St, Jamaica, NY 11434, United States ","+17186076998","http://nyflooringguys.com/","New York, NY","New York, NY","flooring contractor","","4.8","https://www.google.com/maps/place/NY+flooring+guys/data=!4m7!3m6!1s0x89c267d494356a05:0x7e49227b0d83059c!8m2!3d40.6656813!4d-73.7777432!16s%2Fg%2F11hynk6q3_!19sChIJBWo1lNRnwokRnAWDDXsiSX4?authuser=0&hl=en&rclk=1"
"Y-Not-Flooring","Address: 408 Manhattan Ave, New York, NY 10026, United States ","+19292375065","","New York, NY","New York, NY","flooring contractor","","4.9","https://www.google.com/maps/place/Y-Not-Flooring/data=!4m7!3m6!1s0x89c2f66d6dbb128d:0x2b1da5d7f436fe36!8m2!3d40.8062179!4d-73.9558056!16s%2Fg%2F11bwhb6nth!19sChIJjRK7bW32wokRNv429NelHSs?authuser=0&hl=en&rclk=1"
"Lotus Flooring INC.","Address: 1382 Burke Ave, Bronx, NY 10469, United States ","+16463273970","http://lotusflooringinc.com/","New York, NY","New York, NY","flooring contractor","","4.8","https://www.google.com/maps/place/Lotus+Flooring+INC./data=!4m7!3m6!1s0x89c2f34a30218cb1:0xf5c699bee74822ce!8m2!3d40.87192!4d-73.847031!16s%2Fg%2F1vxdz5ws!19sChIJsYwhMErzwokRziJI576ZxvU?authuser=0&hl=en&rclk=1"
