business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Jensen-Lewis Furniture","Address: 969 3rd Ave, New York, NY 10022, United States ","+12124340990","https://www.jensen-lewis.com/","New York, NY","New York, NY","furniture store","","4.8","https://www.google.com/maps/place/Jensen-Lewis+Furniture/data=!4m7!3m6!1s0x89c258e5b9d1b4e9:0x3397b90cfe40548c!8m2!3d40.7607444!4d-73.9669261!16s%2Fg%2F1vlk2gq2!19sChIJ6bTRueVYwokRjFRA_gy5lzM?authuser=0&hl=en&rclk=1"
"Room & Board","Address: 236 W 18th St, New York, NY 10011, United States ","+18663961055","https://www.roomandboard.com/stores/chelsea?Camp=loc_chelsea","New York, NY","New York, NY","furniture store","","4.5","https://www.google.com/maps/place/Room+%26+Board/data=!4m7!3m6!1s0x89c259bc115bf543:0xcb6707a3b8a2673a!8m2!3d40.7415182!4d-73.9998828!16s%2Fg%2F11b6ql9_1s!19sChIJQ_VbEbxZwokROmeiuKMHZ8s?authuser=0&hl=en&rclk=1"
"Raymour & Flanigan Furniture and Mattress Store","Address: 1961 Broadway, New York, NY 10023, United States ","+16465569390","https://www.raymourflanigan.com/locations/NY/broadway--66th-street?utm_source=google&utm_medium=organic&utm_campaign=local-listing","New York, NY","New York, NY","furniture store","","4.7","https://www.google.com/maps/place/Raymour+%26+Flanigan+Furniture+and+Mattress+Store/data=!4m7!3m6!1s0x89c2588a7d85af95:0xd7e48017daee3b88!8m2!3d40.7742009!4d-73.9825857!16s%2Fg%2F1ts305fz!19sChIJla-FfYpYwokRiDvu2heA5Nc?authuser=0&hl=en&rclk=1"
"Bob’s Discount Furniture and Mattress Store","Address: 517 E 117th St, New York, NY 10035, United States ","+16464006180","https://www.mybobs.com/store/new-york/manhattan?utm_medium=local&utm_source=maps&utm_campaign=Yext&utm_term=new_york&utm_content=new_york","New York, NY","New York, NY","furniture store","","4.8","https://www.google.com/maps/place/Bob%E2%80%99s+Discount+Furniture+and+Mattress+Store/data=!4m7!3m6!1s0x89c2f5fcec94093f:0x8d4121018b2fcc8!8m2!3d40.7952416!4d-73.9306489!16s%2Fg%2F1tdq_nbp!19sChIJPwmU7Pz1wokRyPyyGBAS1Ag?authuser=0&hl=en&rclk=1"
"Canal Furniture","Address: 402 Broadway, New York, NY 10013, United States ","+12129255343","https://nyfurniture.com/","New York, NY","New York, NY","furniture store","","4.6","https://www.google.com/maps/place/Canal+Furniture/data=!4m7!3m6!1s0x89c2598a73af69c1:0xcf9b9ae0dfe06241!8m2!3d40.7186887!4d-74.0021707!16s%2Fg%2F1td145l_!19sChIJwWmvc4pZwokRQWLg3-Cam88?authuser=0&hl=en&rclk=1"
"Ashley Store","Address: 517 E 117th St, New York, NY 10035, United States ","+17325481200","https://stores.ashleyfurniture.com/store/us/new-york/new-york/517-e-117th-st/?utm_source=G&utm_medium=localSEO&utm_campaign=google","New York, NY","New York, NY","furniture store","","4.9","https://www.google.com/maps/place/Ashley+Store/data=!4m7!3m6!1s0x89c2f51fa85b1365:0xc314371698b1eed0!8m2!3d40.795386!4d-73.931022!16s%2Fg%2F11s5xr_qck!19sChIJZRNbqB_1wokR0O6xmBY3FMM?authuser=0&hl=en&rclk=1"
"Furnish Green","Address: 132 1/2 W 24 St, New York, NY 10011, United States ","+19175839051","http://www.furnishgreen.com/","New York, NY","New York, NY","furniture store","","4.7","https://www.google.com/maps/place/Furnish+Green/data=!4m7!3m6!1s0x89c259a8d04c0a5b:0x5a6401e50bbca22f!8m2!3d40.7440977!4d-73.9938469!16s%2Fg%2F1v6qjjrg!19sChIJWwpM0KhZwokRL6K8C-UBZFo?authuser=0&hl=en&rclk=1"
"Brooklyn City Furniture","Address: 820 Manhattan Ave, Brooklyn, NY 11222, United States ","+13474575727","http://brooklyncityfurniture.com/","New York, NY","New York, NY","furniture store","","4.9","https://www.google.com/maps/place/Brooklyn+City+Furniture/data=!4m7!3m6!1s0x89c25946d40dfa05:0xe74ff63788916add!8m2!3d40.728413!4d-73.9532375!16s%2Fg%2F11cfbq1hb!19sChIJBfoN1EZZwokR3WqRiDf2T-c?authuser=0&hl=en&rclk=1"
"Ethan Allen","Address: 685 Lexington Ave, New York, NY 10022, United States ","+12128882384","https://www.ethanallen.com/en_US/store-details?StoreID=507","New York, NY","New York, NY","furniture store","","4.6","https://www.google.com/maps/place/Ethan+Allen/data=!4m7!3m6!1s0x89c258e5f6781811:0x24ff6ed449772319!8m2!3d40.760458!4d-73.9693232!16s%2Fg%2F1tdh4sk2!19sChIJERh49uVYwokRGSN3SdRu_yQ?authuser=0&hl=en&rclk=1"
"7th Avenue @ Nolita NYC","Address: 175 A Mott St, New York, NY 10012, United States ","+19294985372","https://7thavenue.co/","New York, NY","New York, NY","furniture store","","4.8","https://www.google.com/maps/place/7th+Avenue+@+Nolita+NYC/data=!4m7!3m6!1s0x89c259231283982b:0xe3f52e06bfebb9b7!8m2!3d40.7204937!4d-73.9960938!16s%2Fg%2F11kq5chc8b!19sChIJK5iDEiNZwokRt7nrvwYu9eM?authuser=0&hl=en&rclk=1"
