business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Christofle New York","Address: 41 E 57th St, New York, NY 10022, United States ","+12123089390","http://www.christofle.com/us_en/?utm_source=google&utm_medium=yext","New York, NY","New York, NY","gift shop","","3.9","https://www.google.com/maps/place/Christofle+New+York/data=!4m7!3m6!1s0x89c258ec8bbf7017:0x22d9929b59ef3ce2!8m2!3d40.762437!4d-73.971819!16s%2Fg%2F1tp8_z80!19sChIJF3C_i-xYwokR4jzvWZuS2SI?authuser=0&hl=en&rclk=1"
"Tea Dealers & Ceramics","Address: 90 Hudson St, New York, NY 10013, United States ","+12124010718","http://www.teadealers.com/","New York, NY","New York, NY","gift shop","","4.8","https://www.google.com/maps/place/Tea+Dealers+%26+Ceramics/data=!4m7!3m6!1s0x89c25b00459bea5f:0x826a36243259218f!8m2!3d40.718747!4d-74.00853!16s%2Fg%2F11y7516pky!19sChIJX-qbRQBbwokRjyFZMiQ2aoI?authuser=0&hl=en&rclk=1"
"I Love NY Gifts","Address: 1653 Broadway, New York, NY 10019, United States ","","","New York, NY","New York, NY","gift shop","","3.5","https://www.google.com/maps/place/I+Love+NY+Gifts/data=!4m7!3m6!1s0x89c258562d0609e5:0x79ad10e972fac102!8m2!3d40.762456!4d-73.9835957!16s%2Fg%2F11c1x_mpwb!19sChIJ5QkGLVZYwokRAsH6cukQrXk?authuser=0&hl=en&rclk=1"
"Souvenirs LLC","Address: 377 5th Ave, New York, NY 10016, United States ","","https://souvenirsllc.shop/","New York, NY","New York, NY","gift shop","","4.2","https://www.google.com/maps/place/Souvenirs+LLC/data=!4m7!3m6!1s0x89c259a9e883b859:0xb6fe0f39891bf9e!8m2!3d40.7492225!4d-73.9836228!16s%2Fg%2F1xn_p90p!19sChIJWbiD6KlZwokRnr-RmPPgbws?authuser=0&hl=en&rclk=1"
"Memories of New York","Address: 206 5th Ave, New York, NY 10010, United States ","+12122520030","http://www.memoriesofnewyork.com/","New York, NY","New York, NY","gift shop","","4.7","https://www.google.com/maps/place/Memories+of+New+York/data=!4m7!3m6!1s0x89c259a68215e2a5:0x1356af184f22de89!8m2!3d40.74321!4d-73.988793!16s%2Fg%2F1tkf1x8g!19sChIJpeIVgqZZwokRid4iTxivVhM?authuser=0&hl=en&rclk=1"
"NYC Gifts","Address: 1027 6th Ave, New York, NY 10018, United States ","","","New York, NY","New York, NY","gift shop","","4","https://www.google.com/maps/place/NYC+Gifts/data=!4m7!3m6!1s0x89c259abacc897f9:0x9a494c9dccb07867!8m2!3d40.7526504!4d-73.9859844!16s%2Fg%2F11hcdwbg05!19sChIJ-ZfIrKtZwokRZ3iwzJ1MSZo?authuser=0&hl=en&rclk=1"
"I Love NY Gifts by Phantom of Broadway","Address: 120 Greenwich St, New York, NY 10006, United States ","+12126191518","http://www.phantomofbroadway.com/","New York, NY","New York, NY","gift shop","","3.8","https://www.google.com/maps/place/I+Love+NY+Gifts+by+Phantom+of+Broadway/data=!4m7!3m6!1s0x89c25bf403d4badd:0x74b4822bc0a4ae4d!8m2!3d40.7091285!4d-74.0132811!16s%2Fg%2F11qnbj7876!19sChIJ3brUA_RbwokRTa6kwCuCtHQ?authuser=0&hl=en&rclk=1"
"NY Gifts","Address: 375a 6th Ave, New York, NY 10014, United States ","+12129896350","","New York, NY","New York, NY","gift shop","","4.9","https://www.google.com/maps/place/NY+Gifts/data=!4m7!3m6!1s0x89c2599154dca11b:0x47c799ba725c4238!8m2!3d40.732864!4d-74.0003714!16s%2Fg%2F1wj_v5jg!19sChIJG6HcVJFZwokROEJccrqZx0c?authuser=0&hl=en&rclk=1"
"I Love NY Gifts by Phantom of Broadway","Address: 581 5th Ave, New York, NY 10017, United States ","+12127504497","https://www.ilovenygifts.com/","New York, NY","New York, NY","gift shop","","3.9","https://www.google.com/maps/place/I+Love+NY+Gifts+by+Phantom+of+Broadway/data=!4m7!3m6!1s0x89c258fe624fafef:0x59e46f82d5900121!8m2!3d40.7567451!4d-73.9781086!16s%2Fg%2F1thz2k_7!19sChIJ769PYv5YwokRIQGQ1YJv5Fk?authuser=0&hl=en&rclk=1"
"Big Apple Souvenirs & Gifts","Address: 840 7th Ave, New York, NY 10019, United States ","+12125863089","","New York, NY","New York, NY","gift shop","","4.8","https://www.google.com/maps/place/Big+Apple+Souvenirs+%26+Gifts/data=!4m7!3m6!1s0x89c258f8152a01fd:0x91d51bf3419d30ef!8m2!3d40.7635272!4d-73.9817164!16s%2Fg%2F1t_tl66_!19sChIJ_QEqFfhYwokR7zCdQfMb1ZE?authuser=0&hl=en&rclk=1"
