business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Capri Window Corp.","Address: 3-16 Onderdonk Ave, Ridgewood, NY 11385, United States ","+17183861652","http://capriwindow.net/","New York, NY","New York, NY","handyman","","4.5","https://www.google.com/maps/place/Capri+Window+Corp./data=!4m7!3m6!1s0x89c25ea1ab75039d:0x2ff8fe1b76af5f99!8m2!3d40.708494!4d-73.915136!16s%2Fg%2F11c2pt0cv9!19sChIJnQN1q6FewokRmV-vdhv--C8?authuser=0&hl=en&rclk=1"
"Statewide Stone Care","Address: 276 5th Ave #704, New York, NY 10001, United States ","+18885745595","https://statewidestonecare.com/","New York, NY","New York, NY","handyman","","4.9","https://www.google.com/maps/place/Statewide+Stone+Care/data=!4m7!3m6!1s0x89c258d4c0fcd9d9:0xa58fc0b4c31b2234!8m2!3d40.745892!4d-73.986922!16s%2Fg%2F1z44b29bq!19sChIJ2dn8wNRYwokRNCIbw7TAj6U?authuser=0&hl=en&rclk=1"
"Cristian NYC Handyman","Address: 21 W 16th St, New York, NY 10011, United States ","+18459018463","https://nychandyman.com/","New York, NY","New York, NY","handyman","","5","https://www.google.com/maps/place/Cristian+NYC+Handyman/data=!4m7!3m6!1s0x89c259634886151b:0xdbd5e775fbc3e192!8m2!3d40.7381689!4d-73.9941366!16s%2Fg%2F11q2s57n28!19sChIJGxWGSGNZwokRkuHD-3Xn1ds?authuser=0&hl=en&rclk=1"
"NYC HANDYMAN","","+19179155732","http://www.bigapplehandyman.com/","New York, NY","New York, NY","handyman","","4.9","https://www.google.com/maps/place/NYC+HANDYMAN/data=!4m7!3m6!1s0x89c259ab9bca189d:0xadc93064fdfee604!8m2!3d40.76873!4d-73.9950294!16s%2Fg%2F1ts305kr!19sChIJnRjKm6tZwokRBOb-_WQwya0?authuser=0&hl=en&rclk=1"
"Active Handyman Services NYC","Address: 1485 Park Ave #15F, New York, NY 10029, United States ","+19293571630","https://www.activehandymanservicesnyc.com/","New York, NY","New York, NY","handyman","","4.9","https://www.google.com/maps/place/Active+Handyman+Services+NYC/data=!4m7!3m6!1s0x89c2f7c483521395:0x55ec4bcd236cef8c!8m2!3d40.794353!4d-73.9461082!16s%2Fg%2F11rptmcfq5!19sChIJlRNSg8T3wokRjO9sI81L7FU?authuser=0&hl=en&rclk=1"
"Mr NYC Handyman","Address: 155 W 29th St, New York, NY 10001, United States ","+13477276679","http://www.mrnychandymanservices.com/","New York, NY","New York, NY","handyman","","5","https://www.google.com/maps/place/Mr+NYC+Handyman/data=!4m7!3m6!1s0x89c259f4ee876cd7:0xdd7ea9d4082bc2a5!8m2!3d40.7477151!4d-73.9921437!16s%2Fg%2F11ry9s4sbm!19sChIJ12yH7vRZwokRpcIrCNSpft0?authuser=0&hl=en&rclk=1"
"Handyman Repairs For Less Manhattan","Address: 89 Pitt St apt 6b, New York, NY 10002, United States ","+13152163636","https://www.handymanrepairsforlessmanhattan.com/","New York, NY","New York, NY","handyman","","4.9","https://www.google.com/maps/place/Handyman+Repairs+For+Less+Manhattan/data=!4m7!3m6!1s0x89c259645dbfbd53:0x5534f518536f28f3!8m2!3d40.7187272!4d-73.9825668!16s%2Fg%2F11t3yql88c!19sChIJU72_XWRZwokR8yhvUxj1NFU?authuser=0&hl=en&rclk=1"
"East Village Handyman Services","","+19293571612","https://www.eastvillage-handymanservices.com/","New York, NY","New York, NY","handyman","","4.9","https://www.google.com/maps/place/East+Village+Handyman+Services/data=!4m7!3m6!1s0x2e3398f9eaa1fa41:0xbd06c97fecf60639!8m2!3d40.7813047!4d-73.9771184!16s%2Fg%2F11slrt2cwh!19sChIJQfqh6vmYMy4ROQb27H_JBr0?authuser=0&hl=en&rclk=1"
"Midtown Manhattan fast handyman","Address: 330 E 54th St Apt 4c, New York, NY 10022, United States ","+13473434937","https://www.midtownmanhattanfasthandyman.com/","New York, NY","New York, NY","handyman","","4.8","https://www.google.com/maps/place/Midtown+Manhattan+fast+handyman/data=!4m7!3m6!1s0x89c25918f1351c87:0xbeab576b6e3a7923!8m2!3d40.7567525!4d-73.9656742!16s%2Fg%2F11l3gykrhw!19sChIJhxw18RhZwokRI3k6bmtXq74?authuser=0&hl=en&rclk=1"
"Soho Handyman Services","Address: 125 Sullivan St # 3, New York, NY 10012, United States ","+13476997697","http://soho-handyman-services.com/","New York, NY","New York, NY","handyman","","4.9","https://www.google.com/maps/place/Soho+Handyman+Services/data=!4m7!3m6!1s0x89c259506bd353ff:0xe7b6e6ae6b598880!8m2!3d40.7263107!4d-74.0023315!16s%2Fg%2F11hk65lh8s!19sChIJ_1PTa1BZwokRgIhZa67mtuc?authuser=0&hl=en&rclk=1"
