business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Material Smith INC","Address: 704 76th St, North Bergen, NJ 07047, United States ","+12014664499","https://material-smith.com/","New York, NY","New York, NY","hardware store","","5","https://www.google.com/maps/place/Material+Smith+INC/data=!4m7!3m6!1s0x89c2f72fd3b40931:0x6937ae39ad4bf4b0!8m2!3d40.801131!4d-74.009551!16s%2Fg%2F11mcb_7l71!19sChIJMQm00y_3wokRsPRLrTmuN2k?authuser=0&hl=en&rclk=1"
"Columbus Hardware","Address: 842 9th Ave, New York, NY 10019, United States ","+12122652425","https://www.columbushardwareinc.com/","New York, NY","New York, NY","hardware store","","4.3","https://www.google.com/maps/place/Columbus+Hardware/data=!4m7!3m6!1s0x89c25859b67df63d:0x4d2381b85edb5494!8m2!3d40.7666099!4d-73.9862361!16s%2Fg%2F1tmqh370!19sChIJPfZ9tllYwokRlFTbXriBI00?authuser=0&hl=en&rclk=1"
"Warshaw Hardware","Address: 248 3rd Ave, New York, NY 10010, United States ","+12124755820","http://warshawhardware.com/","New York, NY","New York, NY","hardware store","","4.8","https://www.google.com/maps/place/Warshaw+Hardware/data=!4m7!3m6!1s0x89c259a069b9db33:0x489d9ba54ec5484b!8m2!3d40.7372567!4d-73.9845271!16s%2Fg%2F1td48x2n!19sChIJM9u5aaBZwokRS0jFTqWbnUg?authuser=0&hl=en&rclk=1"
"Garden Hardware & Supply","Address: 701 10th Ave, New York, NY 10036, United States ","+12122472888","","New York, NY","New York, NY","hardware store","","4.6","https://www.google.com/maps/place/Garden+Hardware+%26+Supply/data=!4m7!3m6!1s0x89c25851b798f3cf:0xcfb87e7b32062638!8m2!3d40.7633843!4d-73.9931033!16s%2Fg%2F1tyyy0hp!19sChIJz_OYt1FYwokROCYGMnt-uM8?authuser=0&hl=en&rclk=1"
"Nuthouse Hardware","Address: 202 E 29th St, New York, NY 10016, United States ","+12125451447","https://nuthousehardware.com/","New York, NY","New York, NY","hardware store","","4","https://www.google.com/maps/place/Nuthouse+Hardware/data=!4m7!3m6!1s0x89c259090062cb71:0x74f2c5d313e75fb7!8m2!3d40.7423007!4d-73.9799719!16s%2Fg%2F1tfwfdw1!19sChIJcctiAAlZwokRt1_nE9PF8nQ?authuser=0&hl=en&rclk=1"
"Union Square Supply","Address: 130 4th Ave, New York, NY 10003, United States ","+12124734292","https://unionsquaresupply.com/","New York, NY","New York, NY","hardware store","","4.3","https://www.google.com/maps/place/Union+Square+Supply/data=!4m7!3m6!1s0x89c2590853ae8879:0x748bfec3583b7f33!8m2!3d40.7332392!4d-73.9901485!16s%2Fg%2F11gxsfy806!19sChIJeYiuUwhZwokRM387WMP-i3Q?authuser=0&hl=en&rclk=1"
"Fulton Supply & Hardware","Address: 74 Fulton St, New York, NY 10038, United States ","+12125874088","https://fultonsupplynyc.com/","New York, NY","New York, NY","hardware store","","4.4","https://www.google.com/maps/place/Fulton+Supply+%26+Hardware/data=!4m7!3m6!1s0x89c25a22b4859a61:0x836168432075cf1!8m2!3d40.7089382!4d-74.0054616!16s%2Fg%2F1tt8d5jl!19sChIJYZqFtCJawokR8VwHMoQWNgg?authuser=0&hl=en&rclk=1"
"hardware store Hercules Supply House","Address: 213 E 84th St, New York, NY 10028, United States ","+12122492701","","New York, NY","New York, NY","hardware store","","4.8","https://www.google.com/maps/place/hardware+store+Hercules+Supply+House/data=!4m7!3m6!1s0x89c258bc7051eb91:0xa53a745969f5190c!8m2!3d40.7774202!4d-73.9542083!16s%2Fg%2F11cnpf2n50!19sChIJketRcLxYwokRDBn1aVl0OqU?authuser=0&hl=en&rclk=1"
"Rivington Discount & Hardware","Address: 166 Rivington St, New York, NY 10002, United States ","+16463867312","https://www.pointy.com/shops/usa/new-york/manhattan/rivington-discount-and-hardware","New York, NY","New York, NY","hardware store","","4.6","https://www.google.com/maps/place/Rivington+Discount+%26+Hardware/data=!4m7!3m6!1s0x89c25981b966b905:0x573a868f38385258!8m2!3d40.7190892!4d-73.9848373!16s%2Fg%2F11xvr55w5!19sChIJBblmuYFZwokRWFI4OI-GOlc?authuser=0&hl=en&rclk=1"
"JM Hardware Locksmith","Address: 19 E 21st St, New York, NY 10010, United States ","+12126736050","https://www.jmhardwarelocksmith.com/","New York, NY","New York, NY","hardware store","","4.8","https://www.google.com/maps/place/JM+Hardware+Locksmith/data=!4m7!3m6!1s0x89c259a3df19e329:0x3c20d0b9d07ce51c!8m2!3d40.7397957!4d-73.9889533!16s%2Fg%2F1tcws1bc!19sChIJKeMZ36NZwokRHOV80LnQIDw?authuser=0&hl=en&rclk=1"
