business_name,address,phone,website,area,city,category,reviews_count,rating,url
"JJ Hat Center","Address: 310 5th Ave #1, New York, NY 10001, United States ","+18006221911","http://www.jjhatcenter.com/","New York, NY","New York, NY","hat shop","","4.5","https://www.google.com/maps/place/JJ+Hat+Center/data=!4m7!3m6!1s0x89c259a8f5739c33:0x7f7fdf7d75abdb02!8m2!3d40.7469445!4d-73.9858842!16s%2Fg%2F1wd3wzf6!19sChIJM5xz9ahZwokRAturdX3ff38?authuser=0&hl=en&rclk=1"
"The Hat Shop","Address: 148 Sullivan St, New York, NY 10012, United States ","+12122191445","http://www.thehatshopnyc.com/","New York, NY","New York, NY","hat shop","","4.4","https://www.google.com/maps/place/The+Hat+Shop/data=!4m7!3m6!1s0x89c2598dcc1cf219:0x4e1703ac3b30064d!8m2!3d40.7272934!4d-74.0020634!16s%2Fg%2F1tf6y84n!19sChIJGfIczI1ZwokRTQYwO6wDF04?authuser=0&hl=en&rclk=1"
"East Village Hats","Address: 80 E 7th St, New York, NY 10003, United States ","+12123587092","http://www.eastvillagehats.nyc/","New York, NY","New York, NY","hat shop","","4.7","https://www.google.com/maps/place/East+Village+Hats/data=!4m7!3m6!1s0x89c2599ce9a38b07:0x7d70149ced4056b2!8m2!3d40.7271889!4d-73.9864583!16s%2Fg%2F1tfjrmfq!19sChIJB4uj6ZxZwokRslZA7ZwUcH0?authuser=0&hl=en&rclk=1"
"Flamekeepers Hat Club","Address: 273 W 121st St, New York, NY 10027, United States ","+12125313542","http://flamekeepershatclub.com/","New York, NY","New York, NY","hat shop","","4.9","https://www.google.com/maps/place/Flamekeepers+Hat+Club/data=!4m7!3m6!1s0x89c2f61382afb6cf:0xecb0f8b6cb63a92b!8m2!3d40.8075995!4d-73.952638!16s%2Fg%2F11b6p8vlp7!19sChIJz7avghP2wokRK6ljy7b4sOw?authuser=0&hl=en&rclk=1"
"City Hats - 55East Houston St NY 10012","Address: 55 E Houston St, New York, NY 10012, United States ","+12122601948","","New York, NY","New York, NY","hat shop","","4.1","https://www.google.com/maps/place/City+Hats+-+55East+Houston+St+NY+10012/data=!4m7!3m6!1s0x89c2598586ab2d63:0x2962d0d66d66cd30!8m2!3d40.7245995!4d-73.9944724!16s%2Fg%2F1tf491qz!19sChIJYy2rhoVZwokRMM1mbdbQYik?authuser=0&hl=en&rclk=1"
"Worth & Worth","Address: 263 Bowery, New York, NY 10002, United States ","+12122652887","http://www.hatshop.com/","New York, NY","New York, NY","hat shop","","4.5","https://www.google.com/maps/place/Worth+%26+Worth/data=!4m7!3m6!1s0x89c258facdb0c485:0xe96816ab5df6dc8f!8m2!3d40.7233395!4d-73.9924838!16s%2Fg%2F1td_cls0!19sChIJhcSwzfpYwokRj9z2XasWaOk?authuser=0&hl=en&rclk=1"
"Capsule Hats","Address: 684 Broadway, New York, NY 10012, United States ","","http://capsulehats.com/","New York, NY","New York, NY","hat shop","","4.9","https://www.google.com/maps/place/Capsule+Hats/data=!4m7!3m6!1s0x89c259b8bc4bdd5d:0x15e035f6a53b885!8m2!3d40.7278206!4d-73.9943458!16s%2Fg%2F11stk2dxm7!19sChIJXd1LvLhZwokRhbhTal8DXgE?authuser=0&hl=en&rclk=1"
"Hats By Bunn Inc","Address: 2283 Adam Clayton Powell Jr Blvd #1, New York, NY 10030, United States ","+12126943590","https://hatsbybunn.com/","New York, NY","New York, NY","hat shop","","4.8","https://www.google.com/maps/place/Hats+By+Bunn+Inc/data=!4m7!3m6!1s0x89c2f6716c084829:0x8d68f677771b8d82!8m2!3d40.8147301!4d-73.9437838!16s%2Fg%2F1v8gczqk!19sChIJKUgIbHH2wokRgo0bd3f2aI0?authuser=0&hl=en&rclk=1"
"World Hats","Address: 138 Orchard St, New York, NY 10002, United States ","+12127800641","https://worldhatsonline.com/","New York, NY","New York, NY","hat shop","","3.4","https://www.google.com/maps/place/World+Hats/data=!4m7!3m6!1s0x89c25986ce3dc01d:0xd2d4fd8584f7960!8m2!3d40.7198928!4d-73.9892375!16s%2Fg%2F11cny0_73l!19sChIJHcA9zoZZwokRYHlPWNhPLQ0?authuser=0&hl=en&rclk=1"
"Yokkoyama Hat Market","Address: 116 Eldridge St, New York, NY 10002, United States ","","http://hirohisaandlewis.com/","New York, NY","New York, NY","hat shop","","5","https://www.google.com/maps/place/Yokkoyama+Hat+Market/data=!4m7!3m6!1s0x89c259870a57c2fb:0x930c0cfc14c39e71!8m2!3d40.718188!4d-73.991674!16s%2Fg%2F11c3k2zwxg!19sChIJ-8JXCodZwokRcZ7DFPwMDJM?authuser=0&hl=en&rclk=1"
