business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Delco Air","Address: 881 Main St Suite 16, Sayreville, NJ 08872, United States ","+17323016641","https://delcoairhvac.com/","New York, NY","New York, NY","heating contractor","","4.7","https://www.google.com/maps/place/Delco+Air/data=!4m7!3m6!1s0x89c3c97b448ad465:0x9c2f98039788991a!8m2!3d40.476313!4d-74.318329!16s%2Fg%2F1xn_p9wx!19sChIJZdSKRHvJw4kRGpmIlwOYL5w?authuser=0&hl=en&rclk=1"
"Thermochill HVACR","Address: 1379 White Plains Rd site 305, Bronx, NY 10462, United States ","+13473672898","https://www.thermochilllhvac.com/","New York, NY","New York, NY","heating contractor","","4.8","https://www.google.com/maps/place/Thermochill+HVACR/data=!4m7!3m6!1s0x89c2f59b85878cf3:0xbc7545add8628bc7!8m2!3d40.835304!4d-73.863397!16s%2Fg%2F11fmql207z!19sChIJ84yHhZv1wokRx4ti2K1Fdbw?authuser=0&hl=en&rclk=1"
"Top HVAC NYC","","+16464934904","https://hvacairconditionersnyc.com/","New York, NY","New York, NY","heating contractor","","4.8","https://www.google.com/maps/place/Top+HVAC+NYC/data=!4m7!3m6!1s0x89c25a3d3a368049:0xa18f0caf03dbce45!8m2!3d40.7813047!4d-73.9771184!16s%2Fg%2F12q4qpg77!19sChIJSYA2Oj1awokRRc7bA68Mj6E?authuser=0&hl=en&rclk=1"
"Figlia & Sons Inc","Address: 746 E 9th St, New York, NY 10009, United States ","+12126860094","https://figliasons.com/","New York, NY","New York, NY","heating contractor","","4.3","https://www.google.com/maps/place/Figlia+%26+Sons+Inc/data=!4m7!3m6!1s0x89c2597a09b903e9:0x35ccd0cb7cd2ad47!8m2!3d40.7242502!4d-73.9762238!16s%2Fg%2F1tkf1x79!19sChIJ6QO5CXpZwokRR63SfMvQzDU?authuser=0&hl=en&rclk=1"
"American HVAC Corp – Top HVAC Contractor NYC","Address: 368 9th Ave 6th floor, New York, NY 10001, United States ","+13473829030","https://americanhvac.nyc/locations/manhattan-ny/","New York, NY","New York, NY","heating contractor","","4.8","https://www.google.com/maps/place/American+HVAC+Corp+%E2%80%93+Top+HVAC+Contractor+NYC/data=!4m7!3m6!1s0x89c259a11338f375:0x8035ac3479ee89a5!8m2!3d40.7512627!4d-73.9976446!16s%2Fg%2F11tp9tl5yc!19sChIJdfM4E6FZwokRpYnueTSsNYA?authuser=0&hl=en&rclk=1"
"Manhattan HVAC & Appliance Repair Inc","Address: 48 W 14th St, New York, NY 10011, United States ","+13323340444","https://www.manhattan-hvac-repair.com/","New York, NY","New York, NY","heating contractor","","4.9","https://www.google.com/maps/place/Manhattan+HVAC+%26+Appliance+Repair+Inc/data=!4m7!3m6!1s0x89c259c260d1bcf9:0xcc8b9921e7420b07!8m2!3d40.7368207!4d-73.9959397!16s%2Fg%2F11s7p3jzcs!19sChIJ-bzRYMJZwokRBwtC5yGZi8w?authuser=0&hl=en&rclk=1"
"Weather Makers NYC","Address: 244 5th Ave, New York, NY 10001, United States ","+12127396817","https://www.weathermakers.nyc/","New York, NY","New York, NY","heating contractor","","4.9","https://www.google.com/maps/place/Weather+Makers+NYC/data=!4m7!3m6!1s0x89c263ef27f02ecf:0x2ef2b6824df7a07f!8m2!3d40.7446298!4d-73.987667!16s%2Fg%2F11hyn6shh7!19sChIJzy7wJ-9jwokRf6D3TYK28i4?authuser=0&hl=en&rclk=1"
"Arnica Heating and Air Conditioning Inc","Address: 99 Madison Ave Suite 5007, New York, NY 10016, United States ","+12123931130","https://arnicaheatingandair.com/","New York, NY","New York, NY","heating contractor","","4.6","https://www.google.com/maps/place/Arnica+Heating+and+Air+Conditioning+Inc/data=!4m7!3m6!1s0x89c259a189d93c29:0x83825dde345462ab!8m2!3d40.7446959!4d-73.9849083!16s%2Fg%2F1tlw9_g0!19sChIJKTzZiaFZwokRq2JUNN5dgoM?authuser=0&hl=en&rclk=1"
"Best New York Heating and AC Repair","","+13474045804","https://bestnewyorkheatingandacrepair.com/","New York, NY","New York, NY","heating contractor","","4.9","https://www.google.com/maps/place/Best+New+York+Heating+and+AC+Repair/data=!4m7!3m6!1s0x89c25921c85bacd1:0x8188125d68b5b635!8m2!3d40.6971415!4d-73.979506!16s%2Fg%2F11hdjgf4g_!19sChIJ0axbyCFZwokRNba1aF0SiIE?authuser=0&hl=en&rclk=1"
"Top New York HVAC Services","Address: 110 E 60th St, New York, NY 10022, United States ","+16468469755","https://usa-heating-ac-repair.com/new-york/","New York, NY","New York, NY","heating contractor","","4.9","https://www.google.com/maps/place/Top+New+York+HVAC+Services/data=!4m7!3m6!1s0x89c258e0de700001:0xa63be572bc137c27!8m2!3d40.7630908!4d-73.9688548!16s%2Fg%2F11gglhhj4v!19sChIJAQBw3uBYwokRJ3wTvHLlO6Y?authuser=0&hl=en&rclk=1"
"24/7 Manhattan Heating & Air Conditioning","Address: 180 Madison Ave, New York, NY 10016, United States ","+16467871064","https://manhattan-hvac.com/","New York, NY","New York, NY","heating contractor","","4.6","https://www.google.com/maps/place/24%2F7+Manhattan+Heating+%26+Air+Conditioning/data=!4m7!3m6!1s0x80dce9b155555555:0x2b97163d056868d1!8m2!3d40.7476267!4d-73.9834847!16s%2Fg%2F1tf3bvlt!19sChIJVVVVVbHp3IAR0WhoBT0Wlys?authuser=0&hl=en&rclk=1"
"Great New York HVAC Repair","","+19179001033","http://www.greatnewyorkhvacrepair.com/","New York, NY","New York, NY","heating contractor","","5","https://www.google.com/maps/place/Great+New+York+HVAC+Repair/data=!4m7!3m6!1s0x89c259f33983c589:0xbbb74ac6e1bf9c31!8m2!3d40.805146!4d-73.9003419!16s%2Fg%2F11ggmb53vx!19sChIJicWDOfNZwokRMZy_4cZKt7s?authuser=0&hl=en&rclk=1"
