business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Chopard Boutique New York","Address: 730 5th Ave, New York, NY 10019, United States ","+12122232304","http://www.chopard.com/us","New York, NY","New York, NY","jewelry store","","4.7","https://www.google.com/maps/place/Chopard+Boutique+New+York/data=!4m7!3m6!1s0x89c258ee42fafd35:0xed449094540c64c4!8m2!3d40.762715!4d-73.974414!16s%2Fg%2F1td8_0q7!19sChIJNf36Qu5YwokRxGQMVJSQRO0?authuser=0&hl=en&rclk=1"
"Greenwich St. Jewelers","Address: 93 Reade St, New York, NY 10013, United States ","+12129647592","https://www.greenwichjewelers.com/","New York, NY","New York, NY","jewelry store","","4.9","https://www.google.com/maps/place/Greenwich+St.+Jewelers/data=!4m7!3m6!1s0x89c25a10ce081415:0xe0ed1df0a6085d3b!8m2!3d40.7154284!4d-74.0079739!16s%2Fg%2F1v2yzsgl!19sChIJFRQIzhBawokRO10IpvAd7eA?authuser=0&hl=en&rclk=1"
"SHW (Still House) Jewelry NYC","Address: 307 E 9th St, New York, NY 10003, United States ","+12125390200","https://www.shwjewelry.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","New York, NY","New York, NY","jewelry store","","4.8","https://www.google.com/maps/place/SHW+%28Still+House%29+Jewelry+NYC/data=!4m7!3m6!1s0x89c2599d4743d44d:0x5986e1a64fc875ba!8m2!3d40.7290943!4d-73.9866597!16s%2Fg%2F1tltn8v_!19sChIJTdRDR51ZwokRunXIT6bhhlk?authuser=0&hl=en&rclk=1"
"Soho Gem Sapphire & Diamond Engagement Rings NYC","Address: 367 W Broadway, New York, NY 10013, United States ","+12126253004","https://www.sohogem.com/","New York, NY","New York, NY","jewelry store","","4.8","https://www.google.com/maps/place/Soho+Gem+Sapphire+%26+Diamond+Engagement+Rings+NYC/data=!4m7!3m6!1s0x89c2598c77b6c20f:0x7786179ddd417d46!8m2!3d40.723408!4d-74.0027259!16s%2Fg%2F1tnqhxkl!19sChIJD8K2d4xZwokRRn1B3Z0Xhnc?authuser=0&hl=en&rclk=1"
"Lauren B Jewelry","Address: 608 5th Ave Third Floor, New York, NY 10020, United States ","+12123910633","https://www.laurenbjewelry.com/","New York, NY","New York, NY","jewelry store","","4.9","https://www.google.com/maps/place/Lauren+B+Jewelry/data=!4m7!3m6!1s0x89c258fe5e2c5509:0xb8c90af206f1d23b!8m2!3d40.7577222!4d-73.9780029!16s%2Fg%2F1tcwgxg5!19sChIJCVUsXv5YwokRO9LxBvIKybg?authuser=0&hl=en&rclk=1"
"Magnolia Jewelers - 春興珠寶錶行","Address: 162 Canal St, Manhattan, NY 10013, United States ","+13474878883","https://www.magnoliajewelers.com/","New York, NY","New York, NY","jewelry store","","4.9","https://www.google.com/maps/place/Magnolia+Jewelers+-+%E6%98%A5%E8%88%88%E7%8F%A0%E5%AF%B6%E9%8C%B6%E8%A1%8C/data=!4m7!3m6!1s0x89c25a279796d215:0x2a6aab1bf0e1133e!8m2!3d40.716286!4d-73.9969371!16s%2Fg%2F1thnppnl!19sChIJFdKWlydawokRPhPh8Buraio?authuser=0&hl=en&rclk=1"
"NYC Diamond District","Address: 44W W 47th St Mezz 2, New York, NY 10036, United States ","+12129947012","http://www.nycdiamonddistrict.com/","New York, NY","New York, NY","jewelry store","","4.5","https://www.google.com/maps/place/NYC+Diamond+District/data=!4m7!3m6!1s0x89c259e2c72cca17:0x71e53cf06a726d8a!8m2!3d40.7573441!4d-73.9804457!16s%2Fg%2F11fn4lpkr7!19sChIJF8osx-JZwokRim1yavA85XE?authuser=0&hl=en&rclk=1"
"Diamond Source NYC","Address: 20 W 47th St Suite 401, New York, NY 10036, United States ","+12127305959","https://diamondsourcenyc.com/","New York, NY","New York, NY","jewelry store","","5","https://www.google.com/maps/place/Diamond+Source+NYC/data=!4m7!3m6!1s0x89c259f465cf63e3:0x534928f83ed6e615!8m2!3d40.7569538!4d-73.9798128!16s%2Fg%2F11h8x6zmf2!19sChIJ42PPZfRZwokRFebWPvgoSVM?authuser=0&hl=en&rclk=1"
"R & R Jewelers","Address: 26 W 47th St, New York, NY 10036, United States ","+12127647211","http://randrjewelers.com/","New York, NY","New York, NY","jewelry store","","4.9","https://www.google.com/maps/place/R+%26+R+Jewelers/data=!4m7!3m6!1s0x89c258fe552fc6c3:0x101aeaaab1fc83e8!8m2!3d40.757044!4d-73.9799956!16s%2Fg%2F1tc_ry3c!19sChIJw8YvVf5YwokR6IP8sarqGhA?authuser=0&hl=en&rclk=1"
"Kathe's Jewelry","Address: 226 1st Ave, New York, NY 10009, United States ","+12124752986","https://kathesjewelry.com/","New York, NY","New York, NY","jewelry store","","4.8","https://www.google.com/maps/place/Kathe%27s+Jewelry/data=!4m7!3m6!1s0x89c25975f0c8a371:0x22453ef5ecfe8e6!8m2!3d40.7308997!4d-73.9826583!16s%2Fg%2F1tmklx0n!19sChIJcaPI8HVZwokR5ujPXu9TJAI?authuser=0&hl=en&rclk=1"
"Frost NYC","Address: 20 W 47th St #203, New York, NY 10036, United States ","+18884851061","http://frostnyc.com/","New York, NY","New York, NY","jewelry store","","4.6","https://www.google.com/maps/place/Frost+NYC/data=!4m7!3m6!1s0x89c258fe544d7d25:0xa6bf0226790d426f!8m2!3d40.7569558!4d-73.9798343!16s%2Fg%2F11cjkpftfb!19sChIJJX1NVP5YwokRb0INeSYCv6Y?authuser=0&hl=en&rclk=1"
"Magnolia Jewelers - 春興珠寶錶行","Address: 175 Canal St, New York, NY 10013, United States ","+13474878883","http://www.magnoliajewelers.com/","New York, NY","New York, NY","jewelry store","","4.9","https://www.google.com/maps/place/Magnolia+Jewelers+-+%E6%98%A5%E8%88%88%E7%8F%A0%E5%AF%B6%E9%8C%B6%E8%A1%8C/data=!4m7!3m6!1s0x89c25a279af385e7:0x9be84da504af34b3!8m2!3d40.7168816!4d-73.9972359!16s%2Fg%2F11hctjs2jd!19sChIJ54XzmidawokRszSvBKVN6Js?authuser=0&hl=en&rclk=1"
"A Y Jewelry","Address: 20 West 47th Street Mezzanie, 20 W 47th St level 21, New York, NY 10036, United States ","+12125756322","","New York, NY","New York, NY","jewelry store","","4.7","https://www.google.com/maps/place/A+Y+Jewelry/data=!4m7!3m6!1s0x89c258fefc293f71:0xc45b1d530b0db543!8m2!3d40.7569605!4d-73.9797382!16s%2Fg%2F1tpf80xv!19sChIJcT8p_P5YwokRQ7UNC1MdW8Q?authuser=0&hl=en&rclk=1"
"Jangmi Jewelry","Address: 44 W 47th St GF16, New York, NY 10036, United States ","+12123025000","http://www.jangmidiamonds.com/","New York, NY","New York, NY","jewelry store","","4.8","https://www.google.com/maps/place/Jangmi+Jewelry/data=!4m7!3m6!1s0x89c258ff0deaf75f:0x197546eb524fc9c5!8m2!3d40.757433!4d-73.980663!16s%2Fg%2F1thl6bq3!19sChIJX_fqDf9YwokRxclPUutGdRk?authuser=0&hl=en&rclk=1"
"Frank Darling","Address: 50 Hudson St 3rd Floor, New York, NY 10013, United States ","+16468590718","https://www.frankdarling.com/","New York, NY","New York, NY","jewelry store","","4.9","https://www.google.com/maps/place/Frank+Darling/data=!4m7!3m6!1s0x89c25b787cfb88b9:0xd17103fe78bc7e8a!8m2!3d40.7173568!4d-74.0089137!16s%2Fg%2F11h7f7b98f!19sChIJuYj7fHhbwokRin68eP4DcdE?authuser=0&hl=en&rclk=1"
"Popular Jewelry","Address: 255 Canal St unit b, New York, NY 10013, United States ","+12129417942","https://www.popular.jewelry/","New York, NY","New York, NY","jewelry store","","3.6","https://www.google.com/maps/place/Popular+Jewelry/data=!4m7!3m6!1s0x89c2598a1d46a361:0x9c60fdec52f77919!8m2!3d40.718763!4d-74.000572!16s%2Fg%2F1tp090zh!19sChIJYaNGHYpZwokRGXn3Uuz9YJw?authuser=0&hl=en&rclk=1"
"Martin Busch Jewelers","Address: 85 John St, New York, NY 10038, United States ","+12123492230","https://www.martinbuschjewelers.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google_my_business","New York, NY","New York, NY","jewelry store","","4.9","https://www.google.com/maps/place/Martin+Busch+Jewelers/data=!4m7!3m6!1s0x89c25a17e2e7cbcd:0x5f9278b6ebe3698!8m2!3d40.7083974!4d-74.0066554!16s%2Fg%2F1tf_jb50!19sChIJzcvn4hdawokRmDa-bosn-QU?authuser=0&hl=en&rclk=1"
"William Barthman Jeweler","Address: 20 Broad St, New York, NY 10005, United States ","+12127320890","http://www.williambarthman.com/","New York, NY","New York, NY","jewelry store","","4.9","https://www.google.com/maps/place/William+Barthman+Jeweler/data=!4m7!3m6!1s0x89c25a19d2422999:0xb40e84b135c3b6b1!8m2!3d40.7066482!4d-74.0111629!16s%2Fg%2F1v3kjffk!19sChIJmSlC0hlawokRsbbDNbGEDrQ?authuser=0&hl=en&rclk=1"
"Fantastic Jewelry NYC","Address: 20 W 47th St MZ #12, New York, NY 10036, United States ","+13472024976","http://www.fantasticjewelrynyc.com/","New York, NY","New York, NY","jewelry store","","5","https://www.google.com/maps/place/Fantastic+Jewelry+NYC/data=!4m7!3m6!1s0x2aa30ae1a8f612d7:0x640803dec91f88fc!8m2!3d40.7569538!4d-73.9798128!16s%2Fg%2F11rgbt1002!19sChIJ1xL2qOEKoyoR_Igfyd4DCGQ?authuser=0&hl=en&rclk=1"
"Tiffany & Co. - The Landmark","Address: 727 5th Ave, New York, NY 10022, United States ","+12127558000","https://www.tiffany.com/stores/en/united-states/new-york-the-landmark-fifth-avenue-1?local=true&y_source=1_MTc5OTU5My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","New York, NY","New York, NY","jewelry store","","4.6","https://www.google.com/maps/place/Tiffany+%26+Co.+-+The+Landmark/data=!4m7!3m6!1s0x89c259a41af6258f:0x22b90f6a701de84f!8m2!3d40.7626931!4d-73.9739144!16s%2Fg%2F1261n8jq7!19sChIJjyX2GqRZwokRT-gdcGoPuSI?authuser=0&hl=en&rclk=1"
"I.D. Jewelry","Address: 15 W 47th St #305, New York, NY 10036, United States ","+12129219372","https://idjewelry.com/","New York, NY","New York, NY","jewelry store","","4.9","https://www.google.com/maps/place/I.D.+Jewelry/data=!4m7!3m6!1s0x89c258fe57ec46dd:0x76daee3bb4581482!8m2!3d40.7571437!4d-73.9791655!16s%2Fg%2F1tjfc53w!19sChIJ3UbsV_5YwokRghRYtDvu2nY?authuser=0&hl=en&rclk=1"
"Louped","Address: 37 W 47th St Suite 503, New York, NY 10036, United States ","+18009913706","https://louped.com/","New York, NY","New York, NY","jewelry store","","4","https://www.google.com/maps/place/Louped/data=!4m7!3m6!1s0x89c258ff0165bfeb:0xc9793c71470dc786!8m2!3d40.757645!4d-73.980367!16s%2Fg%2F1jkxxk_bt!19sChIJ679lAf9YwokRhscNR3E8eck?authuser=0&hl=en&rclk=1"
"Forever Diamonds NY","Address: 608 5th Ave Suite 907, New York, NY 10020, United States ","+12129979796","http://www.foreverdiamondsny.com/?utm_campaign=gmb","New York, NY","New York, NY","jewelry store","","5","https://www.google.com/maps/place/Forever+Diamonds+NY/data=!4m7!3m6!1s0x89c258ff0b73eeef:0x2b63c00994e85c99!8m2!3d40.7577313!4d-73.9780304!16s%2Fg%2F1tdxlsvp!19sChIJ7-5zC_9YwokRmVzolAnAYys?authuser=0&hl=en&rclk=1"
"Tiffany & Co. - Rockefeller Center","Address: 610 5th Ave, New York, NY 10020, United States ","+12123313312","https://www.tiffany.com/stores/en/united-states/new-york-rockefeller-center-161?local=true&y_source=1_ODQ5MTY5OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","New York, NY","New York, NY","jewelry store","","4.4","https://www.google.com/maps/place/Tiffany+%26+Co.+-+Rockefeller+Center/data=!4m7!3m6!1s0x89c258febd023ef1:0x5626a14600240020!8m2!3d40.7582666!4d-73.9779907!16s%2Fg%2F11gccnq5wl!19sChIJ8T4Cvf5YwokRIAAkAEahJlY?authuser=0&hl=en&rclk=1"
"Keyzar Jewelry","Address: 580 5th Ave Suite #1706, New York, NY 10036, United States ","+18883460787","https://keyzarjewelry.com/","New York, NY","New York, NY","jewelry store","","4.8","https://www.google.com/maps/place/Keyzar+Jewelry/data=!4m7!3m6!1s0x89c2596f2f5f1f7f:0x85b7065309724905!8m2!3d40.7570186!4d-73.978654!16s%2Fg%2F11p04zkrmr!19sChIJfx9fL29ZwokRBUlyCVMGt4U?authuser=0&hl=en&rclk=1"
"Jewels Of NYC","Address: 55 W 47th St Booth B35, New York, NY 10036, United States ","+16463704228","http://www.jewelsofnyc.com/","New York, NY","New York, NY","jewelry store","","5","https://www.google.com/maps/place/Jewels+Of+NYC/data=!4m7!3m6!1s0x89c259125bb03fa9:0xce6684d15b809c05!8m2!3d40.7578742!4d-73.9809197!16s%2Fg%2F11s662lczr!19sChIJqT-wWxJZwokRBZyAW9GEZs4?authuser=0&hl=en&rclk=1"
