business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Metropolitan Garden Design","Address: 22 E 88th St, New York, NY 10128, United States ","+13473251720","http://www.metropolitangardendesign.com/","New York, NY","New York, NY","landscaping","","5","https://www.google.com/maps/place/Metropolitan+Garden+Design/data=!4m7!3m6!1s0x89c258e322423463:0xf373295a839f14ec!8m2!3d40.7819881!4d-73.9584149!16s%2Fg%2F11b8zh2btf!19sChIJYzRCIuNYwokR7BSfg1opc_M?authuser=0&hl=en&rclk=1"
"New York Plantings Garden Designers and Landscape Contractors NYC","","+13475587051","https://www.newyorkplantings.com/","New York, NY","New York, NY","landscaping","","4.3","https://www.google.com/maps/place/New+York+Plantings+Garden+Designers+and+Landscape+Contractors+NYC/data=!4m7!3m6!1s0x89c24464a9100d47:0xbcc5c818a463c5ce!8m2!3d40.818909!4d-73.057522!16s%2Fg%2F1tg6r09p!19sChIJRw0QqWREwokRzsVjpBjIxbw?authuser=0&hl=en&rclk=1"
"NY Horticulture Group: NYC Landscape Design","Address: 151 W 19th St, New York, NY 10011, United States ","+16465811987","http://nyhort.com/","New York, NY","New York, NY","landscaping","","4.8","https://www.google.com/maps/place/NY+Horticulture+Group:+NYC+Landscape+Design/data=!4m7!3m6!1s0x89c259bc97105b6f:0xfae9f65a0c9f7f10!8m2!3d40.7414585!4d-73.9964641!16s%2Fg%2F11f2_m229m!19sChIJb1sQl7xZwokREH-fDFr26fo?authuser=0&hl=en&rclk=1"
"Admire Landscaping & Lawn Care","","+17186849886","http://admirelandscaping.com/","New York, NY","New York, NY","landscaping","","4.9","https://www.google.com/maps/place/Admire+Landscaping+%26+Lawn+Care/data=!4m7!3m6!1s0x89c25cc83d5ee8e5:0x53894e2dc71fdfe7!8m2!3d40.6971415!4d-73.979506!16s%2Fg%2F11hczl2r8f!19sChIJ5ehePchcwokR598fxy1OiVM?authuser=0&hl=en&rclk=1"
"D&C landscape","","+16469940326","http://www.landscape-dc.com/","New York, NY","New York, NY","landscaping","","4.8","https://www.google.com/maps/place/D%26C+landscape/data=!4m7!3m6!1s0x86e211d05c095eff:0x9ba88d94c491efd6!8m2!3d40.6971415!4d-73.979506!16s%2Fg%2F11nx5jzmq0!19sChIJ_14JXNAR4oYR1u-RxJSNqJs?authuser=0&hl=en&rclk=1"
"City Gardenz","","+16303700810","","New York, NY","New York, NY","landscaping","","4.8","https://www.google.com/maps/place/City+Gardenz/data=!4m7!3m6!1s0x89c259b8a7ef327f:0xc1e01f7fec11dac5!8m2!3d40.6971415!4d-73.979506!16s%2Fg%2F1td2c7ny!19sChIJfzLvp7hZwokRxdoR7H8f4ME?authuser=0&hl=en&rclk=1"
"Dirt Queen NYC","Address: 56 2nd Ave suite 56, Brooklyn, NY 11215, United States ","+13474335627","https://www.dirtqueennyc.com/","New York, NY","New York, NY","landscaping","","5","https://www.google.com/maps/place/Dirt+Queen+NYC/data=!4m7!3m6!1s0x88386f22cb615fbd:0x69e4ab06afe7b6ac!8m2!3d40.6733797!4d-73.9929514!16s%2Fg%2F11sv065ns4!19sChIJvV9hyyJvOIgRrLbnrwar5Gk?authuser=0&hl=en&rclk=1"
"Landstylist: Landscape Design","Address: 195 Montague St, Brooklyn, NY 11231, United States ","","https://www.landstylist.com/","New York, NY","New York, NY","landscaping","","5","https://www.google.com/maps/place/Landstylist:+Landscape+Design/data=!4m7!3m6!1s0x89c25a4907d4b709:0x629f7cf3dcbd99bd!8m2!3d40.6943117!4d-73.9911015!16s%2Fg%2F11f042b0f7!19sChIJCbfUB0lawokRvZm93PN8n2I?authuser=0&hl=en&rclk=1"
"Blooming Urban Design Scapes","Address: 50 W 72nd St # 1610, New York, NY 10023, United States ","+16468011405","https://budsandbuds.com/","New York, NY","New York, NY","landscaping","","5","https://www.google.com/maps/place/Blooming+Urban+Design+Scapes/data=!4m7!3m6!1s0x89c25928bb255673:0xc58ae95a3df49af8!8m2!3d40.7770249!4d-73.9784575!16s%2Fg%2F11h5qfwk5k!19sChIJc1YluyhZwokR-Jr0PVrpisU?authuser=0&hl=en&rclk=1"
"New Eco Landscapes","Address: 121 32nd St, Brooklyn, NY 11232, United States ","+16467703602","http://newecolandscapes.com/","New York, NY","New York, NY","landscaping","","4.8","https://www.google.com/maps/place/New+Eco+Landscapes/data=!4m7!3m6!1s0x89c25a4f3b1dc45f:0xb103a1e908eb371c!8m2!3d40.6575613!4d-74.0032725!16s%2Fg%2F1tftm3km!19sChIJX8QdO09awokRHDfrCOmhA7E?authuser=0&hl=en&rclk=1"
