business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Right Lawn Care","Address: 148-21 90th Ave, Jamaica, NY 11435, United States ","+15167345743","http://www.rightlawncare.com/","New York, NY","New York, NY","lawn care","","4.8","https://www.google.com/maps/place/Right+Lawn+Care/data=!4m7!3m6!1s0x89c260db30d17507:0x37a8b8c20db5b76c!8m2!3d40.7036895!4d-73.8063636!16s%2Fg%2F113h4k0bl!19sChIJB3XRMNtgwokRbLe1DcK4qDc?authuser=0&hl=en&rclk=1"
"Grass-Hoppers Landscaping","","+19174501123","http://www.grass-hopperslandscaping.com/","New York, NY","New York, NY","lawn care","","5","https://www.google.com/maps/place/Grass-Hoppers+Landscaping/data=!4m7!3m6!1s0x42400143e19d38af:0xc9e135ff9701a757!8m2!3d40.7558144!4d-73.802276!16s%2Fg%2F11thpjnc46!19sChIJrzid4UMBQEIRV6cBl_814ck?authuser=0&hl=en&rclk=1"
"Admire Landscaping & Lawn Care","","+17186849886","http://admirelandscaping.com/","New York, NY","New York, NY","lawn care","","4.9","https://www.google.com/maps/place/Admire+Landscaping+%26+Lawn+Care/data=!4m7!3m6!1s0x89c25cc83d5ee8e5:0x53894e2dc71fdfe7!8m2!3d40.6971415!4d-73.979506!16s%2Fg%2F11hczl2r8f!19sChIJ5ehePchcwokR598fxy1OiVM?authuser=0&hl=en&rclk=1"
"Dependable Lawn Care and Construction Corp","Address: 1401 Bay Ridge Ave, Brooklyn, NY 11219, United States ","","https://nydependablelawncare.com/","New York, NY","New York, NY","lawn care","","4.9","https://www.google.com/maps/place/Dependable+Lawn+Care+and+Construction+Corp/data=!4m7!3m6!1s0x89c245a2d91a9d77:0xa43a6aa2d3053c19!8m2!3d40.6223001!4d-74.001366!16s%2Fg%2F11j8zytgky!19sChIJd50a2aJFwokRGTwF06JqOqQ?authuser=0&hl=en&rclk=1"
"G&C Landscaping","","+16466679127","https://www.gclandscapingbrooklyn.com/","New York, NY","New York, NY","lawn care","","4.8","https://www.google.com/maps/place/G%26C+Landscaping/data=!4m7!3m6!1s0x89c25d23ca13b5fb:0x84ff04116c81aa7b!8m2!3d40.6622049!4d-73.918146!16s%2Fg%2F11hd1zm1cp!19sChIJ-7UTyiNdwokRe6qBbBEE_4Q?authuser=0&hl=en&rclk=1"
"JP Lawn Care","","+13472275065","https://hivetechsol.com/ny-the-bronx-lawn-care-services/","New York, NY","New York, NY","lawn care","","5","https://www.google.com/maps/place/JP+Lawn+Care/data=!4m7!3m6!1s0x462f7f786d0b2821:0xe2eeccc3a7594adb!8m2!3d40.7390684!4d-73.8711404!16s%2Fg%2F11w8fnpn7_!19sChIJISgLbXh_L0YR20pZp8PM7uI?authuser=0&hl=en&rclk=1"
"New Twins Landscaping and Construction Corp","Address: 485 Wild Ave, Staten Island, NY 10314, United States ","+16467046249","http://newtwins.info/","New York, NY","New York, NY","lawn care","","4.6","https://www.google.com/maps/place/New+Twins+Landscaping+and+Construction+Corp/data=!4m7!3m6!1s0x89c24ca0774c4015:0xebd694827326509c!8m2!3d40.5860599!4d-74.1968606!16s%2Fg%2F11gfkbp_jj!19sChIJFUBMd6BMwokRnFAmc4KU1us?authuser=0&hl=en&rclk=1"
"Laser Lawn Care","Address: 195-06 39th Ave, Flushing, NY 11358, United States ","+16317290020","http://www.laserlawncare.com/","New York, NY","New York, NY","lawn care","","5","https://www.google.com/maps/place/Laser+Lawn+Care/data=!4m7!3m6!1s0x89f69d2c23236e0b:0xe5ad168365eb2191!8m2!3d40.761995!4d-73.7869808!16s%2Fg%2F11s4xfw38s!19sChIJC24jIyyd9okRkSHrZYMWreU?authuser=0&hl=en&rclk=1"
"Staten Island Lawn Care & Landscaping","","+17188741476","http://www.statenislandlawncare.com/","New York, NY","New York, NY","lawn care","","4.6","https://www.google.com/maps/place/Staten+Island+Lawn+Care+%26+Landscaping/data=!4m7!3m6!1s0x89c3b5388b81e499:0xeb2582c09c547a82!8m2!3d40.5646056!4d-74.1468185!16s%2Fg%2F11c60_fn7v!19sChIJmeSBizi1w4kRgnpUnMCCJes?authuser=0&hl=en&rclk=1"
"Valdez Lawn care LLC/landscaping services","Address: 161-13 Horace Harding Expy, Flushing, NY 11365, United States ","+18338253391","http://www.valdezlawncare.com/","New York, NY","New York, NY","lawn care","","4.5","https://www.google.com/maps/place/Valdez+Lawn+care+LLC%2Flandscaping+services/data=!4m7!3m6!1s0x89c261acebafc983:0xaa2bfa5f7557dfa7!8m2!3d40.7390436!4d-73.8069202!16s%2Fg%2F11dymp56d4!19sChIJg8mv66xhwokRp99XdV_6K6o?authuser=0&hl=en&rclk=1"
"Yard UrbanGreen LLC","Address: 1924 66th St fl2, Brooklyn, NY 11204, United States ","+19172259328","https://yardurbangreen.com/","New York, NY","New York, NY","lawn care","","5","https://www.google.com/maps/place/Yard+UrbanGreen+LLC/data=!4m7!3m6!1s0x89c245a286027937:0xfa61f99d97c60f2e!8m2!3d40.6167196!4d-73.9881796!16s%2Fg%2F11lzmf_b2s!19sChIJN3kChqJFwokRLg_Gl535Yfo?authuser=0&hl=en&rclk=1"
"Steve's Landscaping & Lawncare Inc.","Address: 133 Bradley Ave, Staten Island, NY 10314, United States ","+17186987190","http://www.steveslandscapingny.com/","New York, NY","New York, NY","lawn care","","4.2","https://www.google.com/maps/place/Steve%27s+Landscaping+%26+Lawncare+Inc./data=!4m7!3m6!1s0x89c24c2f6edef395:0xce4f19d9431e1856!8m2!3d40.6087026!4d-74.1318711!16s%2Fg%2F1tn023_8!19sChIJlfPebi9MwokRVhgeQ9kZT84?authuser=0&hl=en&rclk=1"
"Dragonetti Brothers Landscaping","Address: 129 Louisiana Ave, Brooklyn, NY 11207, United States ","+17184511300","https://www.dragonettibrothers.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","New York, NY","New York, NY","lawn care","","3.6","https://www.google.com/maps/place/Dragonetti+Brothers+Landscaping/data=!4m7!3m6!1s0x89c25cfc649cfb03:0xd543a390c0d9354d!8m2!3d40.656217!4d-73.8939883!16s%2Fg%2F1tg3642g!19sChIJA_ucZPxcwokRTTXZwJCjQ9U?authuser=0&hl=en&rclk=1"
"NY Horticulture Group: NYC Landscape Design","Address: 151 W 19th St, New York, NY 10011, United States ","+16465811987","http://nyhort.com/","New York, NY","New York, NY","lawn care","","4.8","https://www.google.com/maps/place/NY+Horticulture+Group:+NYC+Landscape+Design/data=!4m7!3m6!1s0x89c259bc97105b6f:0xfae9f65a0c9f7f10!8m2!3d40.7414585!4d-73.9964641!16s%2Fg%2F11f2_m229m!19sChIJb1sQl7xZwokREH-fDFr26fo?authuser=0&hl=en&rclk=1"
"DV & B Express Services","","+17186783791","https://www.dvbexpress.com/","New York, NY","New York, NY","lawn care","","5","https://www.google.com/maps/place/DV+%26+B+Express+Services/data=!4m7!3m6!1s0x89dcdf235784da1f:0xa77bd0f13e4d1292!8m2!3d40.6507535!4d-73.8783995!16s%2Fg%2F11m6z2q2fz!19sChIJH9qEVyPf3IkRkhJNPvHQe6c?authuser=0&hl=en&rclk=1"
"The Green Landscaping Service","","+15513475639","https://landscaperjerseycity.com/","New York, NY","New York, NY","lawn care","","4.8","https://www.google.com/maps/place/The+Green+Landscaping+Service/data=!4m7!3m6!1s0xa748e89b08b3ec23:0xe23a2c819d898feb!8m2!3d40.839578!4d-74.455229!16s%2Fg%2F11ty45cr15!19sChIJI-yzCJvoSKcR64-JnYEsOuI?authuser=0&hl=en&rclk=1"
"Tru-Green New York","Address: 82 W 126th St, New York, NY 10027, United States ","+18338440928","","New York, NY","New York, NY","lawn care","","5","https://www.google.com/maps/place/Tru-Green+New+York/data=!4m7!3m6!1s0x89c2f758dfc38ffb:0x146777776be759e2!8m2!3d40.8080502!4d-73.9445468!16s%2Fg%2F11y6hz_h69!19sChIJ-4_D31j3wokR4lnna3d3ZxQ?authuser=0&hl=en&rclk=1"
"J & H Landscaping Inc","","+17187381969","","New York, NY","New York, NY","lawn care","","4.2","https://www.google.com/maps/place/J+%26+H+Landscaping+Inc/data=!4m7!3m6!1s0x89c26759e837cfa5:0xedac9a5641c1b8d4!8m2!3d40.6752555!4d-73.846643!16s%2Fg%2F11b7r6np2h!19sChIJpc836FlnwokR1LjBQVaarO0?authuser=0&hl=en&rclk=1"
"Greenland Landscaping of NY , LLC","","+19176814420","http://www.greenlandlandscapingnyc.com/","New York, NY","New York, NY","lawn care","","3.5","https://www.google.com/maps/place/Greenland+Landscaping+of+NY+,+LLC/data=!4m7!3m6!1s0x89c26408ed92c151:0x692782fe8f7ed42c!8m2!3d40.678175!4d-73.6793106!16s%2Fg%2F11c37nj3rr!19sChIJUcGS7QhkwokRLNR-j_6CJ2k?authuser=0&hl=en&rclk=1"
"Chris's Lawn Service LLC","","+15166066892","http://chrislawnservicellc.com/","New York, NY","New York, NY","lawn care","","4.7","https://www.google.com/maps/place/Chris%27s+Lawn+Service+LLC/data=!4m7!3m6!1s0x89c281547801faf7:0xad668f6aabb21547!8m2!3d40.7527266!4d-73.502119!16s%2Fg%2F11fsr3d2tn!19sChIJ9_oBeFSBwokRRxWyq2qPZq0?authuser=0&hl=en&rclk=1"
"Palmares Landscaping","","+15162254171","https://www.landscapingservicesvalleystream.com/","New York, NY","New York, NY","lawn care","","4.7","https://www.google.com/maps/place/Palmares+Landscaping/data=!4m7!3m6!1s0x89c26477422fc28b:0xf7df2345a92b2c0a!8m2!3d40.754757!4d-73.601734!16s%2Fg%2F11bztgrg1l!19sChIJi8IvQndkwokRCiwrqUUj3_c?authuser=0&hl=en&rclk=1"
"TruGreen Lawn Care","Address: 332 Sagamore Ave, Mineola, NY 11501, United States ","+16319247200","https://www.trugreen.com/?y_source=1_NDkxNDcxNjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","New York, NY","New York, NY","lawn care","","4.1","https://www.google.com/maps/place/TruGreen+Lawn+Care/data=!4m7!3m6!1s0x89c2871074ac5ef5:0x38097d2ef8c3b5ee!8m2!3d40.752192!4d-73.637861!16s%2Fg%2F11t6_65qxw!19sChIJ9V6sdBCHwokR7rXD-C59CTg?authuser=0&hl=en&rclk=1"
