business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Christofle New York","Address: 41 E 57th St, New York, NY 10022, United States ","+12123089390","http://www.christofle.com/us_en/?utm_source=google&utm_medium=yext","New York, NY","New York, NY","ornament shop","","3.9","https://www.google.com/maps/place/Christofle+New+York/data=!4m7!3m6!1s0x89c258ec8bbf7017:0x22d9929b59ef3ce2!8m2!3d40.762437!4d-73.971819!16s%2Fg%2F1tp8_z80!19sChIJF3C_i-xYwokR4jzvWZuS2SI?authuser=0&hl=en&rclk=1"
"Christmas in New York - Little Italy","Address: 142 Mulberry St, New York, NY 10013, United States ","+12126931600","https://christmasandcity.com/","New York, NY","New York, NY","ornament shop","","4.4","https://www.google.com/maps/place/Christmas+in+New+York+-+Little+Italy/data=!4m7!3m6!1s0x89c25989cb85695b:0xc6433c07c4b9573!8m2!3d40.7188003!4d-73.9973732!16s%2Fg%2F1vhlz329!19sChIJW2mFy4lZwokRc5VLfMAzZAw?authuser=0&hl=en&rclk=1"
"Christmas Cottage","Address: 833 7th Ave, New York, NY 10019, United States ","+12123337380","http://christmascottage.com/","New York, NY","New York, NY","ornament shop","","4.1","https://www.google.com/maps/place/Christmas+Cottage/data=!4m7!3m6!1s0x89c258f8287cb0a9:0x5624237ccd7f5dc3!8m2!3d40.7633036!4d-73.9814224!16s%2Fg%2F1tf491nt!19sChIJqbB8KPhYwokRw11_zXwjJFY?authuser=0&hl=en&rclk=1"
"Memories of New York","Address: 206 5th Ave, New York, NY 10010, United States ","+12122520030","http://www.memoriesofnewyork.com/","New York, NY","New York, NY","ornament shop","","4.7","https://www.google.com/maps/place/Memories+of+New+York/data=!4m7!3m6!1s0x89c259a68215e2a5:0x1356af184f22de89!8m2!3d40.74321!4d-73.988793!16s%2Fg%2F1tkf1x8g!19sChIJpeIVgqZZwokRid4iTxivVhM?authuser=0&hl=en&rclk=1"
"SoHo Trees: Christmas Tree Shop in NYC","Address: 76 Varick St STE 2, New York, NY 10013, United States ","+12129707646","https://www.sohotrees.com/","New York, NY","New York, NY","ornament shop","","3.8","https://www.google.com/maps/place/SoHo+Trees:+Christmas+Tree+Shop+in+NYC/data=!4m7!3m6!1s0x89c2590aa525ffff:0x4d53e96a49719572!8m2!3d40.7227838!4d-74.0060402!16s%2Fg%2F1tm89bsp!19sChIJ__8lpQpZwokRcpVxSWrpU00?authuser=0&hl=en&rclk=1"
"Tree Riders NYC","Address: 131 E 10th Street &, 2nd Ave, New York, NY 10003, United States ","+16464706326","https://www.treeridersnyc.com/","New York, NY","New York, NY","ornament shop","","4.9","https://www.google.com/maps/place/Tree+Riders+NYC/data=!4m7!3m6!1s0x89c2599c30931f57:0x3d35e183437ce1dc!8m2!3d40.7303295!4d-73.9871068!16s%2Fg%2F11b6ghtrtn!19sChIJVx-TMJxZwokR3OF8Q4PhNT0?authuser=0&hl=en&rclk=1"
"John Derian Company Inc","Address: 6 E 2nd St, New York, NY 10003, United States ","+12126773917","http://www.johnderian.com/","New York, NY","New York, NY","ornament shop","","4.7","https://www.google.com/maps/place/John+Derian+Company+Inc/data=!4m7!3m6!1s0x89c25984de8225bd:0x676a068920300bb7!8m2!3d40.725562!4d-73.991483!16s%2Fg%2F1td26by0!19sChIJvSWC3oRZwokRtwswIIkGamc?authuser=0&hl=en&rclk=1"
"Delphinium Home","Address: 353 W 47th St, New York, NY 10036, United States ","+12123337732","http://www.delphiniumhome.com/","New York, NY","New York, NY","ornament shop","","4.8","https://www.google.com/maps/place/Delphinium+Home/data=!4m7!3m6!1s0x89c258515bc09285:0xdd6dc30b19405cab!8m2!3d40.7615383!4d-73.9895892!16s%2Fg%2F1tfbp7b7!19sChIJhZLAW1FYwokRq1xAGQvDbd0?authuser=0&hl=en&rclk=1"
"House of Holiday","Address: 90-02 Atlantic Ave, Ozone Park, NY 11416, United States ","+18333534357","https://www.houseofholiday.com/","New York, NY","New York, NY","ornament shop","","4.5","https://www.google.com/maps/place/House+of+Holiday/data=!4m7!3m6!1s0x89c25dfa9d000619:0xe9b22fcccb130339!8m2!3d40.6870304!4d-73.8519683!16s%2Fg%2F1ygbbfq8h!19sChIJGQYAnfpdwokROQMTy8wvsuk?authuser=0&hl=en&rclk=1"
"Giant Red Ornaments (Christmas)","Address: 1251 6th Ave, New York, NY 10020, United States ","","","New York, NY","New York, NY","ornament shop","","4.8","https://www.google.com/maps/place/Giant+Red+Ornaments+%28Christmas%29/data=!4m7!3m6!1s0x89c259cb533cb019:0x8e592b53254a9d20!8m2!3d40.759737!4d-73.9809787!16s%2Fg%2F11j48rd_p_!19sChIJGbA8U8tZwokRIJ1KJVMrWY4?authuser=0&hl=en&rclk=1"
