business_name,address,phone,website,area,city,category,reviews_count,rating,url
"JB Painters Manhattan","Address: 20 W 33rd St 4th Floor, New York, NY 10001, United States ","+16464013904","http://www.jbpaintersny.com/","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/JB+Painters+Manhattan/data=!4m7!3m6!1s0x89c2584c0b0d3027:0x50a3e92baa8d9e7a!8m2!3d40.7481888!4d-73.9863847!16s%2Fg%2F1tg5vzl9!19sChIJJzANC0xYwokRep6Nqivpo1A?authuser=0&hl=en&rclk=1"
"Manhattan Painters For A Day","Address: 126 Greenwich St, New York, NY 10013, United States ","+19172378872","https://paintersforaday.com/manhattan/","New York, NY","New York, NY","painting contractor","","4.8","https://www.google.com/maps/place/Manhattan+Painters+For+A+Day/data=!4m7!3m6!1s0x89c259be233c00ad:0xad01c733cf277555!8m2!3d40.7279933!4d-74.0088845!16s%2Fg%2F1vvr73hz!19sChIJrQA8I75ZwokRVXUnzzPHAa0?authuser=0&hl=en&rclk=1"
"Interior Finishing NYC","","+19172946271","https://www.interiorpaintingnyc.com/","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/Interior+Finishing+NYC/data=!4m7!3m6!1s0x89c289e08932da2d:0x2cc41019134d6cc0!8m2!3d40.7532806!4d-73.980776!16s%2Fg%2F11f11qxbtt!19sChIJLdoyieCJwokRwGxNExkQxCw?authuser=0&hl=en&rclk=1"
"Paintworks & Decorating","Address: 45-20 11th St, Long Island City, NY 11101, United States ","+16469603699","http://www.paintworks.nyc/","New York, NY","New York, NY","painting contractor","","4.9","https://www.google.com/maps/place/Paintworks+%26+Decorating/data=!4m7!3m6!1s0x89c2592659963309:0x8d9c90e604d598b5!8m2!3d40.747271!4d-73.950398!16s%2Fg%2F11clkqbjfg!19sChIJCTOWWSZZwokRtZjVBOaQnI0?authuser=0&hl=en&rclk=1"
"Soho Painters","Address: 252 W 46th St, New York, NY 10036, United States ","+19172848864","https://sohopainters.com/","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/Soho+Painters/data=!4m7!3m6!1s0x89c259df75f1bc0f:0xe3f5dd2e7781b857!8m2!3d40.7593302!4d-73.9872875!16s%2Fg%2F11h6llnljf!19sChIJD7zxdd9ZwokRV7iBdy7d9eM?authuser=0&hl=en&rclk=1"
"nyc painting contractors","Address: 176 Broadway M-E, New York, NY 10038, United States ","+19177246816","http://nycpaintingcontractors.nyc/","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/nyc+painting+contractors/data=!4m7!3m6!1s0x89c25a182b4e8465:0xacccea7e2897c934!8m2!3d40.7093871!4d-74.0094855!16s%2Fg%2F11bwm32wd7!19sChIJZYROKxhawokRNMmXKH7qzKw?authuser=0&hl=en&rclk=1"
"New York Painters - AV Color Inc.","Address: 41 Madison Ave 31st floor, New York, NY 10010, United States ","+13479219392","https://avcolorist.com/service/painting-services/","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/New+York+Painters+-+AV+Color+Inc./data=!4m7!3m6!1s0x79c268996254cd5:0x4ca9b96d607a6c30!8m2!3d40.7423714!4d-73.9863648!16s%2Fg%2F11x1nqjqpc!19sChIJ1UwllokmnAcRMGx6YG25qUw?authuser=0&hl=en&rclk=1"
"Sandoukas Painting Company NYC","Address: 350 W 50th St, New York, NY 10019, United States ","+19147030635","http://www.sandoukas.com/","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/Sandoukas+Painting+Company+NYC/data=!4m7!3m6!1s0x89c259440b6f3a03:0xd3f934b59a64d131!8m2!3d40.7629765!4d-73.9880576!16s%2Fg%2F11g1d_jk44!19sChIJAzpvC0RZwokRMdFkmrU0-dM?authuser=0&hl=en&rclk=1"
"Manhattan Painters","Address: 96 Christopher St #3R, New York, NY 10014, United States ","+12124751700","http://www.manhattanpainters.com/?utm_source=plus","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/Manhattan+Painters/data=!4m7!3m6!1s0x89c25993638d031d:0xc43370b3eea96e4f!8m2!3d40.7332556!4d-74.004631!16s%2Fg%2F1yfp3jsdz!19sChIJHQONY5NZwokRT26p7rNwM8Q?authuser=0&hl=en&rclk=1"
"Superior NYC Painting","","+16466812770","https://superiornycpainting.com/","New York, NY","New York, NY","painting contractor","","4.9","https://www.google.com/maps/place/Superior+NYC+Painting/data=!4m7!3m6!1s0x89c25a3d39458305:0xdd9e2e6b7162f919!8m2!3d41.7873974!4d-73.813462!16s%2Fg%2F1pt_bp628!19sChIJBYNFOT1awokRGflicWsunt0?authuser=0&hl=en&rclk=1"
"S&A Painting","Address: 353 E 52nd St #4A, New York, NY 10022, United States ","+19292579434","https://sapaintingnyc.com/","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/S%26A+Painting/data=!4m7!3m6!1s0x89c25985093d8253:0xaa5cd7efa639cf3a!8m2!3d40.7553236!4d-73.965399!16s%2Fg%2F11lhnx9gpl!19sChIJU4I9CYVZwokROs85pu_XXKo?authuser=0&hl=en&rclk=1"
"T & M House Painting Kips Bay","Address: 309 3rd Ave, New York, NY 10010, United States ","+16465767514","https://www.tmhousepaintingkipsbay.com/","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/T+%26+M+House+Painting+Kips+Bay/data=!4m7!3m6!1s0x89c25e2e3063f7a5:0x7f3685369583dd16!8m2!3d40.739198!4d-73.982569!16s%2Fg%2F11ggrkf4tw!19sChIJpfdjMC5ewokRFt2DlTaFNn8?authuser=0&hl=en&rclk=1"
"Pristine Painters","Address: 91-48 88th Rd, Woodhaven, NY 11421, United States ","+13477458020","https://www.pristinepaintersnyc.com/","New York, NY","New York, NY","painting contractor","","4.9","https://www.google.com/maps/place/Pristine+Painters/data=!4m7!3m6!1s0x89c25d3206608003:0xa09dc03d1b4c450b!8m2!3d40.691457!4d-73.851614!16s%2Fg%2F11lgd5w0hj!19sChIJA4BgBjJdwokRC0VMGz3AnaA?authuser=0&hl=en&rclk=1"
"Precision Painting Plus of Manhattan","Address: 1325 6th Ave 28th floor Office #2859, New York, NY 10019, United States ","+16465420464","https://quote.precisionpaintingplus.net/north-manhattan-painters-estimate/?utm_group=GMB&utm_source=GMB&utm_medium=organic&utm_campaign=Manhattan&force_utm=true","New York, NY","New York, NY","painting contractor","","4.8","https://www.google.com/maps/place/Precision+Painting+Plus+of+Manhattan/data=!4m7!3m6!1s0x89c2599aed65ad59:0x99fe352d45a15e00!8m2!3d40.7627644!4d-73.9808403!16s%2Fg%2F11tg1pmq4r!19sChIJWa1l7ZpZwokRAF6hRS01_pk?authuser=0&hl=en&rclk=1"
"🟡🟠🔴 INTERIOR PAINTING near me | New York | GET $100 DISCOUNT | COMMERCIAL | ESTIMATE | PAINTERS | COMPANIES | CONTRACTORS","Address: 100 W 105th St, New York, NY 10025, United States ","+16464254514","http://taplink.cc/taskerny","New York, NY","New York, NY","painting contractor","","5","https://www.google.com/maps/place/%F0%9F%9F%A1%F0%9F%9F%A0%F0%9F%94%B4+INTERIOR+PAINTING+near+me+%7C+New+York+%7C+GET+$100+DISCOUNT+%7C+COMMERCIAL+%7C+ESTIMATE+%7C+PAINTERS+%7C+COMPANIES+%7C+CONTRACTORS/data=!4m7!3m6!1s0x89c2f76fb3e935b1:0x7c0f77d01096a3b4!8m2!3d40.7986498!4d-73.9637873!16s%2Fg%2F11vzxvyd7m!19sChIJsTXps2_3wokRtKOWENB3D3w?authuser=0&hl=en&rclk=1"
