business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Victory Sweet Shop/Victory Garden Cafe","Address: 21-69 Steinway St, Astoria, NY 11105, United States ","+17182742087","https://victorysweetshop.com/garden-cafe/","New York, NY","New York, NY","pizza restaurant","","4.5","https://www.google.com/maps/place/Victory+Sweet+Shop%2FVictory+Garden+Cafe/data=!4m7!3m6!1s0x89c25f6f5b0d0f0f:0x474263db3a1427f1!8m2!3d40.773086!4d-73.905434!16s%2Fg%2F1vgqd_w_!19sChIJDw8NW29fwokR8ScUOttjQkc?authuser=0&hl=en&rclk=1"
"Buchette del Vino","Address: 200 W 43rd St, New York, NY 10036, United States ","","https://www.buchettedelvinonyc.com/","New York, NY","New York, NY","pizza restaurant","","4.4","https://www.google.com/maps/place/Buchette+del+Vino/data=!4m7!3m6!1s0x89c259d8f0c510b1:0xac605a403cb38042!8m2!3d40.756838!4d-73.98621!16s%2Fg%2F11yk4b79b2!19sChIJsRDF8NhZwokRQoCzPEBaYKw?authuser=0&hl=en&rclk=1"
"Joe's Pizza Broadway","Address: 1435 Broadway, New York, NY 10018, United States ","+16465594878","https://www.joespizzanyc.com/","New York, NY","New York, NY","pizza restaurant","","4.5","https://www.google.com/maps/place/Joe%27s+Pizza+Broadway/data=!4m7!3m6!1s0x89c259ab3c1ef289:0x3b67a41175949f55!8m2!3d40.7546795!4d-73.9870291!16s%2Fg%2F11bw4ws2mt!19sChIJifIePKtZwokRVZ-UdRGkZzs?authuser=0&hl=en&rclk=1"
"Rubirosa","Address: 235 Mulberry St, New York, NY 10012, United States ","+12129650500","https://www.rubirosanyc.com/","New York, NY","New York, NY","pizza restaurant","","4.6","https://www.google.com/maps/place/Rubirosa/data=!4m7!3m6!1s0x89c2598f361dc3b3:0xea0bcb0a8807f54c!8m2!3d40.7227383!4d-73.9961347!16s%2Fg%2F1tfcd2lv!19sChIJs8MdNo9ZwokRTPUHiArLC-o?authuser=0&hl=en&rclk=1"
"Joe's Pizza","Address: 7 Carmine St, New York, NY 10014, United States ","+12123661182","http://www.joespizzanyc.com/","New York, NY","New York, NY","pizza restaurant","","4.5","https://www.google.com/maps/place/Joe%27s+Pizza/data=!4m7!3m6!1s0x89c259924a960df1:0x43b20488619b3f43!8m2!3d40.7306597!4d-74.0021707!16s%2Fg%2F1tyyy0n3!19sChIJ8Q2WSpJZwokRQz-bYYgEskM?authuser=0&hl=en&rclk=1"
"Sottocasa Pizzeria Harlem","Address: 227 Malcolm X Blvd, New York, NY 10027, United States ","+16469284870","http://www.sottocasanyc.com/harlem/","New York, NY","New York, NY","pizza restaurant","","4.7","https://www.google.com/maps/place/Sottocasa+Pizzeria+Harlem/data=!4m7!3m6!1s0x89c2f60df3155a33:0x93caea71ca740bf6!8m2!3d40.8055464!4d-73.9474615!16s%2Fg%2F11cm0pt1q4!19sChIJM1oV8w32wokR9gt0ynHqypM?authuser=0&hl=en&rclk=1"
"Capizzi","Address: 547 9th Ave, New York, NY 10018, United States ","+12126956900","http://capizzinyc.com/","New York, NY","New York, NY","pizza restaurant","","4.6","https://www.google.com/maps/place/Capizzi/data=!4m7!3m6!1s0x89c25852b9121851:0x872b7d7085f244c9!8m2!3d40.7574821!4d-73.9936447!16s%2Fg%2F1tf5lkhr!19sChIJURgSuVJYwokRyUTyhXB9K4c?authuser=0&hl=en&rclk=1"
"Bleecker Street Pizza","Address: 69 7th Ave S, New York, NY 10014, United States ","+12129244466","https://bleeckerstreetpizza.com/","New York, NY","New York, NY","pizza restaurant","","4.5","https://www.google.com/maps/place/Bleecker+Street+Pizza/data=!4m7!3m6!1s0x89c259939fca75ad:0xad63a7908a34c8ef!8m2!3d40.732198!4d-74.0034014!16s%2Fg%2F1tfczq_0!19sChIJrXXKn5NZwokR78g0ipCnY60?authuser=0&hl=en&rclk=1"
"NY Pizza Suprema","Address: 413 8th Ave, New York, NY 10001, United States ","+12125948939","https://www.nypizzasuprema.com/","New York, NY","New York, NY","pizza restaurant","","4.6","https://www.google.com/maps/place/NY+Pizza+Suprema/data=!4m7!3m6!1s0x89c25941e2fda08d:0xfecb69a95e026dfb!8m2!3d40.7501778!4d-73.9952738!16s%2Fg%2F1thzvq7f!19sChIJjaD94kFZwokR-20CXqlpy_4?authuser=0&hl=en&rclk=1"
"Kesté Pizza e Vino","Address: 77 Fulton St, New York, NY 10038, United States ","+12122431500","https://kestepizzeria.com/","New York, NY","New York, NY","pizza restaurant","","4.6","https://www.google.com/maps/place/Kest%C3%A9+Pizza+e+Vino/data=!4m7!3m6!1s0x89c25993a4ddf7e9:0xade68c13759fc699!8m2!3d40.7092773!4d-74.0049159!16s%2Fg%2F11b8_rqdhr!19sChIJ6ffdpJNZwokRmcafdROM5q0?authuser=0&hl=en&rclk=1"
"John's of Bleecker Street","Address: 278 Bleecker St, New York, NY 10014, United States ","+12122431680","http://johnsofbleecker.com/","New York, NY","New York, NY","pizza restaurant","","4.6","https://www.google.com/maps/place/John%27s+of+Bleecker+Street/data=!4m7!3m6!1s0x89c25993a1376eb9:0x41ca6e3a2f6d4e74!8m2!3d40.7316187!4d-74.0034468!16s%2Fg%2F11b8zbnw8g!19sChIJuW43oZNZwokRdE5tLzpuykE?authuser=0&hl=en&rclk=1"
"Prince Street Pizza","Address: 27 Prince St, New York, NY 10012, United States ","+12129664100","https://locations.princestreetpizza.com/new-york","New York, NY","New York, NY","pizza restaurant","","4.4","https://www.google.com/maps/place/Prince+Street+Pizza/data=!4m7!3m6!1s0x89c25985f7ec1beb:0x3c39f655da433d9d!8m2!3d40.7230777!4d-73.9945444!16s%2Fg%2F113f6l3sc!19sChIJ6xvs94VZwokRnT1D2lX2OTw?authuser=0&hl=en&rclk=1"
"East Village Pizza","Address: 145 1st Ave, New York, NY 10003, United States ","+12125294545","http://eastvillagepizza.net/","New York, NY","New York, NY","pizza restaurant","","4.6","https://www.google.com/maps/place/East+Village+Pizza/data=!4m7!3m6!1s0x89c2599d0807c8a9:0xcf962b97e6246!8m2!3d40.7281911!4d-73.985099!16s%2Fg%2F1thqbs6b!19sChIJqcgHCJ1ZwokRRmJ-uWL5DAA?authuser=0&hl=en&rclk=1"
"Don Antonio","Address: Don Antonio's Pizza, 309 W 50th St, New York, NY 10019, United States ","+16467191043","https://www.donantoniopizza.com/","New York, NY","New York, NY","pizza restaurant","","4.6","https://www.google.com/maps/place/Don+Antonio/data=!4m7!3m6!1s0x89c2590efca415d1:0xfea49de2723301f9!8m2!3d40.7626629!4d-73.9867256!16s%2Fg%2F11frqq__pm!19sChIJ0RWk_A5ZwokR-QEzcuKdpP4?authuser=0&hl=en&rclk=1"
"Uncle Paul's Pizza","Address: 70 Vanderbilt Ave, New York, NY 10017, United States ","+12129221200","https://www.unclepaulspizzamenu.com/","New York, NY","New York, NY","pizza restaurant","","4.4","https://www.google.com/maps/place/Uncle+Paul%27s+Pizza/data=!4m7!3m6!1s0x89c258fdfcdd133f:0x851202204ae1327f!8m2!3d40.7546824!4d-73.9768744!16s%2Fg%2F11cfhqnqf!19sChIJPxPd_P1YwokRfzLhSiACEoU?authuser=0&hl=en&rclk=1"
