business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Victory Sweet Shop/Victory Garden Cafe","Address: 21-69 Steinway St, Astoria, NY 11105, United States ","+17182742087","https://victorysweetshop.com/garden-cafe/","New York, NY","New York, NY","pizza","","4.5","https://www.google.com/maps/place/Victory+Sweet+Shop%2FVictory+Garden+Cafe/data=!4m7!3m6!1s0x89c25f6f5b0d0f0f:0x474263db3a1427f1!8m2!3d40.773086!4d-73.905434!16s%2Fg%2F1vgqd_w_!19sChIJDw8NW29fwokR8ScUOttjQkc?authuser=0&hl=en&rclk=1"
"Sempre Oggi","Address: 164 W 75th St, New York, NY 10023, United States ","+12123777150","https://www.semprenyc.com/","New York, NY","New York, NY","pizza","","4.7","https://www.google.com/maps/place/Sempre+Oggi/data=!4m7!3m6!1s0x89c2599e11f29adb:0xffdb3997c9984635!8m2!3d40.780276!4d-73.979889!16s%2Fg%2F11vdd1wyds!19sChIJ25ryEZ5ZwokRNUaYyZc52_8?authuser=0&hl=en&rclk=1"
"Joe's Pizza Broadway","Address: 1435 Broadway, New York, NY 10018, United States ","+16465594878","https://www.joespizzanyc.com/","New York, NY","New York, NY","pizza","","4.5","https://www.google.com/maps/place/Joe%27s+Pizza+Broadway/data=!4m7!3m6!1s0x89c259ab3c1ef289:0x3b67a41175949f55!8m2!3d40.7546795!4d-73.9870291!16s%2Fg%2F11bw4ws2mt!19sChIJifIePKtZwokRVZ-UdRGkZzs?authuser=0&hl=en&rclk=1"
"Joe's Pizza","Address: 7 Carmine St, New York, NY 10014, United States ","+12123661182","http://www.joespizzanyc.com/","New York, NY","New York, NY","pizza","","4.5","https://www.google.com/maps/place/Joe%27s+Pizza/data=!4m7!3m6!1s0x89c259924a960df1:0x43b20488619b3f43!8m2!3d40.7306597!4d-74.0021707!16s%2Fg%2F1tyyy0n3!19sChIJ8Q2WSpJZwokRQz-bYYgEskM?authuser=0&hl=en&rclk=1"
"Bleecker Street Pizza","Address: 69 7th Ave S, New York, NY 10014, United States ","+12129244466","https://bleeckerstreetpizza.com/","New York, NY","New York, NY","pizza","","4.5","https://www.google.com/maps/place/Bleecker+Street+Pizza/data=!4m7!3m6!1s0x89c259939fca75ad:0xad63a7908a34c8ef!8m2!3d40.732198!4d-74.0034014!16s%2Fg%2F1tfczq_0!19sChIJrXXKn5NZwokR78g0ipCnY60?authuser=0&hl=en&rclk=1"
"NY Pizza Suprema","Address: 413 8th Ave, New York, NY 10001, United States ","+12125948939","https://www.nypizzasuprema.com/","New York, NY","New York, NY","pizza","","4.6","https://www.google.com/maps/place/NY+Pizza+Suprema/data=!4m7!3m6!1s0x89c25941e2fda08d:0xfecb69a95e026dfb!8m2!3d40.7501778!4d-73.9952738!16s%2Fg%2F1thzvq7f!19sChIJjaD94kFZwokR-20CXqlpy_4?authuser=0&hl=en&rclk=1"
"Uncle Paul's Pizza","Address: 70 Vanderbilt Ave, New York, NY 10017, United States ","+12129221200","https://www.unclepaulspizzamenu.com/","New York, NY","New York, NY","pizza","","4.4","https://www.google.com/maps/place/Uncle+Paul%27s+Pizza/data=!4m7!3m6!1s0x89c258fdfcdd133f:0x851202204ae1327f!8m2!3d40.7546824!4d-73.9768744!16s%2Fg%2F11cfhqnqf!19sChIJPxPd_P1YwokRfzLhSiACEoU?authuser=0&hl=en&rclk=1"
"Kesté Pizza e Vino","Address: 77 Fulton St, New York, NY 10038, United States ","+12122431500","https://kestepizzeria.com/","New York, NY","New York, NY","pizza","","4.6","https://www.google.com/maps/place/Kest%C3%A9+Pizza+e+Vino/data=!4m7!3m6!1s0x89c25993a4ddf7e9:0xade68c13759fc699!8m2!3d40.7092773!4d-74.0049159!16s%2Fg%2F11b8_rqdhr!19sChIJ6ffdpJNZwokRmcafdROM5q0?authuser=0&hl=en&rclk=1"
"Prince Street Pizza","Address: 27 Prince St, New York, NY 10012, United States ","+12129664100","https://locations.princestreetpizza.com/new-york","New York, NY","New York, NY","pizza","","4.4","https://www.google.com/maps/place/Prince+Street+Pizza/data=!4m7!3m6!1s0x89c25985f7ec1beb:0x3c39f655da433d9d!8m2!3d40.7230777!4d-73.9945444!16s%2Fg%2F113f6l3sc!19sChIJ6xvs94VZwokRnT1D2lX2OTw?authuser=0&hl=en&rclk=1"
"L'Antica Pizzeria Da Michele NYC","Address: 2 Bank St, New York, NY 10014, United States ","+19295246682","https://damicheleusa.com/nyc/","New York, NY","New York, NY","pizza","","4.5","https://www.google.com/maps/place/L%27Antica+Pizzeria+Da+Michele+NYC/data=!4m7!3m6!1s0x89c2594059eb07a1:0xb3b23c3a4ee9d103!8m2!3d40.7370366!4d-74.0016578!16s%2Fg%2F11n2zfdfr2!19sChIJoQfrWUBZwokRA9HpTjo8srM?authuser=0&hl=en&rclk=1"
"Pop's Pizzas","Address: 301 W 57th St Ground floor, New York, NY 10019, United States ","+12127848863","http://popspizzasmenu.com/","New York, NY","New York, NY","pizza","","4.8","https://www.google.com/maps/place/Pop%27s+Pizzas/data=!4m7!3m6!1s0x89c2591272ad51e9:0x474423dbbfc3a584!8m2!3d40.7670707!4d-73.9831248!16s%2Fg%2F11fqpt1jf3!19sChIJ6VGtchJZwokRhKXDv9sjREc?authuser=0&hl=en&rclk=1"
"East Village Pizza","Address: 145 1st Ave, New York, NY 10003, United States ","+12125294545","http://eastvillagepizza.net/","New York, NY","New York, NY","pizza","","4.6","https://www.google.com/maps/place/East+Village+Pizza/data=!4m7!3m6!1s0x89c2599d0807c8a9:0xcf962b97e6246!8m2!3d40.7281911!4d-73.985099!16s%2Fg%2F1thqbs6b!19sChIJqcgHCJ1ZwokRRmJ-uWL5DAA?authuser=0&hl=en&rclk=1"
"Nuovo York Pizza","Address: 105 E 9th St, New York, NY 10003, United States ","+16464762428","https://www.nuovoyorkpizza.com/","New York, NY","New York, NY","pizza","","4.9","https://www.google.com/maps/place/Nuovo+York+Pizza/data=!4m7!3m6!1s0x89c259153c88cc99:0x4c931ed69ce7caab!8m2!3d40.7305239!4d-73.9900505!16s%2Fg%2F11vpl9504q!19sChIJmcyIPBVZwokRq8rnnNYek0w?authuser=0&hl=en&rclk=1"
"John's of Bleecker Street","Address: 278 Bleecker St, New York, NY 10014, United States ","+12122431680","http://johnsofbleecker.com/","New York, NY","New York, NY","pizza","","4.6","https://www.google.com/maps/place/John%27s+of+Bleecker+Street/data=!4m7!3m6!1s0x89c25993a1376eb9:0x41ca6e3a2f6d4e74!8m2!3d40.7316187!4d-74.0034468!16s%2Fg%2F11b8zbnw8g!19sChIJuW43oZNZwokRdE5tLzpuykE?authuser=0&hl=en&rclk=1"
"Square Pizza NYC: Times Square","Address: 316 W 39th St, New York, NY 10018, United States ","+16465967070","http://pizza316.square.site/","New York, NY","New York, NY","pizza","","4.7","https://www.google.com/maps/place/Square+Pizza+NYC:+Times+Square/data=!4m7!3m6!1s0x89c259d6a50fcceb:0x1f273360743e9549!8m2!3d40.7555229!4d-73.992228!16s%2Fg%2F11pvhk0_sx!19sChIJ68wPpdZZwokRSZU-dGAzJx8?authuser=0&hl=en&rclk=1"
"Quality Pizza Co. Midtown","Address: 888 6th Ave, New York, NY 10001, United States ","+16468580048","http://orderqualitypizzaco.com/","New York, NY","New York, NY","pizza","","4.8","https://www.google.com/maps/place/Quality+Pizza+Co.+Midtown/data=!4m7!3m6!1s0x89c2590deaa76f81:0xcaa4b135b06ff5c0!8m2!3d40.7481543!4d-73.9886899!16s%2Fg%2F11vkqwpn9j!19sChIJgW-n6g1ZwokRwPVvsDWxpMo?authuser=0&hl=en&rclk=1"
