business_name,address,phone,website,area,city,category,reviews_count,rating,url
"EXPRESS POOL SERVICE, CORP.","Address: 358 Union Ave, Staten Island, NY 10303, United States ","+17186145764","https://www.expresspoolservice.com/","New York, NY","New York, NY","pool service","","4.9","https://www.google.com/maps/place/EXPRESS+POOL+SERVICE,+CORP./data=!4m7!3m6!1s0x89c24db1e85d8923:0x1caa5c3f1a1c66cc!8m2!3d40.6276176!4d-74.1581341!16s%2Fg%2F11cn6ffvg1!19sChIJI4ld6LFNwokRzGYcGj9cqhw?authuser=0&hl=en&rclk=1"
"Pool Doctor Contractors Inc","Address: 4724 Arthur Kill Rd, Staten Island, NY 10309, United States ","+17189847665","http://pooldoctorsi.com/","New York, NY","New York, NY","pool service","","4.7","https://www.google.com/maps/place/Pool+Doctor+Contractors+Inc/data=!4m7!3m6!1s0x89c24b14488df05f:0xcaafac965843e1b9!8m2!3d40.5274507!4d-74.2388639!16s%2Fg%2F1tdl70sy!19sChIJX_CNSBRLwokRueFDWJasr8o?authuser=0&hl=en&rclk=1"
"NEPTUNE POOLS AND SPA","Address: 43-12 25th Ave, Long Island City, NY 11103, United States ","+15169197450","","New York, NY","New York, NY","pool service","","5","https://www.google.com/maps/place/NEPTUNE+POOLS+AND+SPA/data=!4m7!3m6!1s0x89c25f7e98b0eed9:0xb8eda98da3b0b9e5!8m2!3d40.7664181!4d-73.9089537!16s%2Fg%2F11x20p017l!19sChIJ2e6wmH5fwokR5bmwo42p7bg?authuser=0&hl=en&rclk=1"
"Elite Pool Service","","+19175663409","http://www.elitepoolservicesi.com/","New York, NY","New York, NY","pool service","","4.8","https://www.google.com/maps/place/Elite+Pool+Service/data=!4m7!3m6!1s0x89c24bf12a0601ed:0x33dcd2ed7147dd46!8m2!3d40.5646056!4d-74.1468185!16s%2Fg%2F11fthngrql!19sChIJ7QEGKvFLwokRRt1Hce3S3DM?authuser=0&hl=en&rclk=1"
"Aquamen Pool Repair","","+16468663268","https://www.aquamenpoolrepair.com/","New York, NY","New York, NY","pool service","","5","https://www.google.com/maps/place/Aquamen+Pool+Repair/data=!4m7!3m6!1s0x89c245afe1985e83:0x73bb789e530df4c6!8m2!3d40.073132!4d-74.6318776!16s%2Fg%2F11kfhyhygk!19sChIJg16Y4a9FwokRxvQNU554u3M?authuser=0&hl=en&rclk=1"
"Wizard of Pools Inc","Address: 25-14 78th St, East Elmhurst, NY 11370, United States ","+15169198391","https://wizardofpools.com/","New York, NY","New York, NY","pool service","","5","https://www.google.com/maps/place/Wizard+of+Pools+Inc/data=!4m7!3m6!1s0x859bf2d53f06f9d1:0xf5b483401fc8cbeb!8m2!3d40.7621907!4d-73.890639!16s%2Fg%2F11x61l0v59!19sChIJ0fkGP9Xym4UR68vIH0CDtPU?authuser=0&hl=en&rclk=1"
"Rafael's Pool Service, Inc.","Address: 1280 Forest Ave, Staten Island, NY 10302, United States ","+17188167622","http://rafaelspoolservice.com/","New York, NY","New York, NY","pool service","","4.1","https://www.google.com/maps/place/Rafael%27s+Pool+Service,+Inc./data=!4m7!3m6!1s0x89c24f1106b00001:0x6e91a990c1cc886a!8m2!3d40.6261819!4d-74.1325981!16s%2Fg%2F1tdkn3vx!19sChIJAQCwBhFPwokRaojMwZCpkW4?authuser=0&hl=en&rclk=1"
"Moloney Pool Service","","+19147618124","https://moloneypoolservice.com/","New York, NY","New York, NY","pool service","","4.6","https://www.google.com/maps/place/Moloney+Pool+Service/data=!4m7!3m6!1s0xaee63a23b4cb9653:0x1c462de8c85df432!8m2!3d41.4763134!4d-73.499831!16s%2Fg%2F11q43zjzmk!19sChIJU5bLtCM65q4RMvRdyOgtRhw?authuser=0&hl=en&rclk=1"
"POOL & SPA MAINTENANCE LLC","Address: 19-25 Linden St ST, Ridgewood, NY 11385, United States ","+13473930721","http://www.poolandspamaintenancellc.com/","New York, NY","New York, NY","pool service","","4.4","https://www.google.com/maps/place/POOL+%26+SPA+MAINTENANCE+LLC/data=!4m7!3m6!1s0x89c25f6bff003a65:0xad5b6597985bd204!8m2!3d40.706522!4d-73.906552!16s%2Fg%2F11qpmg9yjf!19sChIJZToA_2tfwokRBNJbmJdlW60?authuser=0&hl=en&rclk=1"
"All Pool Solutions Corporation","Address: 20-33 125th St, College Point, NY 11256, United States ","+13476858082","http://www.allpoolsolutions.net/","New York, NY","New York, NY","pool service","","4.7","https://www.google.com/maps/place/All+Pool+Solutions+Corporation/data=!4m7!3m6!1s0x89c25f0acceedca7:0xbba8341e51c300ea!8m2!3d40.7806881!4d-73.8430684!16s%2Fg%2F1tznn85t!19sChIJp9zuzApfwokR6gDDUR40qLs?authuser=0&hl=en&rclk=1"
"Mill Bergen Pools","Address: 6338 Avenue N, Brooklyn, NY 11234, United States ","+17187635500","https://www.millbergenpools.com/","New York, NY","New York, NY","pool service","","3.9","https://www.google.com/maps/place/Mill+Bergen+Pools/data=!4m7!3m6!1s0x89c244a684ee955d:0x1b3217b2a7b82fac!8m2!3d40.6194373!4d-73.9159351!16s%2Fg%2F1tls3r7g!19sChIJXZXuhKZEwokRrC-4p7IXMhs?authuser=0&hl=en&rclk=1"
"Familia Pools LLC","Address: 2920 Otis Ave, Bronx, NY 10465, United States ","+19179434789","https://familiapools.com/","New York, NY","New York, NY","pool service","","3.6","https://www.google.com/maps/place/Familia+Pools+LLC/data=!4m7!3m6!1s0x89c2f55256ccfa79:0xfe716e57e50056e0!8m2!3d40.8326192!4d-73.8265826!16s%2Fg%2F11c1qs232j!19sChIJefrMVlL1wokR4FYA5Vducf4?authuser=0&hl=en&rclk=1"
