business_name,address,phone,website,area,city,category,reviews_count,rating,url
"The Up Studio : Architecture, Interior, and Brand Design","Address: 44-02 11th St Studio 405, Long Island City, NY 11101, United States ","+16468203529","https://www.theupstudio.com/","New York, NY","New York, NY","remodeling contractor","","4.9","https://www.google.com/maps/place/The+Up+Studio+:+Architecture,+Interior,+and+Brand+Design/data=!4m7!3m6!1s0x89c259402f9ff3a3:0xeb017ab28e0fb50f!8m2!3d40.749665!4d-73.949667!16s%2Fg%2F1ptxklkdf!19sChIJo_OfL0BZwokRD7UPjrJ6Aes?authuser=0&hl=en&rclk=1"
"Capri Window Corp.","Address: 3-16 Onderdonk Ave, Ridgewood, NY 11385, United States ","+17183861652","http://capriwindow.net/","New York, NY","New York, NY","remodeling contractor","","4.5","https://www.google.com/maps/place/Capri+Window+Corp./data=!4m7!3m6!1s0x89c25ea1ab75039d:0x2ff8fe1b76af5f99!8m2!3d40.708494!4d-73.915136!16s%2Fg%2F11c2pt0cv9!19sChIJnQN1q6FewokRmV-vdhv--C8?authuser=0&hl=en&rclk=1"
"Brener Construction, Inc. @ Apartment Renovation NYC","Address: 20 E 46th St rm 200 c, New York, NY 10017, United States ","+16464553321","https://www.apartmentrenovationsnyc.com/","New York, NY","New York, NY","remodeling contractor","","4.9","https://www.google.com/maps/place/Brener+Construction,+Inc.+@+Apartment+Renovation+NYC/data=!4m7!3m6!1s0x89c261f16fd4b613:0x6dbeaa61dd0c0db8!8m2!3d40.7555032!4d-73.9781131!16s%2Fg%2F11b6hrp4fp!19sChIJE7bUb_FhwokRuA0M3WGqvm0?authuser=0&hl=en&rclk=1"
"My Home Renovation Experts","Address: 353 W 48th St Ground Floor, New York, NY 10036, United States ","+12126662888","https://www.myhomeus.com/?utm_source=gmb&utm_medium=search&utm_campaign=home","New York, NY","New York, NY","remodeling contractor","","4.8","https://www.google.com/maps/place/My+Home+Renovation+Experts/data=!4m7!3m6!1s0x89c258514b296393:0x95a9bd72906337d7!8m2!3d40.76199!4d-73.9889494!16s%2Fg%2F1tcv_b4v!19sChIJk2MpS1FYwokR1zdjkHK9qZU?authuser=0&hl=en&rclk=1"
"A to Z Renovations NYC","Address: 6 W 20th St, New York, NY 10011, United States ","+12126522204","https://atozrenovationsny.com/","New York, NY","New York, NY","remodeling contractor","","4.9","https://www.google.com/maps/place/A+to+Z+Renovations+NYC/data=!4m7!3m6!1s0x89c25909e9578267:0xdbfb3631ae4d2a64!8m2!3d40.7398206!4d-73.9919529!16s%2Fg%2F11clsg31qm!19sChIJZ4JX6QlZwokRZCpNrjE2-9s?authuser=0&hl=en&rclk=1"
"General Contractor NYC","Address: 845 Columbus Ave apt 3f, New York, NY 10025, United States ","+13322160883","https://generalcontractornyc.net/","New York, NY","New York, NY","remodeling contractor","","5","https://www.google.com/maps/place/General+Contractor+NYC/data=!4m7!3m6!1s0x89c2f778ca865855:0x7e2f8eb213c104a7!8m2!3d40.7960361!4d-73.9643841!16s%2Fg%2F11nfqgv835!19sChIJVViGynj3wokRpwTBE7KOL34?authuser=0&hl=en&rclk=1"
"West Village General Contracting","Address: 454 W 50th St Apt 3r, New York, NY 10019, United States ","+12126494632","https://www.westvillagegc.com/?utm_source=GMB&utm_medium=organic","New York, NY","New York, NY","remodeling contractor","","4.7","https://www.google.com/maps/place/West+Village+General+Contracting/data=!4m7!3m6!1s0x89c25850f14a63b1:0xea9d98c87b6186b9!8m2!3d40.7643538!4d-73.9914229!16s%2Fg%2F1tqg17fq!19sChIJsWNK8VBYwokRuYZhe8iYneo?authuser=0&hl=en&rclk=1"
"NYC Remodeler Inc.","Address: 1460 3rd Ave, New York, NY 10028, United States ","+13473616641","https://www.nyc-remodeling.com/","New York, NY","New York, NY","remodeling contractor","","5","https://www.google.com/maps/place/NYC+Remodeler+Inc./data=!4m7!3m6!1s0x89c258bc39f64c07:0x461fa4a4bfa293e6!8m2!3d40.7768529!4d-73.9557617!16s%2Fg%2F11b7ycgl_m!19sChIJB0z2ObxYwokR5pOiv6SkH0Y?authuser=0&hl=en&rclk=1"
"Supreme Renovation A2Z","Address: 100 Park Ave, New York, NY 10017, United States ","+19172133418","https://supremerenovation.com/","New York, NY","New York, NY","remodeling contractor","","5","https://www.google.com/maps/place/Supreme+Renovation+A2Z/data=!4m7!3m6!1s0x89c24496a7cbbe8b:0xd24997be3d91150c!8m2!3d40.7515507!4d-73.9789221!16s%2Fg%2F11fll6j8vk!19sChIJi77Lp5ZEwokRDBWRPb6XSdI?authuser=0&hl=en&rclk=1"
"Corniel Construction","Address: 500 W 176th St, New York, NY 10033, United States ","+13475671018","https://cornielconstruction.com/","New York, NY","New York, NY","remodeling contractor","","4.9","https://www.google.com/maps/place/Corniel+Construction/data=!4m7!3m6!1s0x89c258216b1ac73d:0x3f21cb5b477b6e39!8m2!3d40.8448229!4d-73.9337302!16s%2Fg%2F12hpkt1qs!19sChIJPccaayFYwokROW57R1vLIT8?authuser=0&hl=en&rclk=1"
"Knockout Renovation Services Inc.","Address: 134 W 26th St # 1000, New York, NY 10001, United States ","+12125995060","https://knockoutrenovation.com/","New York, NY","New York, NY","remodeling contractor","","4.4","https://www.google.com/maps/place/Knockout+Renovation+Services+Inc./data=!4m7!3m6!1s0x89c258af5d8db82d:0xc07bb2dd4b5f1092!8m2!3d40.7453297!4d-73.9929523!16s%2Fg%2F1vysxfms!19sChIJLbiNXa9YwokRkhBfS92ye8A?authuser=0&hl=en&rclk=1"
"Jimenez Pro Construction | Kitchen & Bathroom Renovation Remodel Professionals NYC","Address: 70-17 70th St, Glendale, NY 11385, United States ","+19292163639","https://jimenezproconstruction.com/home","New York, NY","New York, NY","remodeling contractor","","4.8","https://www.google.com/maps/place/Jimenez+Pro+Construction+%7C+Kitchen+%26+Bathroom+Renovation+Remodel+Professionals+NYC/data=!4m7!3m6!1s0xae77504f09d027cb:0xf1a6e999078031f7!8m2!3d40.7053278!4d-73.8821166!16s%2Fg%2F11svypsbh8!19sChIJyyfQCU9Qd64R9zGAB5nppvE?authuser=0&hl=en&rclk=1"
"Home Solutions NYC","Address: 36 W 96th St, New York, NY 10025, United States ","+12128666320","http://homesolutionsnyc.com/","New York, NY","New York, NY","remodeling contractor","","5","https://www.google.com/maps/place/Home+Solutions+NYC/data=!4m7!3m6!1s0x89c2589df758e569:0xf7065f630e12f57c!8m2!3d40.7923368!4d-73.9653271!16s%2Fg%2F1tdb55w4!19sChIJaeVY951YwokRfPUSDmNfBvc?authuser=0&hl=en&rclk=1"
"MCG Corp: Kitchen, Bathroom, Basement, Apartment, Condo and Whole House Remodeling and Renovation Contractors","Address: 407 Central Prk W Apt 1d, New York, NY 10025, United States ","+19174457155","https://mcgcorp.us/","New York, NY","New York, NY","remodeling contractor","","4.2","https://www.google.com/maps/place/MCG+Corp:+Kitchen,+Bathroom,+Basement,+Apartment,+Condo+and+Whole+House+Remodeling+and+Renovation+Contractors/data=!4m7!3m6!1s0x89c2f762b0452cfd:0x7f7ed90161041193!8m2!3d40.794602!4d-73.962937!16s%2Fg%2F11l8lfydj8!19sChIJ_SxFsGL3wokRkxEEYQHZfn8?authuser=0&hl=en&rclk=1"
"Top General Contractors Queens","Address: 43-04 44th St # 6L, Sunnyside, NY 11104, United States ","+17187362413","https://topgeneralcontractorsqueens.com/?utm_source=google&utm_medium=gmb&utm_campaign=queens","New York, NY","New York, NY","remodeling contractor","","4.9","https://www.google.com/maps/place/Top+General+Contractors+Queens/data=!4m7!3m6!1s0x89c25f7335332153:0x26da7904840be5d7!8m2!3d40.744345!4d-73.920598!16s%2Fg%2F11ghg32t1f!19sChIJUyEzNXNfwokR1-ULhAR52iY?authuser=0&hl=en&rclk=1"
"KBR - Design & Build","Address: 145 W 28th St 10th floor, New York, NY 10001, United States ","+12124758000","http://www.kbremodel.com/","New York, NY","New York, NY","remodeling contractor","","4.8","https://www.google.com/maps/place/KBR+-+Design+%26+Build/data=!4m7!3m6!1s0x89c259f58d799eaf:0xf5e0414437f5133d!8m2!3d40.7471372!4d-73.9924195!16s%2Fg%2F1hc0zkmlg!19sChIJr555jfVZwokRPRP1N0RB4PU?authuser=0&hl=en&rclk=1"
"NY BUILT CONSTRUCTION","Address: 800 3rd Ave, New York, NY 10022, United States ","+16467478938","https://nybuilt.com/","New York, NY","New York, NY","remodeling contractor","","4.9","https://www.google.com/maps/place/NY+BUILT+CONSTRUCTION/data=!4m7!3m6!1s0x89c259464bd8ed13:0x5914dba0df25a93f!8m2!3d40.7556476!4d-73.9713866!16s%2Fg%2F11s977l18m!19sChIJE-3YS0ZZwokRP6kl36DbFFk?authuser=0&hl=en&rclk=1"
"Golden I Construction INC","Address: 345 E 76th St suite 1C, New York, NY 10021, United States ","+12128378117","http://www.goldeniconstruction.com/","New York, NY","New York, NY","remodeling contractor","","4.8","https://www.google.com/maps/place/Golden+I+Construction+INC/data=!4m7!3m6!1s0x89c2973a6be31077:0xc7e7e2aaca03bbea!8m2!3d40.77111!4d-73.955228!16s%2Fg%2F11bxfzlv5q!19sChIJdxDjazqXwokR6rsDyqri58c?authuser=0&hl=en&rclk=1"
"A to Z Renovations Brooklyn","Address: 3404 Avenue N 1st floor, Brooklyn, NY 11234, United States ","+18002570440","https://atozrenovationsny.com/","New York, NY","New York, NY","remodeling contractor","","4.9","https://www.google.com/maps/place/A+to+Z+Renovations+Brooklyn/data=!4m7!3m6!1s0x89c244eb1902f841:0xdbcf9808c3a86c7b!8m2!3d40.6173751!4d-73.9419561!16s%2Fg%2F11b6zsw217!19sChIJQfgCGetEwokRe2yowwiYz9s?authuser=0&hl=en&rclk=1"
"Modern Citi Group","Address: 733 3rd Ave Floor 16 #1036, New York, NY 10017, United States ","+18446240044","http://moderncitigroup.com/?utm_source=gmb","New York, NY","New York, NY","remodeling contractor","","4.7","https://www.google.com/maps/place/Modern+Citi+Group/data=!4m7!3m6!1s0x89c2450fcaa15efd:0x8f424d9e62e2339e!8m2!3d40.7531388!4d-73.9725067!16s%2Fg%2F11h0rfx41p!19sChIJ_V6hyg9FwokRnjPiYp5NQo8?authuser=0&hl=en&rclk=1"
"Overall Renovation | Manhattan Remodeling Experts","Address: 193 Spring St Suite B, New York, NY 10012, United States ","+16465201231","https://overallrenovation.com/soho-location-overall-renovation/?utm_source=gmb-listings&utm_medium=website-btn&utm_campaign=ny-listings&utm_content=soho","New York, NY","New York, NY","remodeling contractor","","5","https://www.google.com/maps/place/Overall+Renovation+%7C+Manhattan+Remodeling+Experts/data=!4m7!3m6!1s0x89c2599f4d2428bd:0xcd96dc5f4d229592!8m2!3d40.7252812!4d-74.0029978!16s%2Fg%2F11rsc06d0x!19sChIJvSgkTZ9ZwokRkpUiTV_cls0?authuser=0&hl=en&rclk=1"
"Grandeur Hills Group | General Contractor NYC","Address: 276 5th Ave #704, New York, NY 10001, United States ","+12128805484","https://grandeurhillsgroup.com/","New York, NY","New York, NY","remodeling contractor","","5","https://www.google.com/maps/place/Grandeur+Hills+Group+%7C+General+Contractor+NYC/data=!4m7!3m6!1s0x89c2593e8550e39f:0x5114cd7cdf215c84!8m2!3d40.7459698!4d-73.9869095!16s%2Fg%2F11h6d9_p9f!19sChIJn-NQhT5ZwokRhFwh33zNFFE?authuser=0&hl=en&rclk=1"
