business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Nine Orchard","Address: 9 Orchard St, New York, NY 10002, United States ","+12128049900","https://nineorchard.com/","New York, NY","New York, NY","restaurant","","4.7","https://www.google.com/maps/place/Nine+Orchard/data=!4m7!3m6!1s0x89c25b21d10b9d0d:0xcd961a9ccbe299eb!8m2!3d40.714691!4d-73.992079!16s%2Fg%2F11rv5twh23!19sChIJDZ0L0SFbwokR65niy5wals0?authuser=0&hl=en&rclk=1"
"Kabob Shack","Address: 182 Havemeyer St, Brooklyn, NY 11211, United States ","+17183877111","https://www.kabobshackbrooklyn.com/","New York, NY","New York, NY","restaurant","","4.4","https://www.google.com/maps/place/Kabob+Shack/data=!4m7!3m6!1s0x89c25be06adf86a7:0x505e98afb041d376!8m2!3d40.710732!4d-73.958252!16s%2Fg%2F1hg516329!19sChIJp4bfauBbwokRdtNBsK-YXlA?authuser=0&hl=en&rclk=1"
"Gramercy Tavern","Address: 42 E 20th St, New York, NY 10003, United States ","+12124770777","https://www.gramercytavern.com/","New York, NY","New York, NY","restaurant","","4.6","https://www.google.com/maps/place/Gramercy+Tavern/data=!4m7!3m6!1s0x89c259a1820824bd:0x2b79dcdc251b8415!8m2!3d40.7384555!4d-73.9885064!16s%2Fm%2F020dmrk!19sChIJvSQIgqFZwokRFYQbJdzceSs?authuser=0&hl=en&rclk=1"
"Manhatta","Address: 28 Liberty St 60th floor, New York, NY 10005, United States ","+12122305788","https://www.manhattarestaurant.com/","New York, NY","New York, NY","restaurant","","4.7","https://www.google.com/maps/place/Manhatta/data=!4m7!3m6!1s0x89c25bc797d635a1:0x60b055910436a0a4!8m2!3d40.7079974!4d-74.0088826!16s%2Fg%2F11gh9qhb9q!19sChIJoTXWl8dbwokRpKA2BJFVsGA?authuser=0&hl=en&rclk=1"
"Per Se","Address: 10 Columbus Cir, New York, NY 10019, United States ","+12128239335","https://www.thomaskeller.com/perseny","New York, NY","New York, NY","restaurant","","4.5","https://www.google.com/maps/place/Per+Se/data=!4m7!3m6!1s0x89c258f62fec73a7:0x5e24118dffac8a65!8m2!3d40.7682178!4d-73.9828988!16zL20vMGNxdjh5!19sChIJp3PsL_ZYwokRZYqs_40RJF4?authuser=0&hl=en&rclk=1"
"1803 NYC","Address: 82 Reade St, New York, NY 10007, United States ","+12122673000","https://1803nyc.com/","New York, NY","New York, NY","restaurant","","4.5","https://www.google.com/maps/place/1803+NYC/data=!4m7!3m6!1s0x89c25a1f689722d3:0x16683d41746a61e9!8m2!3d40.7154539!4d-74.0073301!16s%2Fg%2F11d_tqq6n7!19sChIJ0yKXaB9awokR6WFqdEE9aBY?authuser=0&hl=en&rclk=1"
"Au Cheval","Address: 33 Cortlandt Alley, New York, NY 10013, United States ","+16463502429","https://www.auchevaldiner.com/nyc/home","New York, NY","New York, NY","restaurant","","4.7","https://www.google.com/maps/place/Au+Cheval/data=!4m7!3m6!1s0x89c25bb44ec0f1b7:0x4cfe753b3a1f111!8m2!3d40.7181205!4d-74.0017942!16s%2Fg%2F11gyc6jp6q!19sChIJt_HATrRbwokREfGhs1PnzwQ?authuser=0&hl=en&rclk=1"
"Maison Close Restaurant","Address: 15 Watts St, New York, NY 10013, United States ","+13479195063","http://www.maisoncloserestaurant.com/","New York, NY","New York, NY","restaurant","","4.8","https://www.google.com/maps/place/Maison+Close+Restaurant/data=!4m7!3m6!1s0x89c259476b9ac1b1:0x5543d23f1f22ff70!8m2!3d40.7232542!4d-74.0037064!16s%2Fg%2F11sxwzxrcn!19sChIJscGaa0dZwokRcP8iHz_SQ1U?authuser=0&hl=en&rclk=1"
"Carbone New York","Address: 181 Thompson St, New York, NY 10012, United States ","","https://www.carbonenewyork.com/?utm_medium=Click&utm_source=GoogleMyBusiness","New York, NY","New York, NY","restaurant","","4.3","https://www.google.com/maps/place/Carbone+New+York/data=!4m7!3m6!1s0x89c25991fdc62b99:0x6092f3b5885ee14c!8m2!3d40.7279891!4d-74.0002414!16s%2Fg%2F1hjgjv7vl!19sChIJmSvG_ZFZwokRTOFeiLXzkmA?authuser=0&hl=en&rclk=1"
"ROBERT","Address: 2 Columbus Cir, New York, NY 10019, United States ","+12122997730","https://robertnyc.com/","New York, NY","New York, NY","restaurant","","4.5","https://www.google.com/maps/place/ROBERT/data=!4m7!3m6!1s0x89c258f6339d1b6f:0x311bbfaf5cf09635!8m2!3d40.767438!4d-73.9819871!16s%2Fm%2F0zfz543!19sChIJbxudM_ZYwokRNZbwXK-_GzE?authuser=0&hl=en&rclk=1"
