business_name,address,phone,website,area,city,category,reviews_count,rating,url
"The Dynamo Room","Address: 2 Pennsylvania Plaza, New York, NY 10121, United States ","+12032979477","https://thedynamoroom.com/","New York, NY","New York, NY","restaurants","","4.7","https://www.google.com/maps/place/The+Dynamo+Room/data=!4m7!3m6!1s0x89c259c020337e89:0xc907e252a5dfe13a!8m2!3d40.750348!4d-73.991699!16s%2Fg%2F11m6cn_jzp!19sChIJiX4zIMBZwokROuHfpVLiB8k?authuser=0&hl=en&rclk=1"
"Bocca di Bacco Chelsea","Address: 169 9th Ave, New York, NY 10011, United States ","+12129898400","https://www.boccadibacconyc.com/","New York, NY","New York, NY","restaurants","","4.4","https://www.google.com/maps/place/Bocca+di+Bacco+Chelsea/data=!4m7!3m6!1s0x89c259b91a2c9497:0x551521664b39778f!8m2!3d40.744614!4d-74.002979!16s%2Fg%2F11_snwxk0!19sChIJl5QsGrlZwokRj3c5S2YhFVU?authuser=0&hl=en&rclk=1"
"Gramercy Tavern","Address: 42 E 20th St, New York, NY 10003, United States ","+12124770777","https://www.gramercytavern.com/","New York, NY","New York, NY","restaurants","","4.6","https://www.google.com/maps/place/Gramercy+Tavern/data=!4m7!3m6!1s0x89c259a1820824bd:0x2b79dcdc251b8415!8m2!3d40.7384555!4d-73.9885064!16s%2Fm%2F020dmrk!19sChIJvSQIgqFZwokRFYQbJdzceSs?authuser=0&hl=en&rclk=1"
"Manhatta","Address: 28 Liberty St 60th floor, New York, NY 10005, United States ","+12122305788","https://www.manhattarestaurant.com/","New York, NY","New York, NY","restaurants","","4.7","https://www.google.com/maps/place/Manhatta/data=!4m7!3m6!1s0x89c25bc797d635a1:0x60b055910436a0a4!8m2!3d40.7079974!4d-74.0088826!16s%2Fg%2F11gh9qhb9q!19sChIJoTXWl8dbwokRpKA2BJFVsGA?authuser=0&hl=en&rclk=1"
"Boucherie West Village","Address: 99 7th Ave S, New York, NY 10014, United States ","+12128371616","https://www.boucherieus.com/","New York, NY","New York, NY","restaurants","","4.7","https://www.google.com/maps/place/Boucherie+West+Village/data=!4m7!3m6!1s0x89c25993862d9fab:0xc76173738eeacb72!8m2!3d40.733047!4d-74.0028772!16s%2Fg%2F11c2lq_l86!19sChIJq58thpNZwokRcsvqjnNzYcc?authuser=0&hl=en&rclk=1"
"1803 NYC","Address: 82 Reade St, New York, NY 10007, United States ","+12122673000","https://1803nyc.com/","New York, NY","New York, NY","restaurants","","4.5","https://www.google.com/maps/place/1803+NYC/data=!4m7!3m6!1s0x89c25a1f689722d3:0x16683d41746a61e9!8m2!3d40.7154539!4d-74.0073301!16s%2Fg%2F11d_tqq6n7!19sChIJ0yKXaB9awokR6WFqdEE9aBY?authuser=0&hl=en&rclk=1"
"Au Cheval","Address: 33 Cortlandt Alley, New York, NY 10013, United States ","+16463502429","https://www.auchevaldiner.com/nyc/home","New York, NY","New York, NY","restaurants","","4.7","https://www.google.com/maps/place/Au+Cheval/data=!4m7!3m6!1s0x89c25bb44ec0f1b7:0x4cfe753b3a1f111!8m2!3d40.7181205!4d-74.0017942!16s%2Fg%2F11gyc6jp6q!19sChIJt_HATrRbwokREfGhs1PnzwQ?authuser=0&hl=en&rclk=1"
"Minetta Tavern","Address: 113 MacDougal St, New York, NY 10012, United States ","+12124753850","http://www.minettatavernny.com/","New York, NY","New York, NY","restaurants","","4.5","https://www.google.com/maps/place/Minetta+Tavern/data=!4m7!3m6!1s0x89c2599196190779:0xf5f0efaba6878e!8m2!3d40.7299881!4d-74.0007016!16s%2Fm%2F020f5k4!19sChIJeQcZlpFZwokRjoemq-_w9QA?authuser=0&hl=en&rclk=1"
"Le Coucou","Address: 138 Lafayette St, New York, NY 10013, United States ","+12122714252","https://www.lecoucou.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs","New York, NY","New York, NY","restaurants","","4.5","https://www.google.com/maps/place/Le+Coucou/data=!4m7!3m6!1s0x89c25989f3630ecb:0xd048cf49523f429d!8m2!3d40.7191167!4d-74.0001861!16s%2Fg%2F11clvbwgj9!19sChIJyw5j84lZwokRnUI_UknPSNA?authuser=0&hl=en&rclk=1"
"Le Bernardin","Address: 155 W 51st St, New York, NY 10019, United States ","+12125541515","https://www.le-bernardin.com/home","New York, NY","New York, NY","restaurants","","4.6","https://www.google.com/maps/place/Le+Bernardin/data=!4m7!3m6!1s0x89c25947ea10b457:0x6548e99cd73a1e6b!8m2!3d40.7614218!4d-73.9817558!16s%2Fm%2F02qsq9d!19sChIJV7QQ6kdZwokRax4615zpSGU?authuser=0&hl=en&rclk=1"
"Maison Close Restaurant","Address: 15 Watts St, New York, NY 10013, United States ","+13479195063","http://www.maisoncloserestaurant.com/","New York, NY","New York, NY","restaurants","","4.8","https://www.google.com/maps/place/Maison+Close+Restaurant/data=!4m7!3m6!1s0x89c259476b9ac1b1:0x5543d23f1f22ff70!8m2!3d40.7232542!4d-74.0037064!16s%2Fg%2F11sxwzxrcn!19sChIJscGaa0dZwokRcP8iHz_SQ1U?authuser=0&hl=en&rclk=1"
"Hole In The Wall - FiDi","Address: 15 Cliff St, New York, NY 10038, United States ","+12126029991","http://www.holeinthewallnyc.com/fidi","New York, NY","New York, NY","restaurants","","4.8","https://www.google.com/maps/place/Hole+In+The+Wall+-+FiDi/data=!4m7!3m6!1s0x89c25a3d4e4bdcf1:0x77c870698ca0b670!8m2!3d40.7083126!4d-74.0056165!16s%2Fg%2F11dxr6__g0!19sChIJ8dxLTj1awokRcLagjGlwyHc?authuser=0&hl=en&rclk=1"
"Felice 15 Gold","Address: 15 Gold St, New York, NY 10038, United States ","+12127855950","https://www.felicerestaurants.com/felice-15-gold-street/","New York, NY","New York, NY","restaurants","","4.5","https://www.google.com/maps/place/Felice+15+Gold/data=!4m7!3m6!1s0x89c25a17dd04bdb5:0xffbd31d214feb3a8!8m2!3d40.7078509!4d-74.007046!16s%2Fg%2F1hdzmcjs9!19sChIJtb0E3RdawokRqLP-FNIxvf8?authuser=0&hl=en&rclk=1"
"Osteria Carlina West Village","Address: 455 Hudson St, New York, NY 10014, United States ","+16465595137","http://www.osteriacarlina.com/","New York, NY","New York, NY","restaurants","","4.7","https://www.google.com/maps/place/Osteria+Carlina+West+Village/data=!4m7!3m6!1s0x89c259c6cfda0979:0xc2258f7e7b6535c4!8m2!3d40.7313554!4d-74.0068444!16s%2Fg%2F11qyb17c9r!19sChIJeQnaz8ZZwokRxDVle36PJcI?authuser=0&hl=en&rclk=1"
"Temple Court","Address: 5 Beekman St, New York, NY 10038, United States ","+19177284685","https://www.templecourtnyc.com/","New York, NY","New York, NY","restaurants","","4.5","https://www.google.com/maps/place/Temple+Court/data=!4m7!3m6!1s0x89c25a1878c40c3d:0x5ce593d3e428d3ef!8m2!3d40.7113002!4d-74.0067691!16s%2Fg%2F11cr_ydhmg!19sChIJPQzEeBhawokR79Mo5NOT5Vw?authuser=0&hl=en&rclk=1"
