business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Manhattan Roofing","Address: 447 Broadway 2nd FL #264, New York, NY 10013, United States ","+12124959840","https://manhattanroofs.com/","New York, NY","New York, NY","roofers","","4.8","https://www.google.com/maps/place/Manhattan+Roofing/data=!4m7!3m6!1s0x89c25e7f63ce2673:0x4f28db7a73482b8b!8m2!3d40.7206058!4d-74.0014893!16s%2Fg%2F11cmybkkt6!19sChIJcybOY39ewokRiytIc3rbKE8?authuser=0&hl=en&rclk=1"
"Royal Roofing & Siding NYC","Address: 605 W 42nd St PH1A, New York, NY 10036, United States ","+12124571331","https://roofernyc.com/","New York, NY","New York, NY","roofers","","4.9","https://www.google.com/maps/place/Royal+Roofing+%26+Siding+NYC/data=!4m7!3m6!1s0x89c25904933a281b:0x69f5037c7e128901!8m2!3d40.7590248!4d-73.9944225!16s%2Fg%2F11c5t3qlth!19sChIJGyg6kwRZwokRAYkSfnwD9Wk?authuser=0&hl=en&rclk=1"
"Goldenberg Roofing NYC","Address: 1274 5th Ave, New York, NY 10029, United States ","+17184893999","https://bestroofingnyc.com/","New York, NY","New York, NY","roofers","","4.8","https://www.google.com/maps/place/Goldenberg+Roofing+NYC/data=!4m7!3m6!1s0x89c2f61b6b43cb87:0x9f686886fe4889a!8m2!3d40.7959466!4d-73.9495107!16s%2Fg%2F11b6zk9wyj!19sChIJh8tDaxv2wokRmojkb4iG9gk?authuser=0&hl=en&rclk=1"
"Five Star Roofing Co.","Address: 97-06 101st Ave, Ozone Park, NY 11416, United States ","+17187956640","https://fivestarroofingny.net/?utm_source=google&utm_medium=organic&utm_campaign=gbp","New York, NY","New York, NY","roofers","","4.9","https://www.google.com/maps/place/Five+Star+Roofing+Co./data=!4m7!3m6!1s0x89c25df7962871db:0x1a17d23b657ecbc0!8m2!3d40.6846757!4d-73.8438843!16s%2Fg%2F11g870r37r!19sChIJ23EolvddwokRwMt-ZTvSFxo?authuser=0&hl=en&rclk=1"
"Roman Roofing NYC","Address: 463 Pulaski St #5A, Brooklyn, NY 11221, United States ","+19174401800","http://romanroofingnyc.com/","New York, NY","New York, NY","roofers","","5","https://www.google.com/maps/place/Roman+Roofing+NYC/data=!4m7!3m6!1s0x4dafbc748a88cf59:0x12684274dcdcc4a3!8m2!3d40.6945634!4d-73.9318915!16s%2Fg%2F11t7zm3rs0!19sChIJWc-IinS8r00Ro8Tc3HRCaBI?authuser=0&hl=en&rclk=1"
"C&D Brooklyn Roofers","","+17185579199","https://expertconstructionguys.com/","New York, NY","New York, NY","roofers","","4.9","https://www.google.com/maps/place/C%26D+Brooklyn+Roofers/data=!4m7!3m6!1s0x89c25c138c6a3387:0xbe8c088a396dc1b3!8m2!3d40.805146!4d-73.9003419!16s%2Fg%2F11ckkykzf7!19sChIJhzNqjBNcwokRs8FtOYoIjL4?authuser=0&hl=en&rclk=1"
"City Roofing Company NYC","Address: 2203 Hunter Ave, Bronx, NY 10475, United States ","+17183107333","https://cityroofrepairnyc.com/","New York, NY","New York, NY","roofers","","5","https://www.google.com/maps/place/City+Roofing+Company+NYC/data=!4m7!3m6!1s0x296e348f40a1b067:0xb25468474b5fb56c!8m2!3d40.8607423!4d-73.8241514!16s%2Fg%2F11vr1vkcff!19sChIJZ7ChQI80bikRbLVfS0doVLI?authuser=0&hl=en&rclk=1"
"Roman Commercial Roofing","Address: 7 Harrison St # 2n, New York, NY 10013, United States ","+19174401800","https://www.romancommercialroofing.com/","New York, NY","New York, NY","roofers","","5","https://www.google.com/maps/place/Roman+Commercial+Roofing/data=!4m7!3m6!1s0x89c25bc57a8e3329:0x6de0d172121dcf31!8m2!3d40.7185099!4d-74.009493!16s%2Fg%2F11h71f4dvh!19sChIJKTOOesVbwokRMc8dEnLR4G0?authuser=0&hl=en&rclk=1"
"NY Roofing","Address: 553 Prospect Ave, Brooklyn, NY 11215, United States ","+16468380441","http://www.nyroofing.com/","New York, NY","New York, NY","roofers","","4.9","https://www.google.com/maps/place/NY+Roofing/data=!4m7!3m6!1s0x89c243404290876f:0xec498e3c2733a97e!8m2!3d40.6575001!4d-73.9791904!16s%2Fg%2F11cn3twh5t!19sChIJb4eQQkBDwokRfqkzJzyOSew?authuser=0&hl=en&rclk=1"
"N.V. Roofing Services","Address: 163 Bay 7th St #1F, Brooklyn, NY 11228, United States ","+16467173737","https://nvroofingny.com/","New York, NY","New York, NY","roofers","","5","https://www.google.com/maps/place/N.V.+Roofing+Services/data=!4m7!3m6!1s0x89c24571a3be6b8b:0x73bde4e0fde00dc9!8m2!3d40.6090392!4d-74.0141181!16s%2Fg%2F11cjk93v2x!19sChIJi2u-o3FFwokRyQ3g_eDkvXM?authuser=0&hl=en&rclk=1"
