business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Aviator Nation","Address: 153 Berry St, Brooklyn, NY 11249, United States ","+13472278892","https://www.aviatornation.com/","New York, NY","New York, NY","thrift store","","3","https://www.google.com/maps/place/Aviator+Nation/data=!4m7!3m6!1s0x89c25959d5fcf655:0x30a0fdcc4758532!8m2!3d40.717742!4d-73.959724!16s%2Fg%2F11wwfbjqwb!19sChIJVfb81VlZwokRMoV1xNwPCgM?authuser=0&hl=en&rclk=1"
"Patagonia","Address: 426 Columbus Ave, New York, NY 10024, United States ","+19174410011","https://www.patagonia.com/stores/ny/new-york-city/426-columbus-avenue/store_upperwestside.html","New York, NY","New York, NY","thrift store","","4.6","https://www.google.com/maps/place/Patagonia/data=!4m7!3m6!1s0x89c2588f654c7ed9:0xb65967b36af9f457!8m2!3d40.783046!4d-73.975083!16s%2Fg%2F1th57xgp!19sChIJ2X5MZY9YwokRV_T5arNnWbY?authuser=0&hl=en&rclk=1"
"Vintage Thrift Shop","Address: 286 3rd Ave, New York, NY 10010, United States ","+12128710777","http://www.vintagethriftshop.org/","New York, NY","New York, NY","thrift store","","4.5","https://www.google.com/maps/place/Vintage+Thrift+Shop/data=!4m7!3m6!1s0x89c259a0853ea4b1:0xa7d57463ec6ea2d1!8m2!3d40.7384699!4d-73.9836457!16s%2Fg%2F1tf4fyzw!19sChIJsaQ-haBZwokR0aJu7GN01ac?authuser=0&hl=en&rclk=1"
"City Opera Thrift Shop","Address: 513 W 26th St, New York, NY 10001, United States ","+12126845344","http://www.cityoperathriftshop.org/","New York, NY","New York, NY","thrift store","","4.5","https://www.google.com/maps/place/City+Opera+Thrift+Shop/data=!4m7!3m6!1s0x89c2590a6574768d:0xc9288b7e77e55e36!8m2!3d40.7500706!4d-74.0034121!16s%2Fg%2F1tdfjlrz!19sChIJjXZ0ZQpZwokRNl7ld36LKMk?authuser=0&hl=en&rclk=1"
"Beacon's Closet","Address: 10 W 13th St, New York, NY 10011, United States ","+19172614863","http://www.beaconscloset.com/","New York, NY","New York, NY","thrift store","","4.3","https://www.google.com/maps/place/Beacon%27s+Closet/data=!4m7!3m6!1s0x89c259978bd99f2d:0xe63f4341abf1d7ce!8m2!3d40.7355191!4d-73.9950968!16s%2Fg%2F11g_y1x1s!19sChIJLZ_Zi5dZwokRztfxq0FDP-Y?authuser=0&hl=en&rclk=1"
"The Salvation Army Thrift Store New York, NY","Address: 208 8th Ave, New York, NY 10011, United States ","+18007287825","https://satruck.org/","New York, NY","New York, NY","thrift store","","3.8","https://www.google.com/maps/place/The+Salvation+Army+Thrift+Store+New+York,+NY/data=!4m7!3m6!1s0x89c259acbc78308f:0x9ec601766796b5d!8m2!3d40.743685!4d-73.9992614!16s%2Fg%2F11h1pn8lln!19sChIJjzB4vKxZwokRXWt5Zhdg7Ak?authuser=0&hl=en&rclk=1"
"Thrift NYC","Address: 226 E 14th St, New York, NY 10003, United States ","+13473080491","","New York, NY","New York, NY","thrift store","","4.7","https://www.google.com/maps/place/Thrift+NYC/data=!4m7!3m6!1s0x89c25924c9226fc1:0x7881c909c0b5673c!8m2!3d40.7326152!4d-73.9862061!16s%2Fg%2F11t5vvy7d4!19sChIJwW8iySRZwokRPGe1wAnJgXg?authuser=0&hl=en&rclk=1"
"AuH2O","Address: 84 E 7th St, New York, NY 10003, United States ","+19172617474","http://auh2oshop.com/","New York, NY","New York, NY","thrift store","","4.8","https://www.google.com/maps/place/AuH2O/data=!4m7!3m6!1s0x89c2599cde15e4ef:0x8783fd5f794251a1!8m2!3d40.7270389!4d-73.9862705!16s%2Fg%2F1tdj53mc!19sChIJ7-QV3pxZwokRoVFCeV_9g4c?authuser=0&hl=en&rclk=1"
"tth Vintage Boutique","Address: TTH Vintage Boutique, 40 W 25th St Front 2, New York, NY 10010, United States ","+12122061174","https://www.tthvintageboutique.org/","New York, NY","New York, NY","thrift store","","4.2","https://www.google.com/maps/place/tth+Vintage+Boutique/data=!4m7!3m6!1s0x89c259a43270bc21:0xa35687829d40bd4e!8m2!3d40.7437564!4d-73.9911487!16s%2Fg%2F1vy7hhc2!19sChIJIbxwMqRZwokRTr1AnYKHVqM?authuser=0&hl=en&rclk=1"
"Saint Francis Thrift Store","Address: 202 W 97th St, New York, NY 10025, United States ","+12129328040","http://www.holynamenyc.org/","New York, NY","New York, NY","thrift store","","4.5","https://www.google.com/maps/place/Saint+Francis+Thrift+Store/data=!4m7!3m6!1s0x89c2f627df5addb3:0x8ddf9ef8b6a079d5!8m2!3d40.7946869!4d-73.9702846!16s%2Fg%2F11btt65j2g!19sChIJs91a3yf2wokR1Xmgtvie340?authuser=0&hl=en&rclk=1"
