business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Bartlett Tree Experts","Address: 205 Rutgers St, Maplewood, NJ 07040, United States ","+19737625221","https://www.bartlett.com/locations/maplewood-nj.cfm","New York, NY","New York, NY","tree service","","4.7","https://www.google.com/maps/place/Bartlett+Tree+Experts/data=!4m7!3m6!1s0x89c3ad6f7dfdab1d:0x787b2aed914a3e2d!8m2!3d40.71728!4d-74.264745!16s%2Fg%2F11k4jq1m9v!19sChIJHav9fW-tw4kRLT5Kke0qe3g?authuser=0&hl=en&rclk=1"
"NYC Plant Help","Address: 555 Main St, New York, NY 10044, United States ","+18622009898","https://nycplantdoctor.com/schedule-your-plant-consultation/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/NYC+Plant+Help/data=!4m7!3m6!1s0x8fed9e43b1b086cf:0xf376662f1391a993!8m2!3d40.762396!4d-73.950455!16s%2Fg%2F11tdtg5w68!19sChIJz4awsUOe7Y8Rk6mREy9mdvM?authuser=0&hl=en&rclk=1"
"NYC Tree Trimming & Removal","Address: 40 Wall St 52nd Floor, New York, NY 10005, United States ","+12128821379","https://nyctreetrimming-removalcorp.com/","New York, NY","New York, NY","tree service","","4.7","https://www.google.com/maps/place/NYC+Tree+Trimming+%26+Removal/data=!4m7!3m6!1s0x89c25a16f1495437:0xf1a36b14a291a600!8m2!3d40.7061418!4d-74.0098382!16s%2Fg%2F11hbbys_yn!19sChIJN1RJ8RZawokRAKaRohRro_E?authuser=0&hl=en&rclk=1"
"Manhattan Tree Services NYC","Address: 155 Reville St, Bronx, NY 10464, United States ","+16465852889","https://manhattantreeservices.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/Manhattan+Tree+Services+NYC/data=!4m7!3m6!1s0x89c2596cd4bfe717:0x9e9e0d22ce99fad9!8m2!3d40.8493646!4d-73.7864633!16s%2Fg%2F11gy4xs792!19sChIJF-e_1GxZwokR2fqZziINnp4?authuser=0&hl=en&rclk=1"
"Manhattan Tree Care","Address: 2823 Roebling Avenue, New York, NY 10464, United States ","+19178311289","https://manhattantreecare.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/Manhattan+Tree+Care/data=!4m7!3m6!1s0x89c2596ee3ae967b:0x1f452fe2628ada7c!8m2!3d40.7570804!4d-73.9790784!16s%2Fg%2F11ff0g26kh!19sChIJe5au425ZwokRfNqKYuIvRR8?authuser=0&hl=en&rclk=1"
"Tree Services Manhattan","Address: 33 W 82 St #48, New York, NY 10024, United States ","+12125171021","https://treeservicesmanhattan.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/Tree+Services+Manhattan/data=!4m7!3m6!1s0x89c25944bd7b2d73:0x42babda30de87c73!8m2!3d40.7835212!4d-73.9726607!16s%2Fg%2F11fd6d3p__!19sChIJcy17vURZwokRc3zoDaO9ukI?authuser=0&hl=en&rclk=1"
"S&K Tree Services","","+19176029577","","New York, NY","New York, NY","tree service","","4.7","https://www.google.com/maps/place/S%26K+Tree+Services/data=!4m7!3m6!1s0x89c26061da8bedc1:0x2935e1340dd3dee3!8m2!3d40.6860039!4d-73.8418113!16s%2Fg%2F11g8kt4n3w!19sChIJwe2L2mFgwokR497TDTThNSk?authuser=0&hl=en&rclk=1"
"Owens Bros. Tree Service","Address: 528 City Island Ave, Bronx, NY 10464, United States ","+17188850914","https://owenstrees.com/","New York, NY","New York, NY","tree service","","4.9","https://www.google.com/maps/place/Owens+Bros.+Tree+Service/data=!4m7!3m6!1s0x89c28da5d599a283:0x9e4216439232576c!8m2!3d40.852782!4d-73.7894376!16s%2Fg%2F11pyc4b2f4!19sChIJg6KZ1aWNwokRbFcykkMWQp4?authuser=0&hl=en&rclk=1"
"JRs Tree Service","","+17187233025","http://www.jrtreecare.com/","New York, NY","New York, NY","tree service","","4.5","https://www.google.com/maps/place/JRs+Tree+Service/data=!4m7!3m6!1s0x89c266aa4ee93d6b:0xd06e938b92ce392e!8m2!3d40.6507535!4d-73.8711404!16s%2Fg%2F1vn_zwsn!19sChIJaz3pTqpmwokRLjnOkouTbtA?authuser=0&hl=en&rclk=1"
"NYC Tree Pro Services","","+12125744699","https://nyctreepro.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/NYC+Tree+Pro+Services/data=!4m7!3m6!1s0x89c2f674a26b685f:0xcad67a45c6289823!8m2!3d40.7989863!4d-73.8976484!16s%2Fg%2F11rxh_4t49!19sChIJX2hronT2wokRI5goxkV61so?authuser=0&hl=en&rclk=1"
"AFFORDABLE Tree Service Bronx, NYC","Address: 1510 Hutchinson River Pkwy E, Bronx, NY 10461, United States ","+16469338220","https://treeservicebronx.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/AFFORDABLE+Tree+Service+Bronx,+NYC/data=!4m7!3m6!1s0x89c28b4dca1f26bf:0x66f0e7885a4a7bea!8m2!3d40.8407246!4d-73.8374139!16s%2Fg%2F11dxpd7m43!19sChIJvyYfyk2LwokR6ntKWojn8GY?authuser=0&hl=en&rclk=1"
"Arnoldo's Tree Service","Address: 61-21 163rd St, Fresh Meadows, NY 11365, United States ","+17184637829","https://arnoldstreeservice.com/","New York, NY","New York, NY","tree service","","4.4","https://www.google.com/maps/place/Arnoldo%27s+Tree+Service/data=!4m7!3m6!1s0x89c26050689de40b:0xcdc6a4ce6ee994ff!8m2!3d40.7377841!4d-73.8053985!16s%2Fg%2F1tj9v7rm!19sChIJC-SdaFBgwokR_5Tpbs6kxs0?authuser=0&hl=en&rclk=1"
"Tarzan Tree Removal, LLC","Address: 15 Cyrus Ave, Brooklyn, NY 11229, United States ","+13478335862","https://tarzantreeremovalservice.com/","New York, NY","New York, NY","tree service","","4","https://www.google.com/maps/place/Tarzan+Tree+Removal,+LLC/data=!4m7!3m6!1s0x89c24382974f6f6d:0x4fceb0c4b8966795!8m2!3d40.5880705!4d-73.9260389!16s%2Fg%2F11bxg404j3!19sChIJbW9Pl4JDwokRlWeWuMSwzk8?authuser=0&hl=en&rclk=1"
"Discount Tree Cutting And Removal","Address: 286 Fort Washington Ave #1d, New York, NY 10032, United States ","+19179206045","http://www.mmtreecutting.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/Discount+Tree+Cutting+And+Removal/data=!4m7!3m6!1s0x1fd553aaad6911d:0x11837eca13d86e12!8m2!3d40.8447149!4d-73.9404367!16s%2Fg%2F11vs2zjd75!19sChIJHZHWqjpV_QEREm7YE8p-gxE?authuser=0&hl=en&rclk=1"
"Arborpolitan Tree & Garden Care","Address: 28 Commerce St, Brooklyn, NY 11231, United States ","+18336928733","https://www.arborpolitan.com/","New York, NY","New York, NY","tree service","","4.8","https://www.google.com/maps/place/Arborpolitan+Tree+%26+Garden+Care/data=!4m7!3m6!1s0x89c25a5ff91d073f:0x42c1a764d8e7152f!8m2!3d40.6797682!4d-74.0063927!16s%2Fg%2F1vlqr3n4!19sChIJPwcd-V9awokRLxXn2GSnwUI?authuser=0&hl=en&rclk=1"
"Evergreen Tree Specialists","Address: 7304 5th Ave, Brooklyn, NY 11209, United States ","+17182388733","http://evergreentreespecialists.com/","New York, NY","New York, NY","tree service","","4.7","https://www.google.com/maps/place/Evergreen+Tree+Specialists/data=!4m7!3m6!1s0x89c2455a6a3fef89:0x45dabaeda3a0a1ba!8m2!3d40.6309087!4d-74.0223186!16s%2Fg%2F1tg9p0wz!19sChIJie8_alpFwokRuqGgo-262kU?authuser=0&hl=en&rclk=1"
"Woody Woodpecker Tree Service","","+13472522792","","New York, NY","New York, NY","tree service","","4.7","https://www.google.com/maps/place/Woody+Woodpecker+Tree+Service/data=!4m7!3m6!1s0x89c243e53a1dc2f7:0x7f35c1fc4df7cf46!8m2!3d40.733204!4d-73.8411824!16s%2Fg%2F11j0r3nmvx!19sChIJ98IdOuVDwokRRs_3TfzBNX8?authuser=0&hl=en&rclk=1"
"MM Bronx Tree Service - Snow Plowing","Address: 1533 Kennellworth Pl, Bronx, NY 10465, United States ","+13476971600","https://www.mmbronxtreeservice.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/MM+Bronx+Tree+Service+-+Snow+Plowing/data=!4m7!3m6!1s0x89c28b7383595ba1:0x2361c4a71fb75fb6!8m2!3d40.8452694!4d-73.8224011!16s%2Fg%2F11kjdwrj4g!19sChIJoVtZg3OLwokRtl-3H6fEYSM?authuser=0&hl=en&rclk=1"
"Royal Tree Service","","+19084146550","http://www.royaltreeservicesnj.com/","New York, NY","New York, NY","tree service","","4.9","https://www.google.com/maps/place/Royal+Tree+Service/data=!4m7!3m6!1s0x89c252af03fd5787:0x2bdf8258aaecfa7e!8m2!3d40.580046!4d-74.3078874!16s%2Fg%2F1tds7l_y!19sChIJh1f9A69SwokRfvrsqliC3ys?authuser=0&hl=en&rclk=1"
"Lowest Price Tree Service And Arborist Consulting","Address: 26 Sky Ln, Staten Island, NY 10304, United States ","+16465672848","https://arboristhelp.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/Lowest+Price+Tree+Service+And+Arborist+Consulting/data=!4m7!3m6!1s0x89c24fa4ad1619b1:0x3c204ea36880be6d!8m2!3d40.6142047!4d-74.0782146!16s%2Fg%2F11g1hkn6q_!19sChIJsRkWraRPwokRbb6AaKNOIDw?authuser=0&hl=en&rclk=1"
"Tree Trimming & Pruning Queens","Address: 159-15 92nd St, Jamaica, NY 11414, United States ","+13474349332","http://www.branchingoutny.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/Tree+Trimming+%26+Pruning+Queens/data=!4m7!3m6!1s0x89c26748c9542931:0xbeb006c4178fcf82!8m2!3d40.6585687!4d-73.840505!16s%2Fg%2F11w_tj74t3!19sChIJMSlUyUhnwokRgs-PF8QGsL4?authuser=0&hl=en&rclk=1"
"Manhattan Tree Removal","Address: 41 Union Square W #435, New York, NY 10003, United States ","+13479564342","https://manhattantreeremoval.com/","New York, NY","New York, NY","tree service","","5","https://www.google.com/maps/place/Manhattan+Tree+Removal/data=!4m7!3m6!1s0x89c2596e53bf5483:0x1fe3ffdb13df111e!8m2!3d40.7371639!4d-73.9907629!16s%2Fg%2F11rckx0my1!19sChIJg1S_U25ZwokRHhHfE9v_4x8?authuser=0&hl=en&rclk=1"
