business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Atlantic Trophy Co","Address: 866 6th Ave #3, New York, NY 10001, United States ","+12126846020","http://www.atlantictrophy.com/","New York, NY","New York, NY","trophy shop","","4.9","https://www.google.com/maps/place/Atlantic+Trophy+Co/data=!4m7!3m6!1s0x89c259af36c16683:0x6745aec6ca683862!8m2!3d40.7474909!4d-73.9892527!16s%2Fg%2F1tvympw0!19sChIJg2bBNq9ZwokRYjhoysauRWc?authuser=0&hl=en&rclk=1"
"new york trophies","Address: 29 Cook St, Brooklyn, NY 11206, United States ","+13474220027","","New York, NY","New York, NY","trophy shop","","4.9","https://www.google.com/maps/place/new+york+trophies/data=!4m7!3m6!1s0x89c25bfbe3d0b80b:0x7995a7cd9d72c6b6!8m2!3d40.7023984!4d-73.9428353!16s%2Fg%2F1tddbs4j!19sChIJC7jQ4_tbwokRtsZync2nlXk?authuser=0&hl=en&rclk=1"
"Crown Trophy","Address: 7 E 38th St, New York, NY 10016, United States ","+12125324500","https://www.crowntrophy.com/store-6","New York, NY","New York, NY","trophy shop","","4","https://www.google.com/maps/place/Crown+Trophy/data=!4m7!3m6!1s0x89c25900bf2f3c99:0x6778d3e666db61a1!8m2!3d40.7508205!4d-73.9817925!16s%2Fg%2F1tfzydkz!19sChIJmTwvvwBZwokRoWHbZubTeGc?authuser=0&hl=en&rclk=1"
"Trophy World Inc.","Address: 46 Hoyt St, Brooklyn, NY 11201, United States ","+17187971200","http://www.trophyworld.com/","New York, NY","New York, NY","trophy shop","","4.8","https://www.google.com/maps/place/Trophy+World+Inc./data=!4m7!3m6!1s0x89c25b6db7a3c283:0x37dcb48b3623a1c7!8m2!3d40.6892899!4d-73.9861162!16s%2Fg%2F1tdfv1g3!19sChIJg8Kjt21bwokRx6EjNou03Dc?authuser=0&hl=en&rclk=1"
"Academy Engraving","Address: 271 Madison Ave STE 207, New York, NY 10016, United States ","+12128674998","http://www.academyengraving.com/","New York, NY","New York, NY","trophy shop","","4.8","https://www.google.com/maps/place/Academy+Engraving/data=!4m7!3m6!1s0x89c25900e122f53d:0x4002e19197f0e9c3!8m2!3d40.7510404!4d-73.9800416!16s%2Fg%2F1v6qjjp9!19sChIJPfUi4QBZwokRw-nwl5HhAkA?authuser=0&hl=en&rclk=1"
"Plaques by Azra","Address: 405 Lexington Ave 9th floor, New York, NY 10174, United States ","+17187796505","https://www.azra.com/","New York, NY","New York, NY","trophy shop","","5","https://www.google.com/maps/place/Plaques+by+Azra/data=!4m7!3m6!1s0x89c259b2e6bcea3d:0xbeb00d94c6fa2147!8m2!3d40.7517028!4d-73.9754379!16s%2Fg%2F11w4jxfyy6!19sChIJPeq85rJZwokRRyH6xpQNsL4?authuser=0&hl=en&rclk=1"
"M&M Trophy Mania","Address: 187-40 Hillside Ave., Jamaica, NY 11432, United States ","+15167651230","https://mmtrophymania.com/","New York, NY","New York, NY","trophy shop","","4.9","https://www.google.com/maps/place/M%26M+Trophy+Mania/data=!4m7!3m6!1s0x89c261699f09ef61:0x99cfaeab78885ea8!8m2!3d40.7148756!4d-73.7737299!16s%2Fg%2F11hz2q6zlv!19sChIJYe8Jn2lhwokRqF6IeKuuz5k?authuser=0&hl=en&rclk=1"
"New Dimension Inc","Address: 6505 11th Ave, Brooklyn, NY 11219, United States ","+17182368200","https://www.newdimensioninc.com/","New York, NY","New York, NY","trophy shop","","4.8","https://www.google.com/maps/place/New+Dimension+Inc/data=!4m7!3m6!1s0x89c2453873b474e1:0x5aa3ee000b6f7a2b!8m2!3d40.6283425!4d-74.0060423!16s%2Fg%2F1thqbs85!19sChIJ4XS0czhFwokRK3pvCwDuo1o?authuser=0&hl=en&rclk=1"
"Apex Engraving","Address: 39 W 32nd St #305, New York, NY 10001, United States ","+12129470089","http://www.apexengraving.com/","New York, NY","New York, NY","trophy shop","","4.8","https://www.google.com/maps/place/Apex+Engraving/data=!4m7!3m6!1s0x89c259a8de4cf9d9:0x29db52ccfc06f961!8m2!3d40.7481614!4d-73.9872958!16s%2Fg%2F1v_z9twm!19sChIJ2flM3qhZwokRYfkG_MxS2yk?authuser=0&hl=en&rclk=1"
"Crown Trophy Bronx","Address: 2554 E Tremont Ave, Bronx, NY 10461, United States ","+17188244877","http://crownbx.com/","New York, NY","New York, NY","trophy shop","","4.7","https://www.google.com/maps/place/Crown+Trophy+Bronx/data=!4m7!3m6!1s0x89c2f4b191731a11:0x26790d9e029f610a!8m2!3d40.8428529!4d-73.8486451!16s%2Fg%2F1v_vtv37!19sChIJERpzkbH0wokRCmGfAp4NeSY?authuser=0&hl=en&rclk=1"
"Alpha Engraving Co","Address: 120 W 58th St, New York, NY 10019, United States ","+12122475266","http://www.alphaengraving.com/","New York, NY","New York, NY","trophy shop","","4.4","https://www.google.com/maps/place/Alpha+Engraving+Co/data=!4m7!3m6!1s0x89c25856529d65f3:0x7eb37d03810933ba!8m2!3d40.76515!4d-73.9777389!16s%2Fg%2F1tyt67z7!19sChIJ82WdUlZYwokRujMJgQN9s34?authuser=0&hl=en&rclk=1"
"Absolutely Trophies Inc","Address: 212-01A 48th Ave, Bayside, NY 11364, United States ","+17182794698","http://www.absolutelytrophies.com/","New York, NY","New York, NY","trophy shop","","5","https://www.google.com/maps/place/Absolutely+Trophies+Inc/data=!4m7!3m6!1s0x89c261e65989c51f:0x296231251ebab3bc!8m2!3d40.755365!4d-73.7692492!16s%2Fg%2F1tc_xjbx!19sChIJH8WJWeZhwokRvLO6HiUxYik?authuser=0&hl=en&rclk=1"
"Crown Trophy","Address: 3024 Avenue U, Brooklyn, NY 11229, United States ","+17187694111","https://www.crowntrophy.com/store-1","New York, NY","New York, NY","trophy shop","","4.9","https://www.google.com/maps/place/Crown+Trophy/data=!4m7!3m6!1s0x89c2449d36cd8ef1:0xcf0ffb6fe7d874ab!8m2!3d40.6006554!4d-73.9377961!16s%2Fg%2F1tncttdx!19sChIJ8Y7NNp1EwokRq3TY52_7D88?authuser=0&hl=en&rclk=1"
"Awards A Plus","Address: 122W W 26th St, New York, NY 10001, United States ","+16464198855","http://www.awardsaplus.com/","New York, NY","New York, NY","trophy shop","","4.3","https://www.google.com/maps/place/Awards+A+Plus/data=!4m7!3m6!1s0x89c259a51218c20b:0x6605e23ca7041707!8m2!3d40.7450796!4d-73.9926056!16s%2Fg%2F1tffq7y4!19sChIJC8IYEqVZwokRBxcEpzziBWY?authuser=0&hl=en&rclk=1"
"T & L Trophies & Awards","Address: 243 Wolfs Ln, Pelham, NY 10803, United States ","+19147385966","http://www.airflytecatalog.com/","New York, NY","New York, NY","trophy shop","","4.9","https://www.google.com/maps/place/T+%26+L+Trophies+%26+Awards/data=!4m7!3m6!1s0x89c28d1384283b69:0x4c32521bbba12c71!8m2!3d40.9058652!4d-73.8121375!16s%2Fg%2F1262gyt9q!19sChIJaTsohBONwokRcSyhuxtSMkw?authuser=0&hl=en&rclk=1"
"Oriental Trophy","Address: 35-01 169th St, Flushing, NY 11358, United States ","+17188868909","http://www.orientaltrophy.com/","New York, NY","New York, NY","trophy shop","","4.6","https://www.google.com/maps/place/Oriental+Trophy/data=!4m7!3m6!1s0x89c2600e84d12249:0x9835a823e7aa8251!8m2!3d40.7647103!4d-73.7966691!16s%2Fg%2F1tvymp_t!19sChIJSSLRhA5gwokRUYKq5yOoNZg?authuser=0&hl=en&rclk=1"
"Apple Engraving","Address: 120 W 58th St, New York, NY 10019, United States ","+12127572775","http://www.appleengraving.com/","New York, NY","New York, NY","trophy shop","","4.7","https://www.google.com/maps/place/Apple+Engraving/data=!4m7!3m6!1s0x89c258f748dfbae5:0x423108f7cc3552a1!8m2!3d40.7652719!4d-73.9776699!16s%2Fg%2F1hc5ckncm!19sChIJ5brfSPdYwokRoVI1zPcIMUI?authuser=0&hl=en&rclk=1"
"Altrum","Address: 15 Maiden Ln # 600, New York, NY 10038, United States ","+12122670970","https://www.altrum.com/","New York, NY","New York, NY","trophy shop","","3","https://www.google.com/maps/place/Altrum/data=!4m7!3m6!1s0x89c25a1829827dcf:0x8dea0e19307cb368!8m2!3d40.7095236!4d-74.0091126!16s%2Fg%2F1td0nypl!19sChIJz32CKRhawokRaLN8MBkO6o0?authuser=0&hl=en&rclk=1"
"New York Trophies & Prints","Address: 1981 Dr M.L.K. Jr Blvd, Bronx, NY 10453, United States ","+13474311682","https://newyorktrophiesprints.com/","New York, NY","New York, NY","trophy shop","","5","https://www.google.com/maps/place/New+York+Trophies+%26+Prints/data=!4m7!3m6!1s0x89c2f505d400b5bd:0xe34075d62c606756!8m2!3d40.854617!4d-73.9119392!16s%2Fg%2F11x2_9__03!19sChIJvbUA1AX1wokRVmdgLNZ1QOM?authuser=0&hl=en&rclk=1"
"Crown Trophy","Address: 102-25 Metropolitan Ave, Forest Hills, NY 11375, United States ","+17182685959","https://www.crowntrophy.com/store-89","New York, NY","New York, NY","trophy shop","","4.7","https://www.google.com/maps/place/Crown+Trophy/data=!4m7!3m6!1s0x89c25e1bc6f51785:0x2d908e2a275df57c!8m2!3d40.710481!4d-73.849749!16s%2Fg%2F1v8j1c0w!19sChIJhRf1xhtewokRfPVdJyqOkC0?authuser=0&hl=en&rclk=1"
"Custom Awards","Address: 135 N Park Ave, Rockville Centre, NY 11570, United States ","+15167631764","https://www.customawardsli.com/","New York, NY","New York, NY","trophy shop","","4.9","https://www.google.com/maps/place/Custom+Awards/data=!4m7!3m6!1s0x89c27b5127490e39:0x812181db9e1f99ec!8m2!3d40.6610109!4d-73.6446962!16s%2Fg%2F12hmymry4!19sChIJOQ5JJ1F7wokR7JkfntuBIYE?authuser=0&hl=en&rclk=1"
