business_name,address,phone,website,area,city,category,reviews_count,rating,url
"Express Plumbing","Address: 1122 Colorado St #1991, Austin, TX 78701, United States ","+17373155870","","78701, Austin, TX","Austin, TX","plumbers","","5","https://www.google.com/maps/place/Express+Plumbing/data=!4m7!3m6!1s0x8644b50a937e2ecf:0x635b5633c83ce6a5!8m2!3d30.2741074!4d-97.7428798!16s%2Fg%2F1tghdjdc!19sChIJzy5-kwq1RIYRpeY8yDNWW2M?authuser=0&hl=en&rclk=1"
"Mendez Family Plumbing & Electrical","Address: 2508 Guadalupe St Suite 175, Austin, TX 78705, United States ","+15128130488","","78701, Austin, TX","Austin, TX","plumbers","","4.8","https://www.google.com/maps/place/Mendez+Family+Plumbing+%26+Electrical/data=!4m7!3m6!1s0x8644b56e8acd2253:0xde3e196d470e933!8m2!3d30.2895145!4d-97.7417127!16s%2Fg%2F11gy32hp8m!19sChIJUyLNim61RIYRM-lw1Jbh4w0?authuser=0&hl=en&rclk=1"
"Econo-Rooter","Address: 709 Driskill St, Austin, TX 78701, United States ","","","78701, Austin, TX","Austin, TX","plumbers","","4.5","https://www.google.com/maps/place/Econo-Rooter/data=!4m7!3m6!1s0x8644b5a93fab0cfd:0xfa0579e1f833265!8m2!3d30.260603!4d-97.737442!16s%2Fg%2F1thp8cnd!19sChIJ_QyrP6m1RIYRZTKDH55XoA8?authuser=0&hl=en&rclk=1"
"Austin Plumbers - Repair Service Installation","Address: 1505 W 6th St Bldg 1 3rd Floor Ste 310, Austin, TX 78703, United States ","+15122655260","","78701, Austin, TX","Austin, TX","plumbers","","5","https://www.google.com/maps/place/Austin+Plumbers+-+Repair+Service+Installation/data=!4m7!3m6!1s0x8644b51536fbffff:0xa28a3ee0d835e14!8m2!3d30.2742368!4d-97.7618524!16s%2Fg%2F11hd50zzh7!19sChIJ___7NhW1RIYRFF6DDe6jKAo?authuser=0&hl=en&rclk=1"
"Drain Elite Plumbing Services - Austin, Texas","","+17373973522","","78701, Austin, TX","Austin, TX","plumbers","","5","https://www.google.com/maps/place/Drain+Elite+Plumbing+Services+-+Austin,+Texas/data=!4m7!3m6!1s0xa7c151c20fe4d385:0xb6fa4f6abcc0318c!8m2!3d30.3582525!4d-97.7300204!16s%2Fg%2F11thk4mwbv!19sChIJhdPkD8JRwacRjDHAvGpP-rY?authuser=0&hl=en&rclk=1"
"BLVD Dentistry & Orthodontics of 5th Street","Address: 1011 W 5th St #120, Austin, TX 78703, United States ","+17379904135","https://www.blvddentistry.com/austin-5th-street/?utm_source=google.com&utm_medium=business+profile&utm_campaign=","78701, Austin, TX","Austin, TX","dentists","","4.8","https://www.google.com/maps/place/BLVD+Dentistry+%26+Orthodontics+of+5th+Street/data=!4m7!3m6!1s0x8644b5186215fc5d:0x502c6a65618b738!8m2!3d30.2703696!4d-97.7555944!16s%2Fg%2F11gnsbwfh1!19sChIJXfwVYhi1RIYROLcYVqbGAgU?authuser=0&hl=en&rclk=1"
"Full Service Electricians Austin","Address: 300 W 15th St #3821, Austin, TX 78701, United States ","+15122878988","","78701, Austin, TX","Austin, TX","electricians","","5","https://www.google.com/maps/place/Full+Service+Electricians+Austin/data=!4m7!3m6!1s0x8644b598ad4aef9b:0x112dccf0920101ce!8m2!3d30.27843!4d-97.7421189!16s%2Fg%2F1tfqg5qp!19sChIJm-9KrZi1RIYRzgEBkvDMLRE?authuser=0&hl=en&rclk=1"
"Home Electrician","Address: 2323 San Antonio St, Austin, TX 78705, United States ","+17372041435","","78701, Austin, TX","Austin, TX","electricians","","5","https://www.google.com/maps/place/Home+Electrician/data=!4m7!3m6!1s0x8644b511196ff257:0x6c83f0ba15eabc04!8m2!3d30.2873249!4d-97.7423917!16s%2Fg%2F11smtpttrk!19sChIJV_JvGRG1RIYRBLzqFbrwg2w?authuser=0&hl=en&rclk=1"
"Chad Merrigan Electric LLC","Address: Austin, TX 78701, United States ","+15129443217","","78701, Austin, TX","Austin, TX","electricians","","5","https://www.google.com/maps/place/Chad+Merrigan+Electric+LLC/data=!4m7!3m6!1s0x8644b50a55555555:0xdf2f90c3537057f!8m2!3d30.2729536!4d-97.7445102!16s%2Fg%2F1tdblcwh!19sChIJVVVVVQq1RIYRfwU3NQz58g0?authuser=0&hl=en&rclk=1"
"Maverick Electric","Address: 1005 West Ave, Austin, TX 78701, United States ","+15124748899","","78701, Austin, TX","Austin, TX","electricians","","","https://www.google.com/maps/place/Maverick+Electric/data=!4m7!3m6!1s0x8644b50cc6af21c7:0x7d3a78a8d891e334!8m2!3d30.2748342!4d-97.7475344!16s%2Fg%2F1261xmt43!19sChIJxyGvxgy1RIYRNOOR2Kh4On0?authuser=0&hl=en&rclk=1"
