business_name,address,area,city,reviews_count,rating,has_website,url
"Corner Restaurant","· 110 E 2nd St","78701, Austin, TX","Austin, TX","16910","4.8","No","https://www.google.com/maps/place/Corner+Restaurant/data=!4m7!3m6!1s0x8644b508789cc0c5:0x270f96c74f970af4!8m2!3d30.2645703!4d-97.7438317!16s%2Fg%2F11b76mjh5x!19sChIJxcCceAi1RIYR9AqXT8eWDyc?authuser=0&hl=en&rclk=1"
"Corinne Austin","· 304 E Cesar Chavez St","78701, Austin, TX","Austin, TX","5276","4.8","No","https://www.google.com/maps/place/Corinne+Austin/data=!4m7!3m6!1s0x8644b5a2efae9207:0x29c9c30dffef66c0!8m2!3d30.2627011!4d-97.7415763!16s%2Fg%2F11n5pb_qpg!19sChIJB5Ku76K1RIYRwGbv_w3DySk?authuser=0&hl=en&rclk=1"
"Caroline","· 621 Congress Ave. Suite 101","78701, Austin, TX","Austin, TX","13250","4.8","No","https://www.google.com/maps/place/Caroline/data=!4m7!3m6!1s0x8644b509e7e92743:0x38cd855b7c17b277!8m2!3d30.2688157!4d-97.7422982!16s%2Fg%2F11d_9jgz28!19sChIJQyfp5wm1RIYRd7IXfFuFzTg?authuser=0&hl=en&rclk=1"
"Ember Kitchen","· 800 W Cesar Chavez St Ste PP110","78701, Austin, TX","Austin, TX","2136","4.8","No","https://www.google.com/maps/place/Ember+Kitchen/data=!4m7!3m6!1s0x8644b5723cde91d1:0x14bf1e14920af2da!8m2!3d30.266876!4d-97.7528456!16s%2Fg%2F11jt5g77r4!19sChIJ0ZHePHK1RIYR2vIKkhQevxQ?authuser=0&hl=en&rclk=1"
"Upstairs at Caroline","· 109 E 7th St","78701, Austin, TX","Austin, TX","6206","4.9","No","https://www.google.com/maps/place/Upstairs+at+Caroline/data=!4m7!3m6!1s0x8644b509e7e92743:0xb09cf7e6ae581b9!8m2!3d30.2686635!4d-97.7420691!16s%2Fg%2F11fxb7wz06!19sChIJQyfp5wm1RIYRuYHlan7PCQs?authuser=0&hl=en&rclk=1"
"Dean's Italian Steakhouse","· 110 E 2nd St","78701, Austin, TX","Austin, TX","2712","4.9","No","https://www.google.com/maps/place/Dean%27s+Italian+Steakhouse/data=!4m7!3m6!1s0x8644b5f9290d2757:0xd73edf1c24d12e4f!8m2!3d30.2641454!4d-97.7430761!16s%2Fg%2F11pyc12_7j!19sChIJVycNKfm1RIYRTy7RJBzfPtc?authuser=0&hl=en&rclk=1"
"Roaring Fork","· 701 Congress Ave.","78701, Austin, TX","Austin, TX","2063","4.5","No","https://www.google.com/maps/place/Roaring+Fork/data=!4m7!3m6!1s0x8644b509e15979d5:0xce6e982ebf5ebae2!8m2!3d30.2691083!4d-97.7421111!16s%2Fg%2F1td5m2fy!19sChIJ1XlZ4Qm1RIYR4rpevy6Ybs4?authuser=0&hl=en&rclk=1"
"Verbena Food & Drink","· 612 W 6th St","78701, Austin, TX","Austin, TX","1038","4.7","No","https://www.google.com/maps/place/Verbena+Food+%26+Drink/data=!4m7!3m6!1s0x8644b5671c80691b:0x38d7e3bd3637504b!8m2!3d30.2699121!4d-97.7489064!16s%2Fg%2F11jd_wq5w9!19sChIJG2mAHGe1RIYRS1A3Nr3j1zg?authuser=0&hl=en&rclk=1"
"Moonshine Grill","· 303 Red River St","78701, Austin, TX","Austin, TX","7168","4.6","No","https://www.google.com/maps/place/Moonshine+Grill/data=!4m7!3m6!1s0x8644b5a8910339cd:0x3d1cb3bee44dfaf4!8m2!3d30.2637562!4d-97.7380259!16s%2Fg%2F1tfxh22p!19sChIJzTkDkai1RIYR9PpN5L6zHD0?authuser=0&hl=en&rclk=1"
"North Italia","· 500 W 2nd St #120","78701, Austin, TX","Austin, TX","2051","4.4","No","https://www.google.com/maps/place/North+Italia/data=!4m7!3m6!1s0x8644b50f13d654f7:0x298b7455bac125f9!8m2!3d30.2657893!4d-97.7489158!16s%2Fg%2F11hbq8vc5c!19sChIJ91TWEw-1RIYR-SXBulV0iyk?authuser=0&hl=en&rclk=1"
"The Guest House Austin","· 110 San Antonio St Ste R140","78701, Austin, TX","Austin, TX","2053","4.7","No","https://www.google.com/maps/place/The+Guest+House+Austin/data=!4m7!3m6!1s0x8644b5f634da0ea9:0x95ae401d6be54410!8m2!3d30.2656426!4d-97.7493256!16s%2Fg%2F11ld65sfmp!19sChIJqQ7aNPa1RIYREETlax1ArpU?authuser=0&hl=en&rclk=1"
"True Food Kitchen","· 222 West Ave Ste HR100","78701, Austin, TX","Austin, TX","2769","4.5","No","https://www.google.com/maps/place/True+Food+Kitchen/data=!4m7!3m6!1s0x8644b50e2ee3f607:0xddc3ee2020881bac!8m2!3d30.2670001!4d-97.7522838!16s%2Fg%2F11clfd3vs8!19sChIJB_bjLg61RIYRrBuIICDuw90?authuser=0&hl=en&rclk=1"
"Emmer & Rye","· SkyHouse, 51 Rainey St UNIT 110","78701, Austin, TX","Austin, TX","1719","4.4","No","https://www.google.com/maps/place/Emmer+%26+Rye/data=!4m7!3m6!1s0x8644b5aa4ba7633d:0xfb14f97a7bd4e90c!8m2!3d30.2574194!4d-97.7390667!16s%2Fg%2F11bw61kjkh!19sChIJPWOnS6q1RIYRDOnUe3r5FPs?authuser=0&hl=en&rclk=1"
